ETF,Underlying,is_yieldboost,scenario_style,Beta,Beta_n_obs,Beta_source,borrow_fee_annual,shares_available,borrow_current,borrow_spiking,borrow_missing_from_ftp,borrow_price_ref,borrow_current_raw_annual,borrow_floor_factor,protected,cagr_positive,borrow_leq_low,borrow_gt_low,protected_ok,protected_bad,purgatory,exclude_borrow_gt_low,exclude_no_shares,exclude_borrow_spike,vol_etf_annual,vol_etf_annual_legacy,gross_decay_annual,gross_decay_annual_legacy_weekly,vol_underlying_annual,vol_underlying_annual_legacy,expense_ratio_annual,expense_ratio_source,underlying_borrow_annual,risk_free_rate_used,expected_gross_decay_annual,expected_gross_decay_annual_legacy,expected_gross_decay_reliable,blended_gross_decay,net_decay_annual,decay_score,asof_date,product_class,gross_edge_definition,primary_edge_annual,gross_for_primary_annual,borrow_for_net_annual,borrow_avg_annual,borrow_median_60d,net_edge_p05_annual,net_edge_p25_annual,net_edge_p50_annual,net_edge_p75_annual,net_edge_p95_annual,net_edge_hist_json,mechanical_decay_annual,realized_tracking_component_annual,slippage_proxy_annual,income_distributions_annual,block_len,B_reps,annualization_key,hac_lag,sigma_b_annual,stress_borrow_rho,copula_note,copula_type,borrow_dispersion_type,regime_autocorr_und_21d_proxy,regime_warning,high_intraday_risk,decomposition_note,borrow_weight_halflife_days,borrow_history_points_used,borrow_resample_mode,schema_v,edge_sign_convention,expected_gross_decay_simple_ito_annual,expected_gross_decay_adjusted_annual,expected_decay_adjustment_annual,expected_decay_model,expected_gross_decay_p10_annual,expected_gross_decay_p50_annual,expected_gross_decay_p90_annual,expected_gross_decay_mean_annual,expected_gross_decay_dist_model,expected_logIV_mu_annual,expected_logIV_sigma_annual,expected_gross_decay_dist_n_obs,expected_gross_decay_dist_horizon_days,maint_pct_long,maint_pct_short,init_pct_long,init_pct_short,bucket,bucket4_net_edge_annual,inverse_shortable
AAPU,AAPL,False,,1.98619,500,ols,0.095805,250000,0.095805,False,False,31.670000076293945,0.095805,1.0,False,,True,False,False,False,False,False,False,False,0.465012,0.468398,0.175228,0.173629,0.233336,0.234047,,missing,0.0,0.045,0.097702,0.098027,True,0.175228,0.079423,0.079423,2026-04-25,standard_letf,blended_realized_expected,0.079423,0.175228,0.095805,0.09170420754716983,0.095473,0.0014621726179846297,0.0582219070254467,0.07931205785194492,0.10357106992235775,0.14020820084641722,"{""e"":[-0.031268,-0.02142,-0.011571,-0.001722,0.008126,0.017975,0.027824,0.037673,0.047521,0.05737,0.067219,0.077067,0.086916,0.096765,0.106614,0.116462,0.126311,0.13616,0.146009,0.155857,0.165706],""c"":[8,2,3,8,2,4,13,19,34,50,40,45,42,36,24,23,19,13,5,2]}",0.097702,0.077526,,,10.0,400.0,trading_days_252,,0.0,0.0,block_bootstrap_daily_drag;weighted_borrow_resample_full_history;halflife_cal_days=90,empirical_block_marginal_x_weighted_borrow_marginal,deferred,-0.07538062279727409,mean_reversion,False,incomplete_regime,90.0,53.0,weighted_empirical,2,short_favorable_positive,0.097702,,,simple_ito,0.097702,0.097702,0.097702,0.097702,simple_ito_fallback,-2.304998,0.0,479.0,252.0,0.4965475,0.595857,0.5,0.595857,bucket_1,,False
AMUU,AMD,False,,2.007666,265,ols,,0,,False,True,119.72000122070312,,1.0,False,,False,False,False,False,False,False,True,False,1.177697,1.195574,0.522478,0.50771,0.592087,0.59652,,missing,0.0,0.045,0.399953,0.405283,True,0.522478,0.522478,0.522478,2026-04-25,standard_letf,blended_realized_expected,0.522478,0.522478,0.0,0.03223628846153846,0.042212,0.361165134737986,0.4344357001368031,0.4876508000447223,0.5398610507549808,0.6146917247383119,"{""e"":[0.327258,0.344438,0.361617,0.378796,0.395975,0.413155,0.430334,0.447513,0.464692,0.481872,0.499051,0.51623,0.533409,0.550589,0.567768,0.584947,0.602126,0.619306,0.636485,0.653664,0.670843],""c"":[7,10,9,19,20,28,27,27,35,38,28,44,14,24,16,22,9,9,4,2]}",0.399953,0.122525,,,10.0,400.0,trading_days_252,,0.0,0.0,block_bootstrap_daily_drag;weighted_borrow_resample_full_history;halflife_cal_days=90,empirical_block_marginal_x_weighted_borrow_marginal,deferred,0.04776413531343861,none,False,ok,90.0,52.0,weighted_empirical,2,short_favorable_positive,0.399953,,,simple_ito,0.399953,0.399953,0.399953,0.399953,simple_ito_fallback,-0.927871,0.0,479.0,252.0,0.5019165,1.0,0.5019165,1.0,bucket_1,,False
AMZU,AMZN,False,,1.988558,500,ols,0.08256000000000001,250000,0.08256000000000001,False,False,42.47999954223633,0.08256000000000001,1.0,False,,True,False,False,False,False,False,False,False,0.613837,0.616809,0.21361,0.211421,0.308738,0.309507,,missing,0.0,0.045,0.138175,0.138642,True,0.21361,0.13105,0.13105,2026-04-25,standard_letf,blended_realized_expected,0.13105,0.21361,0.08256000000000001,0.06703435294117648,0.054874,0.060897145786641384,0.12541652515958088,0.15198603090096724,0.16993420332267573,0.1921071982937587,"{""e"":[0.036936,0.045331,0.053727,0.062122,0.070517,0.078913,0.087308,0.095704,0.104099,0.112495,0.12089,0.129286,0.137681,0.146077,0.154472,0.162868,0.171263,0.179659,0.188054,0.19645,0.204845],""c"":[3,5,9,4,8,10,11,9,13,15,23,23,29,52,42,45,46,18,20,7]}",0.138175,0.075435,,,10.0,400.0,trading_days_252,,0.0,0.0,block_bootstrap_daily_drag;weighted_borrow_resample_full_history;halflife_cal_days=90,empirical_block_marginal_x_weighted_borrow_marginal,deferred,0.28076394626934825,momentum_incomparable_to_vol_drag,False,incomplete_regime,90.0,51.0,weighted_empirical,2,short_favorable_positive,0.138175,,,simple_ito,0.138175,0.138175,0.138175,0.138175,simple_ito_fallback,-1.961989,0.0,479.0,252.0,0.4971395,0.5965674,0.5,0.5965674,bucket_1,,False
ASMU,ASML,False,,2.004162,50,ols,0.139625,10000,0.139625,False,False,24.790000915527344,0.139625,1.0,False,,True,False,False,False,False,False,False,False,0.916573,0.932284,0.353366,0.330232,0.385654,0.384746,,missing,0.0,0.045,0.194846,0.194142,True,0.226298,0.21374100000000001,0.086673,2026-04-25,standard_letf,blended_realized_expected,0.21374100000000001,0.226298,0.139625,0.08248277777777778,0.069396,0.09910173736403276,0.1984674082819786,0.26838302817772647,0.3342904518179369,0.42055457102577615,"{""e"":[0.019848,0.043095,0.066343,0.08959,0.112838,0.136085,0.159333,0.18258,0.205828,0.229075,0.252323,0.27557,0.298818,0.322065,0.345313,0.36856,0.391808,0.415055,0.438303,0.46155,0.484798],""c"":[4,4,5,11,15,12,27,26,36,25,43,28,44,26,33,23,9,11,2,8]}",0.194846,0.15852000000000002,,,10.0,400.0,trading_days_252,,0.0,0.0,block_bootstrap_daily_drag;weighted_borrow_resample_full_history;halflife_cal_days=90,empirical_block_marginal_x_weighted_borrow_marginal,deferred,0.004376576902889662,none,False,ok,90.0,45.0,weighted_empirical,2,short_favorable_positive,0.194846,,,simple_ito,0.194846,0.194846,0.194846,0.194846,simple_ito_fallback,-1.641778,0.0,479.0,252.0,0.5010405,0.6012486,0.5010405,0.6012486,bucket_1,,False
AVL,AVGO,False,,1.98656,384,ols,0.045164,150000,0.045164,False,False,60.11000061035156,0.045164,1.0,False,,True,False,False,False,False,False,False,False,0.845873,0.850416,0.377142,0.373784,0.425506,0.425685,,missing,0.0,0.045,0.221817,0.221966,True,0.377142,0.331978,0.331978,2026-04-25,standard_letf,blended_realized_expected,0.331978,0.377142,0.045164,0.06430346153846155,0.0537845,0.22946312676427266,0.27676632204618795,0.3173493963006373,0.3610951171737804,0.41607438439106337,"{""e"":[0.169313,0.183637,0.197962,0.212287,0.226611,0.240936,0.255261,0.269585,0.28391,0.298234,0.312559,0.326884,0.341208,0.355533,0.369858,0.384182,0.398507,0.412831,0.427156,0.441481,0.455805],""c"":[4,3,3,5,14,20,23,43,32,33,45,34,26,34,26,19,9,11,2,6]}",0.221817,0.155325,,,10.0,400.0,trading_days_252,,0.0,0.0,block_bootstrap_daily_drag;weighted_borrow_resample_full_history;halflife_cal_days=90,empirical_block_marginal_x_weighted_borrow_marginal,deferred,0.13061135013401357,momentum_incomparable_to_vol_drag,False,incomplete_regime,90.0,52.0,weighted_empirical,2,short_favorable_positive,0.221817,,,simple_ito,0.221817,0.221817,0.221817,0.221817,simple_ito_fallback,-1.485629,0.0,479.0,252.0,0.49664,0.595968,0.5,0.595968,bucket_1,,False
BOEU,BA,False,,1.995547,252,ols,0.051603,20000,0.051603,False,False,40.939998626708984,0.051603,1.0,False,,True,False,False,False,False,False,False,False,0.602926,0.609096,0.197893,0.195302,0.30264,0.304282,,missing,0.0,0.045,0.13578,0.13677,True,0.197893,0.14629,0.14629,2026-04-25,standard_letf,blended_realized_expected,0.14629,0.197893,0.051603,0.06361545283018868,0.055103,0.047924447152227885,0.10194067398350322,0.1371100034991693,0.1744770051184152,0.22739960793091,"{""e"":[0.019818,0.031737,0.043656,0.055575,0.067494,0.079413,0.091332,0.103251,0.11517,0.127089,0.139008,0.150927,0.162846,0.174765,0.186684,0.198603,0.210522,0.222441,0.23436,0.246279,0.258198],""c"":[5,7,13,14,15,22,22,37,32,33,43,32,21,33,18,19,7,9,6,4]}",0.13578,0.062113,,,10.0,400.0,trading_days_252,,0.0,0.0,block_bootstrap_daily_drag;weighted_borrow_resample_full_history;halflife_cal_days=90,empirical_block_marginal_x_weighted_borrow_marginal,deferred,0.01063644105051822,none,False,ok,90.0,53.0,weighted_empirical,2,short_favorable_positive,0.13578,,,simple_ito,0.13578,0.13578,0.13578,0.13578,simple_ito_fallback,-1.990027,0.0,479.0,252.0,0.49888675,0.5986640999999999,0.5,0.5986640999999999,bucket_1,,False
BABU,BABA,False,,2.037119,49,ols,0.054564,35000,0.054564,False,False,15.670000076293945,0.054564,1.0,False,,True,False,False,False,False,False,False,False,0.774812,0.762053,0.246098,0.240213,0.424055,0.429119,,missing,0.0,0.045,0.236629,0.241193,True,0.23847,0.191534,0.183906,2026-04-25,standard_letf,blended_realized_expected,0.191534,0.23847,0.054564,0.06762778048780489,0.053344,-0.0727893165785361,0.09548886396943856,0.1980116486342527,0.2938295656561043,0.4016735041464431,"{""e"":[-0.17479,-0.142739,-0.110689,-0.078639,-0.046588,-0.014538,0.017512,0.049563,0.081613,0.113664,0.145714,0.177764,0.209815,0.241865,0.273915,0.305966,0.338016,0.370066,0.402117,0.434167,0.466218],""c"":[5,3,5,10,7,12,21,20,25,40,26,35,37,23,43,28,23,13,10,6]}",0.236629,0.009469000000000005,,,10.0,400.0,trading_days_252,,0.0,0.0,block_bootstrap_daily_drag;weighted_borrow_resample_full_history;halflife_cal_days=90,empirical_block_marginal_x_weighted_borrow_marginal,deferred,0.18155471590465153,momentum_incomparable_to_vol_drag,False,incomplete_regime,90.0,41.0,weighted_empirical,2,short_favorable_positive,0.236629,,,simple_ito,0.236629,0.236629,0.236629,0.236629,simple_ito_fallback,-1.496098,0.0,479.0,252.0,0.50927975,0.6111357000000001,0.50927975,0.6111357000000001,bucket_1,,False
BRKU,BRK-B,False,,1.946855,341,ols,0.073029,150000,0.073029,False,False,20.770000457763672,0.073029,1.0,False,,True,False,False,False,False,False,False,False,0.298386,0.294789,0.137246,0.135131,0.153018,0.152297,,missing,0.0,0.045,0.06419,0.063987,True,0.137246,0.06421700000000001,0.06421700000000001,2026-04-25,standard_letf,blended_realized_expected,0.06421700000000001,0.137246,0.073029,0.10404697916666666,0.087698,-0.06214204580077229,0.006246237210726129,0.040560030398980707,0.06402922597360729,0.09777735041231267,"{""e"":[-0.186639,-0.170905,-0.155172,-0.139438,-0.123704,-0.10797,-0.092237,-0.076503,-0.060769,-0.045035,-0.029302,-0.013568,0.002166,0.0179,0.033633,0.049367,0.065101,0.080835,0.096568,0.112302,0.128036],""c"":[1,2,0,1,0,4,4,5,6,11,21,32,36,50,62,64,34,39,14,6]}",0.06419,0.07305600000000001,,,10.0,400.0,trading_days_252,,0.0,0.0,block_bootstrap_daily_drag;weighted_borrow_resample_full_history;halflife_cal_days=90,empirical_block_marginal_x_weighted_borrow_marginal,deferred,0.035163964479230016,none,False,ok,90.0,48.0,weighted_empirical,2,short_favorable_positive,0.06419,,,simple_ito,0.06419,0.06419,0.06419,0.06419,simple_ito_fallback,-2.664367,0.0,479.0,252.0,0.48671375,0.5840565,0.5,0.5840565,bucket_1,,False
CONX,COIN,False,,2.004165,106,ols,0.10302199999999999,25000,0.10302199999999999,False,False,10.706999778747559,0.10302199999999999,1.0,False,,True,False,False,False,False,False,False,False,1.473957,1.499437,0.702462,0.682141,0.718145,0.731244,,missing,0.0,0.045,0.564146,0.58325,True,0.622327,0.5994400000000001,0.519305,2026-04-25,standard_letf,blended_realized_expected,0.5994400000000001,0.622327,0.10302199999999999,0.15763486363636367,0.15454299999999999,0.3295956790407509,0.4644326613079307,0.5400591400473592,0.6265096656375695,0.7695994657919052,"{""e"":[0.260771,0.289579,0.318387,0.347195,0.376003,0.40481,0.433618,0.462426,0.491234,0.520042,0.54885,0.577658,0.606466,0.635274,0.664082,0.69289,0.721698,0.750506,0.779314,0.808122,0.83693],""c"":[3,10,10,8,16,21,24,42,37,38,37,33,24,28,17,12,9,12,6,5]}",0.564146,0.138316,,,10.0,400.0,trading_days_252,,0.0,0.0,block_bootstrap_daily_drag;weighted_borrow_resample_full_history;halflife_cal_days=90,empirical_block_marginal_x_weighted_borrow_marginal,deferred,-0.08524512415326573,mean_reversion,False,incomplete_regime,90.0,44.0,weighted_empirical,2,short_favorable_positive,0.564146,,,simple_ito,0.564146,0.564146,0.564146,0.564146,simple_ito_fallback,-0.578679,0.0,479.0,252.0,0.50104125,0.6012495,0.50104125,0.6012495,bucket_1,,False
CSCL,CSCO,False,,2.022857,209,ols,0.09885300000000001,10000,0.09885300000000001,False,False,37.709999084472656,0.09885300000000001,1.0,False,,True,False,False,False,False,False,False,False,0.555009,0.531734,0.195527,0.195756,0.257426,0.252303,,missing,0.0,0.045,0.114586,0.111885,True,0.181716,0.096674,0.08286299999999998,2026-04-25,standard_letf,blended_realized_expected,0.096674,0.181716,0.09885300000000001,0.08880026415094339,0.094001,0.01706736473218939,0.07064461435668024,0.10780343565886719,0.14047566032153108,0.1935097904347287,"{""e"":[-0.020478,-0.008657,0.003165,0.014986,0.026807,0.038629,0.05045,0.062271,0.074092,0.085914,0.097735,0.109556,0.121378,0.133199,0.14502,0.156841,0.168663,0.180484,0.192305,0.204127,0.215948],""c"":[3,2,9,9,12,17,22,28,36,28,34,43,36,24,28,15,19,9,9,9]}",0.114586,0.08094100000000001,,,10.0,400.0,trading_days_252,,0.0,0.0,block_bootstrap_daily_drag;weighted_borrow_resample_full_history;halflife_cal_days=90,empirical_block_marginal_x_weighted_borrow_marginal,deferred,0.005157572659147752,none,False,ok,90.0,53.0,weighted_empirical,2,short_favorable_positive,0.114586,,,simple_ito,0.114586,0.114586,0.114586,0.114586,simple_ito_fallback,-2.200393,0.0,479.0,252.0,0.50571425,0.6068571,0.50571425,0.6068571,bucket_1,,False
