source_detail_date,ETF,Underlying,inverse_etf_short_usd,underlying_short_usd
2026-07-21,CONI,COIN,10788.129241344,10788.129241344
2026-07-21,CORD,CRWV,55787.20203966,0.5223169733571935
2026-07-21,DAMD,AMD,15774.6551859,1530.866647531839
2026-07-21,IREZ,IREN,472.09174042,0.0
2026-07-21,LITZ,LITE,25934.511075,14545.45
2026-07-21,MSTZ,MSTR,9918.37950792,9918.37950792
2026-07-21,MUZ,MU,5558.0,5558.0
2026-07-21,NBIZ,NBIS,36428.55168962301,30314.92
2026-07-21,QBTZ,QBTS,82422.33276144,0.0
2026-07-21,RKLZ,RKLB,29476.55293803,12885.04
2026-07-21,SNDQ,SNDK,52590.5745462,34773.75
2026-07-21,SPCG,SPCX,526.24,2674.784376367544
2026-07-21,SSPC,SPCX,2956.4,2674.784376367544
2026-07-21,UVIX,SVIX,31028.4648975,30351.7
