etf,underlying,delta,partial_hedge_ratio
DAMD,AMD,-1.0,1.0
AURU,AUR,-1.0,1.0
AXUP,AXON,-1.0,1.0
BEZ,BE,-1.971357,1.0
BKNU,BKNG,-1.0,1.0
BLSX,BLSH,-1.0,1.0
CELT,CELH,-1.0,1.0
CLSZ,CLSK,-2.024529,1.0
CONI,COIN,-1.0,1.0
CRCD,CRCL,-2.011048,1.0
CORD,CRWV,-2.005985,1.0
DASX,DASH,-1.0,1.0
DXD,DIA,-1.989846,1.0
SDOW,DIA,-2.989109,1.0
DKUP,DKNG,-1.0,1.0
BTCZ,IBIT,-1.992719,1.0
IREZ,IREN,-2.011783,1.0
TWM,IWM,-2.003331,1.0
TZA,IWM,-2.991874,1.0
LITZ,LITE,-1.0,1.0
LYFX,LYFT,-1.0,1.0
MSTZ,MSTR,-1.982458,1.0
NBIZ,NBIS,-1.987635,1.0
NWMX,NEM,-1.0,1.0
NETX,NET,-1.0,1.0
NVDS,NVDA,-1.452934,1.0
OKTX,OKTA,-1.0,1.0
QBTZ,QBTS,-1.0,1.0
QID,QQQ,-1.993151,1.0
QSX,QS,-1.0,1.0
SNDQ,SNDK,-1.0,1.0
TSXD,SOXX,-1.889753,1.0
SSPC,SPCX,-1.0,1.0
HIBS,SPY,-4.466478,1.0
SPXS,SPY,-2.90193,1.0
SPXU,SPY,-2.894933,1.0
TBT,TLT,-1.983459,1.0
TBX,TLT,-0.426352,1.0
TMV,TLT,-2.965707,1.0
PXIU,UPXI,-1.0,1.0
SCO,USO,-1.402956,1.0
DUG,XLE,-1.975249,1.0
SKF,XLF,-2.003695,1.0
FNGD,XLK,-2.842414,1.0
REW,XLK,-1.999081,1.0
TECS,XLK,-2.963289,1.0
TTXD,XLK,-1.870942,1.0
WEBS,XLK,-2.249356,1.0
DRIP,XOP,-1.999008,1.0
GXRP,XRPZ,-1.0,1.0
XRP,XRPZ,-1.0,1.0
