bucket,realized_pnl,unrealized_pnl,dividends,withholding_tax,pil_dividends,borrow_fees,short_credit_interest,other_fees,bond_interest,total_pnl
bucket_1,2529.432391890545,91911.03899,4.82,0.0,-731.23,-4268.099689431516,691.1577559781242,0.0,0.0,90137.11944843715
bucket_4,-892.7756035005465,0.0,0.0,0.0,0.0,-7.2364833747396515,0.0,0.0,0.0,-900.0120868752862
bucket_3,30.564975440000012,-4852.0731,0.0,0.0,-516.59,-484.19,53.45661685016405,0.0,0.0,-5768.831507709836
bucket_2,14770.44783199,-69586.573495,433.99,0.0,-15592.68,-1415.3638271937443,128.02562717171193,0.0,0.0,-71262.15386303203
