ETF,Underlying,Beta,Beta_n_obs,Beta_source,borrow_fee_annual,shares_available,borrow_current,borrow_spiking,borrow_missing_from_ftp,borrow_price_ref,borrow_current_raw_annual,borrow_floor_factor,protected,cagr_positive,borrow_leq_low,borrow_gt_low,protected_ok,protected_bad,purgatory,include_for_algo,exclude_borrow_gt_low,exclude_no_shares,exclude_borrow_spike,vol_etf_annual,gross_decay_annual,vol_underlying_annual,expected_gross_decay_annual,blended_gross_decay,net_decay_annual,decay_score,maint_pct_long,maint_pct_short,init_pct_long,init_pct_short
AAPU,AAPL,1.986314,501,ols,0.10850699999999999,25000,0.10850699999999999,False,False,28.469999313354492,0.10850699999999999,1.0,False,,True,False,False,False,False,True,False,False,False,0.563897,0.174142,0.283726,0.078855,0.174142,0.065635,0.065635,0.4965785,0.5958941999999999,0.5,0.5958941999999999
AMUU,AMD,2.007541,249,ols,0.043757000000000004,50000,0.043757000000000004,False,False,45.45899963378906,0.043757000000000004,1.0,False,,True,False,False,False,False,True,False,False,False,1.294634,0.494275,0.561173,0.318486,0.492182,0.45051800000000003,0.448425,0.50188525,0.6022622999999999,0.50188525,0.6022622999999999
AMZU,AMZN,1.988298,501,ols,0.047124,60000,0.047124,False,False,27.440000534057617,0.047124,1.0,False,,True,False,False,False,False,True,False,False,False,0.636612,0.210007,0.320037,0.100633,0.210007,0.162883,0.162883,0.4970745,0.5964894,0.5,0.5964894
ASMU,ASML,1.990176,34,ols,0.057016,10000,0.057016,False,False,22.09000015258789,0.057016,1.0,False,,True,False,False,False,False,True,False,False,False,0.895366,0.296419,0.437552,0.18864,0.203182,0.23940299999999998,0.14616600000000002,0.497544,0.5970527999999999,0.5,0.5970527999999999
AVL,AVGO,1.986852,368,ols,0.044316,100000,0.044316,False,False,33.757999420166016,0.044316,1.0,False,,True,False,False,False,False,True,False,False,False,1.074463,0.376912,0.53605,0.281707,0.376912,0.332596,0.332596,0.496713,0.5960556,0.5,0.5960556
BOEU,BA,1.993469,236,ols,0.056112,10000,0.056112,False,False,33.04899978637695,0.056112,1.0,False,,True,False,False,False,False,True,False,False,False,0.603427,0.191947,0.353915,0.124031,0.187635,0.135835,0.131523,0.49836725,0.5980407,0.5,0.5980407
BABU,BABA,2.02513,33,ols,0.047868,15000,0.047868,False,False,13.25,0.047868,1.0,False,,True,False,False,False,False,True,False,False,False,0.715662,0.198974,0.444809,0.205376,0.204538,0.15110600000000002,0.15667,0.5062825,0.6075389999999999,0.5062825,0.6075389999999999
BRKU,BRK-B,1.946204,325,ols,0.141147,25000,0.141147,False,False,21.7189998626709,0.141147,1.0,False,,True,False,False,False,False,True,False,False,False,0.356824,0.135745,0.172812,0.027497,0.135745,-0.00540199999999999,-0.00540199999999999,0.486551,0.5838612,0.5,0.5838612
CONX,COIN,2.002761,90,ols,0.149028,2000,0.149028,False,False,8.315999984741211,0.149028,1.0,False,,True,False,False,False,False,True,False,False,False,1.544257,0.693273,0.793483,0.632225,0.654028,0.5442450000000001,0.5050000000000001,0.50069025,0.6008283,0.50069025,0.6008283
CSCL,CSCO,2.025223,193,ols,0.094001,10000,0.094001,False,False,28.952999114990234,0.094001,1.0,False,,True,False,False,False,False,True,False,False,False,0.53379,0.190609,0.238978,0.059289,0.159863,0.096608,0.065862,0.50630575,0.6075669,0.50630575,0.6075669
