ETF,Underlying,Leverage,Beta,Beta_n_obs,Beta_source
AAPU,AAPL,2.0,1.986314,501,ols
AMUU,AMD,2.0,2.007541,249,ols
AMZU,AMZN,2.0,1.988298,501,ols
ASMU,ASML,2.0,1.990176,34,ols
AVL,AVGO,2.0,1.986852,368,ols
BOEU,BA,2.0,1.993469,236,ols
BABU,BABA,2.0,2.02513,33,ols
BRKU,BRK-B,2.0,1.946204,325,ols
CONX,COIN,2.0,2.002761,90,ols
CSCL,CSCO,2.0,2.025223,193,ols
FRDU,F,2.0,1.984377,174,ols
GGLL,GOOGL,2.0,1.994595,501,ols
HODU,HOOD,2.0,2.006336,90,ols
LINT,INTC,2.0,1.989699,90,ols
ELIL,LLY,2.0,1.992329,254,ols
LMTL,LMT,2.0,1.993929,164,ols
METU,META,2.0,1.998283,455,ols
MRVU,MRVL,2.0,2.009497,33,ols
MSFU,MSFT,2.0,1.991664,501,ols
MUU,MU,2.0,1.994267,368,ols
NFXL,NFLX,2.0,1.996722,373,ols
NVDU,NVDA,2.0,1.987284,501,ols
ORCU,ORCL,2.0,2.004102,90,ols
PALU,PANW,2.0,2.004325,254,ols
PLTU,PLTR,2.0,1.99193,325,ols
QCMU,QCOM,2.0,2.002481,193,ols
SHPU,SHOP,2.0,2.011967,164,ols
SOFA,SOFI,2.0,1.99336,34,ols
TSLL,TSLA,2.0,1.993786,501,ols
TSMX,TSM,2.0,1.994771,373,ols
XOMX,XOM,2.0,1.981024,236,ols
YINN,FXI,2.0,2.97289,501,ols
MEXX,EWW,2.0,2.956222,501,ols
KORU,EWY,2.0,2.929762,501,ols
HIBL,SPY,2.0,4.472404,501,ols
LABU,XBI,2.0,2.988408,501,ols
SOXL,SOXX,2.0,2.96137,501,ols
CHAU,ASHR,2.0,1.966446,501,ols
CWEB,KWEB,2.0,1.987657,501,ols
ERX,XLE,2.0,1.987162,501,ols
NUGT,GDX,2.0,1.978139,501,ols
JNUG,GDXJ,2.0,1.974834,501,ols
GUSH,XOP,2.0,2.010507,501,ols
URAA,URA,2.0,1.932222,442,ols
MSTU,MSTR,2.0,1.966007,384,ols
NVDX,NVDA,2.0,1.997801,501,ols
TSLT,TSLA,2.0,1.992573,501,ols
BTCL,IBIT,2.0,2.006037,433,ols
ETU,ETHA,2.0,1.989231,358,ols
CCUP,CRCL,2.0,1.9843,161,ols
CRWU,CRWV,2.0,1.988525,171,ols
AAPX,AAPL,2.0,1.995695,501,ols
GOOX,GOOGL,2.0,1.97938,501,ols
MSFX,MSFT,2.0,2.007296,501,ols
NFLU,NFLX,2.0,1.992365,377,ols
ROBN,HOOD,2.0,2.011346,292,ols
DJTU,DJT,2.0,2.007309,271,ols
RBLU,RBLX,2.0,2.017971,271,ols
SNOU,SNOW,2.0,2.016588,235,ols
SMUP,SMR,2.0,1.981747,171,ols
GLXU,GLXY,2.0,2.01146,162,ols
AFRU,AFRM,2.0,1.949346,136,ols
KTUP,KTOS,2.0,2.027032,136,ols
TTDU,TTD,2.0,1.995539,135,ols
BMNU,BMNR,2.0,1.94655,128,ols
SBTU,SBET,2.0,2.024824,111,ols
CIFU,CIFR,2.0,1.985321,88,ols
SOLX,GSOL,2.0,1.97961,81,ols
XRPK,XRPZ,2.0,1.957466,81,ols
XRPT,XRPZ,2.0,2.016129,87,ols
GMEU,GME,2.0,1.966928,235,ols
APLX,APLD,2.0,1.994405,141,ols
