ETF,Underlying,Leverage,Beta,Beta_n_obs,Beta_source
AAPU,AAPL,2.0,1.978271,500,ols
AMUU,AMD,2.0,2.00782,240,ols
AMZU,AMZN,2.0,1.986997,500,ols
ASMU,ASML,2.0,1.996117,25,ols_short_history
AVL,AVGO,2.0,1.987221,359,ols
BOEU,BA,2.0,1.989059,227,ols
BABU,BABA,2.0,2.02934,24,ols_short_history
BRKU,BRK-B,2.0,1.944703,316,ols
CONX,COIN,2.0,1.998477,81,ols
CSCL,CSCO,2.0,2.027429,184,ols
FRDU,F,2.0,1.981642,165,ols
GGLL,GOOGL,2.0,1.990264,500,ols
HODU,HOOD,2.0,2.007589,81,ols
LINT,INTC,2.0,1.987414,81,ols
ELIL,LLY,2.0,1.991152,245,ols
LMTL,LMT,2.0,1.986438,155,ols
METU,META,2.0,1.998683,446,ols
MRVU,MRVL,2.0,2.020743,24,ols_short_history
MSFU,MSFT,2.0,1.989719,500,ols
MUU,MU,2.0,1.994036,359,ols
NFXL,NFLX,2.0,1.996853,364,ols
NVDU,NVDA,2.0,1.98559,500,ols
ORCU,ORCL,2.0,2.005216,81,ols
PALU,PANW,2.0,2.005212,245,ols
PLTU,PLTR,2.0,1.99179,316,ols
QCMU,QCOM,2.0,2.00354,184,ols
SHPU,SHOP,2.0,2.009717,155,ols
SOFA,SOFI,2.0,2.002909,25,ols_short_history
TSLL,TSLA,2.0,1.992548,500,ols
TSMX,TSM,2.0,1.994143,364,ols
XOMX,XOM,2.0,1.969002,227,ols
YINN,FXI,2.0,2.973545,500,ols
MEXX,EWW,2.0,2.956334,500,ols
KORU,EWY,2.0,2.93486,500,ols
HIBL,SPY,2.0,4.482093,500,ols
LABU,XBI,2.0,2.987621,500,ols
SOXL,SOXX,2.0,2.960426,500,ols
CHAU,ASHR,2.0,1.967212,500,ols
CWEB,KWEB,2.0,1.987227,500,ols
ERX,XLE,2.0,1.987441,500,ols
NUGT,GDX,2.0,1.98001,500,ols
JNUG,GDXJ,2.0,1.972752,500,ols
GUSH,XOP,2.0,2.010823,500,ols
URAA,URA,2.0,1.929965,433,ols
MSTU,MSTR,2.0,1.965773,375,ols
NVDX,NVDA,2.0,1.997766,500,ols
TSLT,TSLA,2.0,1.992896,500,ols
BTCL,IBIT,2.0,2.006451,424,ols
ETU,ETHA,2.0,1.989503,349,ols
CCUP,CRCL,2.0,1.982234,152,ols
CRWU,CRWV,2.0,1.989163,162,ols
AAPX,AAPL,2.0,1.995444,500,ols
GOOX,GOOGL,2.0,1.982408,500,ols
MSFX,MSFT,2.0,2.007488,500,ols
NFLU,NFLX,2.0,1.989955,368,ols
ROBN,HOOD,2.0,2.012049,283,ols
ARMU,ARM,2.0,1.976996,262,ols
DJTU,DJT,2.0,2.002846,262,ols
RBLU,RBLX,2.0,2.018991,262,ols
SNOU,SNOW,2.0,2.021262,226,ols
SMUP,SMR,2.0,2.058593,162,ols
DKUP,DKNG,2.0,1.925971,159,ols
BULU,BULL,2.0,1.946679,158,ols
GLXU,GLXY,2.0,2.011211,153,ols
AFRU,AFRM,2.0,1.951994,127,ols
AXUP,AXON,2.0,1.969672,124,ols
KTUP,KTOS,2.0,2.022386,127,ols
TTDU,TTD,2.0,1.997591,126,ols
BKNU,BKNG,2.0,2.004394,123,ols
PXIU,UPXI,2.0,1.911583,123,ols
BMNU,BMNR,2.0,1.944008,119,ols
SBTU,SBET,2.0,2.025657,102,ols
CIFU,CIFR,2.0,1.990064,79,ols
SOLX,GSOL,2.0,1.982433,72,ols
XRPK,XRPZ,2.0,1.960939,72,ols
XRPT,XRPZ,2.0,2.018389,78,ols
GMEU,GME,2.0,1.966442,226,ols
APLX,APLD,2.0,1.994425,132,ols
APPX,APP,2.0,1.984481,225,ols
ARCX,ACHR,2.0,1.987933,194,ols
ASTX,ASTS,2.0,1.989921,173,ols
AURU,AUR,2.0,1.850768,99,ols
BEX,BE,2.0,1.976029,85,ols
BLSX,BLSH,2.0,1.893487,99,ols
CEGX,CEG,2.0,1.983512,173,ols
CELT,CELH,2.0,1.866006,111,ols
CLSX,CLSK,2.0,1.998669,127,ols
COZX,CORZ,2.0,2.037933,91,ols
CRDU,CRDO,2.0,1.987997,127,ols
CSEX,CLS,2.0,2.000483,85,ols
CWVX,CRWV,2.0,1.989873,173,ols
DASX,DASH,2.0,1.89006,100,ols
DOGD,DDOG,2.0,2.015762,151,ols
ENPX,ENPH,2.0,2.017861,127,ols
FLYT,FLY,2.0,1.966259,100,ols
GEVX,GEV,2.0,1.994895,173,ols
IREX,IREN,2.0,1.982229,100,ols
JOBX,JOBY,2.0,1.979449,132,ols
LABX,ALAB,2.0,1.993632,151,ols
LRCU,LRCX,2.0,2.046163,146,ols
LYFX,LYFT,2.0,1.839153,99,ols
MDBX,MDB,2.0,1.991549,146,ols
NEBX,NBIS,2.0,1.998964,132,ols
NETX,NET,2.0,1.510233,107,ols
NNEX,NNE,2.0,1.993484,85,ols
NVTX,NVTS,2.0,2.000259,132,ols
NWMX,NEM,2.0,1.221794,68,ols
OKTX,OKTA,2.0,1.692947,80,ols
OPEX,OPEN,2.0,2.002033,100,ols
PONX,PONY,2.0,2.017991,132,ols
QBTX,QBTS,2.0,1.992937,225,ols
QSX,QS,2.0,1.697939,67,ols
QUBX,QUBT,2.0,1.965028,185,ols
RGTU,RGTI,2.0,1.986409,185,ols
SMU,SMR,2.0,1.986408,173,ols
SNPX,SNPS,2.0,1.911249,85,ols
SRPU,SRPT,2.0,1.95591,100,ols
TARK,ARKK,2.0,1.976954,500,ols
