ETF,Underlying,Beta,Beta_n_obs,Beta_source,borrow_fee_annual,borrow_rebate_annual,borrow_net_annual,shares_available,borrow_current,borrow_spiking,borrow_missing_from_ftp,protected,cagr_positive,borrow_leq_low,borrow_gt_low,protected_ok,protected_bad,include_for_algo,purgatory,exclude_borrow_gt_low,exclude_no_shares,exclude_borrow_spike,vol_etf_annual,gross_decay_annual,vol_underlying_annual,expected_gross_decay_annual,blended_gross_decay,net_decay_annual,decay_score,maint_pct_long,maint_pct_short,init_pct_long,init_pct_short
AAPU,AAPL,1.978271,500,ols,0.066841,-0.030441,0.097282,10000,0.097282,False,False,False,,True,False,False,False,True,False,False,False,False,0.564527,0.169075,0.285058,0.078629,0.169075,0.07179300000000001,0.07179300000000001,0.49456775,0.5934813,0.5,0.5934813
AMUU,AMD,2.00782,240,ols,0.037147,-0.000747,0.037894,30000,0.037894,False,False,False,,True,False,False,False,True,False,False,False,False,1.29483,0.493943,0.555519,0.312231,0.48529,0.45604900000000004,0.447396,0.501955,0.602346,0.501955,0.602346
AMZU,AMZN,1.986997,500,ols,0.042261,-0.005861,0.048122,100000,0.048122,False,False,False,,True,False,False,False,True,False,False,False,False,0.629437,0.210709,0.316608,0.098294,0.210709,0.162587,0.162587,0.49674925,0.5960991,0.5,0.5960991
ASMU,ASML,1.996117,25,ols_short_history,0.054309,-0.017908999999999998,0.072218,2000,0.072218,False,False,False,,True,False,False,False,True,False,False,False,False,0.804525,,0.432685,0.186127,0.186127,,0.11390899999999998,0.49902925,0.5988351,0.5,0.5988351
AVL,AVGO,1.987221,359,ols,0.044467999999999994,-0.008067999999999999,0.05253599999999999,100000,0.05253599999999999,False,False,False,,True,False,False,False,True,False,False,False,False,1.077532,0.377005,0.534484,0.280221,0.377005,0.324469,0.324469,0.49680525,0.5961662999999999,0.5,0.5961662999999999
BOEU,BA,1.989059,227,ols,0.046378,-0.009978,0.056356,8000,0.056356,False,False,False,,True,False,False,False,True,False,False,False,False,0.587936,0.189193,0.350348,0.120737,0.182402,0.13283699999999998,0.126046,0.49726475,0.5967176999999999,0.5,0.5967176999999999
BABU,BABA,2.02934,24,ols_short_history,0.046191,-0.009791,0.055982000000000004,10000,0.055982000000000004,False,False,False,,True,False,False,False,True,False,False,False,False,0.675208,,0.44287,0.20485,0.20485,,0.148868,0.507335,0.608802,0.507335,0.608802
BRKU,BRK-B,1.944703,316,ols,0.069186,-0.032786,0.10197200000000001,1000,0.10197200000000001,False,False,False,,True,False,False,False,True,False,False,False,False,0.359338,0.136704,0.172711,0.027401,0.136704,0.034731999999999985,0.034731999999999985,0.48617575,0.5834109,0.5,0.5834109
CONX,COIN,1.998477,81,ols,,,,0,,False,True,False,,False,True,False,False,False,False,True,True,False,1.529243,0.683608,0.791967,0.62578,0.644368,,,0.49961925,1.0,0.5,1.0
CSCL,CSCO,2.027429,184,ols,0.069478,-0.033077999999999996,0.102556,9000,0.102556,False,False,False,,True,False,False,False,True,False,False,False,False,0.529952,0.193981,0.236012,0.058014,0.157291,0.09142499999999999,0.05473499999999999,0.50685725,0.6082287000000001,0.50685725,0.6082287000000001
FRDU,F,1.981642,165,ols,,,,0,,False,True,False,,False,True,False,False,False,False,True,True,False,0.625385,0.203885,0.346301,0.116642,0.173765,,,0.4954105,1.0,0.5,1.0
GGLL,GOOGL,1.990264,500,ols,0.04633,-0.00993,0.056260000000000004,100000,0.056260000000000004,False,False,False,,True,False,False,False,True,False,False,False,False,0.589806,0.194311,0.296168,0.086439,0.194311,0.138051,0.138051,0.497566,0.5970792,0.5,0.5970792
HODU,HOOD,2.007589,81,ols,0.10037800000000001,-0.06397800000000001,0.164356,30000,0.164356,False,False,False,,True,False,False,False,True,False,False,False,False,1.43028,0.638169,0.70381,0.501002,0.545091,0.473813,0.380735,0.50189725,0.6022766999999999,0.50189725,0.6022766999999999
LINT,INTC,1.987414,81,ols,0.194583,-0.15818300000000002,0.352766,30000,0.352766,False,False,False,,False,True,False,False,False,True,True,False,False,1.417201,0.600164,0.619571,0.376652,0.448495,0.247398,0.09572899999999995,0.4968535,0.5962242,0.5,0.5962242
ELIL,LLY,1.991152,245,ols,,,,0,,False,True,False,,False,True,False,False,False,False,True,True,False,0.851474,0.285918,0.372974,0.137269,0.281789,,,0.497788,1.0,0.5,1.0
LMTL,LMT,1.986438,155,ols,0.11339600000000001,-0.07699600000000001,0.190392,10000,0.190392,False,False,False,,True,False,False,False,True,False,False,False,False,0.47591,0.15622,0.240962,0.056887,0.117985,-0.03417200000000001,-0.072407,0.4966095,0.5959314,0.5,0.5959314
METU,META,1.998683,446,ols,0.082238,-0.045838000000000004,0.12807600000000002,2000,0.12807600000000002,False,False,False,,True,False,False,False,True,False,False,False,False,0.706479,0.233236,0.352038,0.123686,0.233236,0.10515999999999998,0.10515999999999998,0.49967075,0.5996049,0.5,0.5996049
MRVU,MRVL,2.020743,24,ols_short_history,0.051603,-0.015203,0.066806,10000,0.066806,False,False,False,,True,False,False,False,True,False,False,False,False,1.421554,,0.631565,0.411371,0.411371,,0.344565,0.50518575,0.6062229,0.50518575,0.6062229
MSFU,MSFT,1.989719,500,ols,0.034575,0.001825,0.03275,100000,0.03275,False,False,False,,True,False,False,False,True,False,False,False,False,0.476469,0.157846,0.23921,0.056342,0.157846,0.12509599999999998,0.12509599999999998,0.49742975,0.5969156999999999,0.5,0.5969156999999999
MUU,MU,1.994036,359,ols,0.050307000000000004,-0.013907000000000001,0.06421400000000001,65000,0.06421400000000001,False,False,False,,True,False,False,False,True,False,False,False,False,1.256792,0.50808,0.60915,0.367751,0.50808,0.443866,0.443866,0.498509,0.5982107999999999,0.5,0.5982107999999999
NFXL,NFLX,1.996853,364,ols,0.138789,-0.102389,0.241178,20000,0.241178,False,False,False,,True,False,False,False,True,False,False,False,False,0.699902,0.229011,0.329574,0.108107,0.229011,-0.012167000000000011,-0.012167000000000011,0.49921325,0.5990559,0.5,0.5990559
NVDU,NVDA,1.98559,500,ols,,,,0,,False,True,False,,False,True,False,False,False,False,True,True,False,0.979648,0.34156,0.49305,0.237869,0.34156,,,0.4963975,1.0,0.5,1.0
ORCU,ORCL,2.005216,81,ols,0.141018,-0.104618,0.24563600000000002,50000,0.24563600000000002,False,False,False,,True,False,False,False,True,False,False,False,False,1.093477,0.387053,0.510598,0.262754,0.302707,0.14141699999999996,0.05707099999999998,0.501304,0.6015647999999999,0.501304,0.6015647999999999
PALU,PANW,2.005212,245,ols,0.05917,-0.022770000000000002,0.08194,150000,0.08194,False,False,False,,True,False,False,False,True,False,False,False,False,0.71389,0.237276,0.339215,0.115968,0.233906,0.15533599999999997,0.151966,0.501303,0.6015636000000001,0.501303,0.6015636000000001
PLTU,PLTR,1.99179,316,ols,0.071257,-0.034857,0.106114,15000,0.106114,False,False,False,,True,False,False,False,True,False,False,False,False,1.285708,0.500314,0.624114,0.384734,0.500314,0.39420000000000005,0.39420000000000005,0.4979475,0.597537,0.5,0.597537
QCMU,QCOM,2.00354,184,ols,0.026983999999999998,0.009416,0.017567999999999997,8000,0.017567999999999997,False,False,False,,True,False,False,False,True,False,False,False,False,0.654687,0.224063,0.383537,0.147883,0.203506,0.206495,0.185938,0.500885,0.601062,0.500885,0.601062
SHPU,SHOP,2.009717,155,ols,0.17879699999999998,-0.142397,0.321194,7000,0.321194,False,False,False,,False,True,False,False,False,True,True,False,False,1.016178,0.345383,0.575151,0.335636,0.341631,0.024189000000000016,0.02043700000000004,0.50242925,0.6029151,0.50242925,0.6029151
SOFA,SOFI,2.002909,25,ols_short_history,0.05025,-0.01385,0.0641,500,0.0641,False,False,False,,True,False,False,False,True,False,False,True,False,0.862138,,0.572408,0.329082,0.329082,,0.264982,0.50072725,0.6008726999999999,0.50072725,0.6008726999999999
TSLL,TSLA,1.992548,500,ols,0.057925000000000004,-0.021525,0.07945,1300000,0.07945,False,False,False,,True,False,False,False,True,False,False,False,False,1.245615,0.500564,0.624998,0.386267,0.500564,0.421114,0.421114,0.498137,0.5977644,0.5,0.5977644
TSMX,TSM,1.994143,364,ols,0.220744,-0.184344,0.405088,250000,0.405088,False,False,False,,False,True,False,False,False,False,True,False,False,0.801829,0.277245,0.403988,0.161775,0.277245,-0.12784299999999998,-0.12784299999999998,0.49853575,0.5982429,0.5,0.5982429
XOMX,XOM,1.969002,227,ols,0.051603,-0.015203,0.066806,4000,0.066806,False,False,False,,True,False,False,False,True,False,False,False,False,0.427732,0.131891,0.224994,0.048293,0.123598,0.065085,0.056791999999999995,0.4922505,0.5907005999999999,0.5,0.5907005999999999
YINN,FXI,2.973545,500,ols,0.022193,0.014207000000000001,0.007986,300000,0.007986,False,False,False,,True,False,False,False,True,False,False,False,False,0.854129,0.366781,0.286544,0.240921,0.366781,0.35879500000000003,0.35879500000000003,0.74338625,0.8920635,0.74338625,0.8920635
MEXX,EWW,2.956334,500,ols,,,,0,,False,True,False,,False,True,False,False,False,False,True,True,False,0.727874,0.29129,0.245575,0.174395,0.29129,,,0.7390835,1.0,0.7390835,1.0
KORU,EWY,2.93486,500,ols,0.102018,-0.065618,0.167636,100000,0.167636,False,False,False,,True,False,False,False,True,False,False,False,False,0.862366,0.354223,0.293515,0.244606,0.354223,0.186587,0.186587,0.733715,0.880458,0.733715,0.880458
HIBL,SPY,4.482093,500,ols,,,,0,,False,True,False,,False,True,False,False,False,False,True,True,False,0.799998,0.391885,0.164514,0.211201,0.391885,,,1.0,1.0,1.0,1.0
LABU,XBI,2.987621,500,ols,,,,0,,False,True,False,,False,True,False,False,False,False,True,True,False,0.775094,0.320255,0.259238,0.199538,0.320255,,,0.74690525,1.0,0.74690525,1.0
SOXL,SOXX,2.960426,500,ols,,,,0,,False,True,False,,False,True,False,False,False,False,True,True,False,1.11498,0.537847,0.376311,0.410931,0.537847,,,0.7401065,1.0,0.7401065,1.0
CHAU,ASHR,1.967212,500,ols,0.020385,0.016014999999999998,0.004370000000000002,70000,0.004370000000000002,False,False,False,,True,False,False,False,True,False,False,False,False,0.515011,0.117306,0.261333,0.064973,0.117306,0.112936,0.112936,0.491803,0.5901636,0.5,0.5901636
