symbol,underlying,bucket,leg_class,total_pnl
AALG,AAL,bucket_1,core_levered_etf,232.3857279119755
AAOX,AAOI,bucket_1,core_levered_etf,-8882.78764735
AAPB,AAPL,bucket_1,core_levered_etf,-410.11598815099757
AAPU,AAPL,bucket_1,core_levered_etf,-526.41102638
AAPX,AAPL,bucket_1,core_levered_etf,-285.34401598000005
ABNG,ABNB,bucket_1,core_levered_etf,-306.98013925
ABNY,ABNB,bucket_2,yieldboost_etf,420.66797475000004
ADBG,ADBE,bucket_1,core_levered_etf,257.71080118809596
AFRU,AFRM,bucket_1,core_levered_etf,-719.290577074274
AIYY,AI,bucket_2,yieldboost_etf,721.9559280981778
ALBG,ALB,bucket_1,core_levered_etf,41.426353999999996
AMDG,AMD,bucket_1,core_levered_etf,-5571.040484890425
AMDL,AMD,bucket_1,core_levered_etf,-5944.176231317301
AMDY,AMD,bucket_2,yieldboost_etf,762.54158561
AMUU,AMD,bucket_1,core_levered_etf,-5863.807943179848
AMZO,AMZN,bucket_3,flow_inverse,4311.527537382385
AMZU,AMZN,bucket_1,core_levered_etf,-1441.2541795500001
AMZW,AMZN,bucket_2,yieldboost_etf,808.3839427500001
AMZY,AMZN,bucket_2,yieldboost_etf,603.20038009
AMZZ,AMZN,bucket_1,core_levered_etf,-2709.6837913257305
ANEL,ANET,bucket_1,core_levered_etf,154.53363311655227
APHU,APH,bucket_1,core_levered_etf,-201.3416523990127
APLY,AAPL,bucket_2,yieldboost_etf,-103.76495595
APPX,APP,bucket_1,core_levered_etf,1677.6644256974218
ARCX,ACHR,bucket_1,core_levered_etf,440.6902069306858
ARMG,ARM,bucket_1,core_levered_etf,-656.135169412728
ARMW,ARM,bucket_2,yieldboost_etf,-394.01817473
ASMG,ASML,bucket_1,core_levered_etf,-480.20748736
ASMU,ASML,bucket_1,core_levered_etf,246.83327584917785
ASTX,ASTS,bucket_1,core_levered_etf,4748.083441296462
AVGG,AVGO,bucket_1,core_levered_etf,-2393.7785562509175
AVL,AVGO,bucket_1,core_levered_etf,-2029.0425090173098
AVXX,AVAV,bucket_1,core_levered_etf,339.13796353787666
AZYY,AMZN,bucket_3,flow_low_delta,99.42178575000001
BABO,BABA,bucket_2,yieldboost_etf,143.84432341000002
BABU,BABA,bucket_1,core_levered_etf,261.93998575
BABX,BABA,bucket_1,core_levered_etf,2132.8610647885207
BAIG,BBAI,bucket_1,core_levered_etf,-498.08502169500434
BEX,BE,bucket_1,core_levered_etf,-5188.335546872399
BIDG,BIDU,bucket_1,core_levered_etf,-91.71433125
BITU,IBIT,bucket_1,core_levered_etf,736.4354932727208
BITX,IBIT,bucket_1,core_levered_etf,606.5367015215244
BLSG,BLSH,bucket_1,core_levered_etf,801.0906838761922
BMNG,BMNR,bucket_1,core_levered_etf,611.8321047359711
BMNU,BMNR,bucket_1,core_levered_etf,408.0855194887278
BOEG,BA,bucket_1,core_levered_etf,764.1342230727381
BOEU,BA,bucket_1,core_levered_etf,937.5169348265504
BTCL,IBIT,bucket_1,core_levered_etf,641.3656846349701
BU,B,bucket_1,core_levered_etf,61.790411741154934
BULG,BULL,bucket_1,core_levered_etf,-160.17823211115694
CCUP,CRCL,bucket_1,core_levered_etf,229.38452115872715
CEGX,CEG,bucket_1,core_levered_etf,278.02080220603716
CHAU,ASHR,bucket_1,core_levered_etf,-194.36968233
CHNU,CHNL,bucket_1,core_levered_etf,-105.51749225
CIFG,CIFR,bucket_1,core_levered_etf,-234.59228391492107
CLSX,CLSK,bucket_1,core_levered_etf,-885.4850888277887
CLSZ,CLSK,bucket_4,inverse_b4_etf,341.43757941
CMGG,CMG,bucket_1,core_levered_etf,1442.8971612435903
CNCG,CNC,bucket_1,core_levered_etf,-2192.2791691067246
COHX,COHR,bucket_1,core_levered_etf,-93.9301489809698
COIA,COIN,bucket_1,core_levered_etf,-88.40638415127778
COIG,COIN,bucket_1,core_levered_etf,426.8801702907431
COIW,COIN,bucket_2,yieldboost_etf,1853.77306779
CONL,COIN,bucket_1,core_levered_etf,518.8412726106598
CONX,COIN,bucket_1,core_levered_etf,704.1300041280537
CONY,COIN,bucket_2,yieldboost_etf,58.32352075000001
COPZ,COPX,bucket_1,core_levered_etf,1592.648820333235
COTG,COST,bucket_1,core_levered_etf,-90.86399459
COZX,CORZ,bucket_1,core_levered_etf,-687.9004958362273
CRCA,CRCL,bucket_1,core_levered_etf,455.5682849636451
CRCG,CRCL,bucket_1,core_levered_etf,1365.0738048603876
CRDU,CRDO,bucket_1,core_levered_etf,-4889.983698894086
CRMG,CRM,bucket_1,core_levered_etf,1769.8807716926226
