underlying,pnl_total,pnl_share_b1,pnl_share_b2,pnl_share_b4,exp_net_total,exp_share_b1,exp_share_b2,exp_share_b4,ratio_spot_b1,ratio_spot_b2,ratio_spot_b4,diff_exp_b1,diff_exp_b2,diff_exp_b4,diff_pnl_b1,diff_pnl_b2,diff_pnl_b4,max_diff
RIOT,-726.380233,1.0,0.0,0.0,4554.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
CVNA,-1129.9384400000001,0.08193141654690497,0.9180685834530949,0.0,3172.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08193141654690497,0.9180685834530949,0.0,0.9180685834530949
HIMS,-430.03983231999996,0.12712496704289666,0.8728750329571033,0.0,12691.06,0.7739493824534752,0.13530579942100976,0.0,0.7739493824534752,0.13530579942100976,0.0,0.0,0.0,0.0,0.6468244154105786,0.7375692335360936,0.0,0.7375692335360936
MSTR,2140.93417613,0.1713972371330268,0.8286027628669732,0.0,27050.489999999998,0.36836954702262326,0.5241207711246636,0.0,0.36836954702262326,0.5241207711246636,0.0,0.0,0.0,0.0,0.19697230988959646,0.3044819917423096,0.0,0.3044819917423096
RDW,-679.423996,1.0,0.0,0.0,5504.0,0.7004859270621366,0.0,0.0,0.7004859270621366,0.0,0.0,0.0,0.0,0.0,0.29951407293786336,0.0,0.0,0.29951407293786336
IBIT,-2712.04434088,0.5828664780523051,0.41713352194769493,0.0,39843.0,0.781076805243079,0.1572628201636624,0.0,0.781076805243079,0.1572628201636624,0.0,0.0,0.0,0.0,0.19821032719077392,0.25987070178403254,0.0,0.25987070178403254
KTOS,-788.485657,1.0,0.0,0.0,1608.1200000000001,0.7698355896326143,0.0,0.0,0.7698355896326143,0.0,0.0,0.0,0.0,0.0,0.23016441036738566,0.0,0.0,0.23016441036738566
TER,1527.164048,1.0,0.0,0.0,11334.21,0.7758471354421702,0.0,0.0,0.7758471354421702,0.0,0.0,0.0,0.0,0.0,0.2241528645578298,0.0,0.0,0.2241528645578298
FLY,-1848.620534,1.0,0.0,0.0,10884.25,0.7802770516516986,0.0,0.0,0.7802770516516986,0.0,0.0,0.0,0.0,0.0,0.21972294834830142,0.0,0.0,0.21972294834830142
LMND,-128.127257,1.0,0.0,0.0,728.0,0.7808398112307691,0.0,0.0,0.7808398112307691,0.0,0.0,0.0,0.0,0.0,0.21916018876923093,0.0,0.0,0.21916018876923093
FCX,-71.070514,1.0,0.0,0.0,2618.78,0.788933767851595,0.0,0.0,0.788933767851595,0.0,0.0,0.0,0.0,0.0,0.21106623214840503,0.0,0.0,0.21106623214840503
NOW,-518.654257,1.0,0.0,0.0,1777.8,0.7951041970975363,0.0,0.0,0.7951041970975363,0.0,0.0,0.0,0.0,0.0,0.20489580290246368,0.0,0.0,0.20489580290246368
LCID,-256.645365,1.0,0.0,0.0,593.28,0.8002863642293688,0.0,0.0,0.8002863642293688,0.0,0.0,0.0,0.0,0.0,0.19971363577063117,0.0,0.0,0.19971363577063117
SOFI,-2582.5835859999997,1.0,0.0,0.0,12435.525,0.8045132327413599,0.0,0.0,0.8045132327413599,0.0,0.0,0.0,0.0,0.0,0.19548676725864012,0.0,0.0,0.19548676725864012
MRNA,-517.67436,1.0,0.0,0.0,7360.92,0.8060933030477848,0.0,0.0,0.8060933030477848,0.0,0.0,0.0,0.0,0.0,0.19390669695221519,0.0,0.0,0.19390669695221519
HOOD,-5960.33821945,1.0,0.0,0.0,16518.4,0.8178898140673431,0.0,0.0,0.8178898140673431,0.0,0.0,0.0,0.0,0.0,0.18211018593265693,0.0,0.0,0.18211018593265693
NVTS,11216.336566,1.0,0.0,0.0,58576.32,0.8185706215521904,0.0,0.0,0.8185706215521904,0.0,0.0,0.0,0.0,0.0,0.1814293784478096,0.0,0.0,0.1814293784478096
QUBT,1713.928491,1.0,0.0,0.0,23200.559999999998,0.8205862134215727,0.0,0.0,0.8205862134215727,0.0,0.0,0.0,0.0,0.0,0.17941378657842733,0.0,0.0,0.17941378657842733
BLSH,865.82999716,1.0,0.0,0.0,8762.4,0.8240102379921026,0.0,0.0,0.8240102379921026,0.0,0.0,0.0,0.0,0.0,0.1759897620078974,0.0,0.0,0.1759897620078974
ASTS,-4612.726504,1.0,0.0,0.0,11944.349999999999,0.8303572848484849,0.0,0.0,0.8303572848484849,0.0,0.0,0.0,0.0,0.0,0.16964271515151508,0.0,0.0,0.16964271515151508
QBTS,-727.403583,0.9579529440689655,0.042047055931034485,0.0,17356.5,0.7891044018632788,0.042047055931034485,0.0,0.7891044018632788,0.042047055931034485,0.0,0.0,0.0,0.0,0.16884854220568668,0.0,0.0,0.16884854220568668
IONQ,1469.8383599999997,0.7738318037345887,0.2261681962654112,0.0,31582.5,0.6070772659396818,0.2579281554563445,0.0,0.6070772659396818,0.2579281554563445,0.0,0.0,0.0,0.0,0.1667545377949069,0.0317599591909333,0.0,0.1667545377949069
ONDS,-474.149325,1.0,0.0,0.0,13741.52,0.841197623601232,0.0,0.0,0.841197623601232,0.0,0.0,0.0,0.0,0.0,0.15880237639876804,0.0,0.0,0.15880237639876804
GDX,-991.0332429999999,1.0,0.0,0.0,17416.44,0.8412030206356753,0.0,0.0,0.8412030206356753,0.0,0.0,0.0,0.0,0.0,0.1587969793643247,0.0,0.0,0.1587969793643247
RCAT,-4103.868859,1.0,0.0,0.0,15752.61,0.8432174246521433,0.0,0.0,0.8432174246521433,0.0,0.0,0.0,0.0,0.0,0.15678257534785667,0.0,0.0,0.15678257534785667
FIG,-3987.985767,1.0,0.0,0.0,5024.28,0.8435333632842119,0.0,0.0,0.8435333632842119,0.0,0.0,0.0,0.0,0.0,0.1564666367157881,0.0,0.0,0.1564666367157881
RKLB,-1035.556757,1.0,0.0,0.0,6546.7,0.8452525015656743,0.0,0.0,0.8452525015656743,0.0,0.0,0.0,0.0,0.0,0.15474749843432567,0.0,0.0,0.15474749843432567
RGTI,-1299.321092,1.0,0.0,0.0,8699.279999999999,0.847917657111853,0.0,0.0,0.847917657111853,0.0,0.0,0.0,0.0,0.0,0.15208234288814704,0.0,0.0,0.15208234288814704
PONY,-360.870514,1.0,0.0,0.0,7648.0,0.8536915767259413,0.0,0.0,0.8536915767259413,0.0,0.0,0.0,0.0,0.0,0.14630842327405869,0.0,0.0,0.14630842327405869
IREN,-2786.4231,1.0,0.0,0.0,22115.76,0.8631446150158983,0.0,0.0,0.8631446150158983,0.0,0.0,0.0,0.0,0.0,0.13685538498410166,0.0,0.0,0.13685538498410166
HUT,2011.640499,1.0,0.0,0.0,13490.0,0.8681326373411119,0.0,0.0,0.8681326373411119,0.0,0.0,0.0,0.0,0.0,0.1318673626588881,0.0,0.0,0.1318673626588881
CIFR,276.858708,1.0,0.0,0.0,9221.400000000001,0.8697995877973842,0.0,0.0,0.8697995877973842,0.0,0.0,0.0,0.0,0.0,0.1302004122026158,0.0,0.0,0.1302004122026158
USAR,2592.828967,1.0,0.0,0.0,14826.19,0.8705090410631456,0.0,0.0,0.8705090410631456,0.0,0.0,0.0,0.0,0.0,0.12949095893685436,0.0,0.0,0.12949095893685436
NBIS,1517.965876,1.0,0.0,0.0,39250.82,0.8727949236077106,0.0,0.0,0.8727949236077106,0.0,0.0,0.0,0.0,0.0,0.1272050763922894,0.0,0.0,0.1272050763922894
COPX,-1689.067228,1.0,0.0,0.0,7850.7300000000005,0.8731291199926632,0.0,0.0,0.8731291199926632,0.0,0.0,0.0,0.0,0.0,0.12687088000733682,0.0,0.0,0.12687088000733682
UPST,-155.750452,1.0,0.0,0.0,5943.6,0.8790016525338178,0.0,0.0,0.8790016525338178,0.0,0.0,0.0,0.0,0.0,0.12099834746618221,0.0,0.0,0.12099834746618221
SBET,477.71252551000003,1.0,0.0,0.0,9065.0,0.8795100864517376,0.0,0.0,0.8795100864517376,0.0,0.0,0.0,0.0,0.0,0.12048991354826244,0.0,0.0,0.12048991354826244
EOSE,3210.4641839999995,1.0,0.0,0.0,10150.34,0.8841206408770543,0.0,0.0,0.8841206408770543,0.0,0.0,0.0,0.0,0.0,0.11587935912294567,0.0,0.0,0.11587935912294567
XPEV,-67.29617799999997,1.0,0.0,0.0,1887.34,0.8864665235542085,0.0,0.0,0.8864665235542085,0.0,0.0,0.0,0.0,0.0,0.11353347644579148,0.0,0.0,0.11353347644579148
IWM,17.402243,1.0,0.0,0.0,1360.3999999999999,0.8872308759923554,0.0,0.0,0.8872308759923554,0.0,0.0,0.0,0.0,0.0,0.1127691240076446,0.0,0.0,0.1127691240076446
