symbol,target_net_usd,actual_net_usd,discrepancy_usd,abs_discrepancy_usd,target_gross_usd,actual_gross_usd,gross_gap_usd,under_exposed
HMYY,-136336.5084970025,-7365.42,128971.0884970025,128971.0884970025,136336.5084970025,7365.42,-128971.0884970025,True
QBY,-85252.73125453613,-3682.5705,81570.16075453613,81570.16075453613,85252.73125453613,3682.5705,-81570.16075453613,True
MTYY,-89772.38497204857,-46257.299999999996,43515.08497204858,43515.08497204858,89772.38497204857,46257.299999999996,-43515.08497204858,True
NVTX,-9288.526609148288,-24139.079999999998,-14850.55339085171,14850.55339085171,9288.526609148288,24139.079999999998,14850.55339085171,False
NFLU,-1067.0272750406589,-14380.77,-13313.742724959342,13313.742724959342,1067.0272750406589,14380.77,13313.742724959342,False
INTW,-4500.327280370374,-17263.08,-12762.752719629629,12762.752719629629,4500.327280370374,17263.08,12762.752719629629,False
AMZZ,-909.201638111802,-13231.98,-12322.778361888197,12322.778361888197,909.201638111802,13231.98,12322.778361888197,False
MSFX,-855.6998026222807,-11014.919999999998,-10159.220197377717,10159.220197377717,855.6998026222807,11014.919999999998,10159.220197377717,False
AMDL,-2373.881570061212,-11077.949999999999,-8704.068429938787,8704.068429938787,2373.881570061212,11077.949999999999,8704.068429938787,False
XBTY,-4183.7184013499145,-12689.4768,-8505.758398650087,8505.758398650087,4183.7184013499145,12689.4768,8505.758398650087,False
IOYY,-26752.921816531845,-35041.299999999996,-8288.37818346815,8288.37818346815,26752.921816531845,35041.299999999996,8288.37818346815,False
AMUU,-2717.4591022559057,-10885.34,-8167.880897744095,8167.880897744095,2717.4591022559057,10885.34,8167.880897744095,False
PANG,-462.7378917390194,-8286.08,-7823.34210826098,7823.34210826098,462.7378917390194,8286.08,7823.34210826098,False
AMZO,0.0,-7801.8696,-7801.8696,7801.8696,0.0,7801.8696,7801.8696,False
AMDG,-3299.041277426544,-10983.8225,-7684.781222573456,7684.781222573456,3299.041277426544,10983.8225,7684.781222573456,False
AAPB,-676.0647279515172,-8169.530000000001,-7493.465272048484,7493.465272048484,676.0647279515172,8169.530000000001,7493.465272048484,False
DUST,0.0,-6576.139999999999,-6576.139999999999,6576.139999999999,0.0,6576.139999999999,6576.139999999999,False
XRPK,-6062.131920835688,0.0,6062.131920835688,6062.131920835688,6062.131920835688,0.0,-6062.131920835688,True
UNHG,-1129.7374502219095,-7031.049999999999,-5901.312549778089,5901.312549778089,1129.7374502219095,7031.049999999999,5901.312549778089,False
DOGD,-5891.921771924522,0.0,5891.921771924522,5891.921771924522,5891.921771924522,0.0,-5891.921771924522,True
LABX,-6517.864742653444,-12216.75,-5698.885257346556,5698.885257346556,6517.864742653444,12216.75,5698.885257346556,False
ZSL,0.0,-5616.0,-5616.0,5616.0,0.0,5616.0,5616.0,False
VOYX,-5494.458322362551,0.0,5494.458322362551,5494.458322362551,5494.458322362551,0.0,-5494.458322362551,True
GUSH,-951.69326911931,-6268.009999999999,-5316.31673088069,5316.31673088069,951.69326911931,6268.009999999999,5316.31673088069,False
QUBX,-4377.60871257905,-9559.02,-5181.41128742095,5181.41128742095,4377.60871257905,9559.02,5181.41128742095,False
TSLQ,0.0,-5024.72,-5024.72,5024.72,0.0,5024.72,5024.72,False
SDS,0.0,-4981.74,-4981.74,4981.74,0.0,4981.74,4981.74,False
SNPX,-4974.667091683928,0.0,4974.667091683928,4974.667091683928,4974.667091683928,0.0,-4974.667091683928,True
