etf,underlying,delta,partial_hedge_ratio
DAMD,AMD,-2.032731,0.75
ASTN,ASTS,-2.011872,0.75
AURU,AUR,-1.0,0.75
AXUP,AXON,-1.0,0.75
BEZ,BE,-2.015732,0.75
BKNU,BKNG,-1.0,0.75
BLSX,BLSH,-1.0,0.75
BMNZ,BMNR,-1.9899,0.75
CBRZ,CBRS,-2.0,0.75
CELT,CELH,-1.0,0.75
CLSZ,CLSK,-2.025476,0.75
CONI,COIN,-1.924992,0.75
CRCD,CRCL,-2.008108,0.75
CORD,CRWV,-2.014013,0.75
DASX,DASH,-1.0,0.75
DXD,DIA,-2.002077,0.75
SDOW,DIA,-2.999162,0.75
DKUP,DKNG,-1.0,0.75
HOOZ,HOOD,-2.004019,0.75
BTCZ,IBIT,-1.995848,0.75
IONZ,IONQ,-2.031318,0.75
IREZ,IREN,-2.01745,0.75
TWM,IWM,-2.001897,0.75
TZA,IWM,-2.997843,0.75
BTFL,KEEL,-1.0,0.75
LITZ,LITE,-2.0,0.75
LYFX,LYFT,-1.0,0.75
MSDD,MSTR,-1.986496,0.75
MSTZ,MSTR,-1.998351,0.75
SMST,MSTR,-1.973123,0.75
NBIZ,NBIS,-2.042851,0.75
NWMX,NEM,-1.0,0.75
NETX,NET,-1.0,0.75
NVD,NVDA,-2.004609,0.75
NVDS,NVDA,-1.494521,0.75
OKLS,OKLO,-2.007825,0.75
OKTX,OKTA,-1.0,0.75
QBTZ,QBTS,-2.006114,0.75
QID,QQQ,-1.996798,0.75
QSX,QS,-1.0,0.75
RGTZ,RGTI,-1.999162,0.75
RKLZ,RKLB,-2.012222,0.75
SMCZ,SMCI,-2.039825,0.75
SNDQ,SNDK,-2.0,0.75
HIBS,SPHB,-3.006907,0.75
SPXS,SPY,-2.995968,0.75
SPXU,SPY,-2.994119,0.75
UVIX,SVIX,-1.983772,0.75
TBT,TLT,-1.99848,0.75
TBX,TLT,-1.370564,0.75
TMV,TLT,-2.990152,0.75
TSDD,TSLA,-2.010578,0.75
STSM,TSM,-2.006691,0.75
PXIU,UPXI,-1.0,0.75
SCO,USO,-1.734982,0.75
DUG,XLE,-1.989725,0.75
SKF,XLF,-1.996544,0.75
FNGD,XLK,-2.914648,0.75
REW,XLK,-2.007026,0.75
TECS,XLK,-3.000123,0.75
WEBS,XLK,-2.791834,0.75
DRIP,XOP,-1.996014,0.75
GXRP,XRPZ,-1.0,0.75
XRP,XRPZ,-1.0,0.75
