bucket,realized_pnl,unrealized_pnl,dividends,withholding_tax,pil_dividends,borrow_fees,short_credit_interest,other_fees,bond_interest,total_pnl
bucket_2,20780.95089561372,15824.490635557584,59.703201455383905,-3.3525996973208945,-20920.920000000002,-1973.21,266.3842864221804,0.0,0.0,14034.04641935155
bucket_1,5261.688270726278,7263.725160442418,485.6267985446161,-4.537400302679104,-706.03,-8172.88,1852.421452133291,0.0,0.0,5980.0142815439285
bucket_3,30.564975440000012,6564.083734,0.0,0.0,-532.03,-923.3399999999999,96.38426144452879,0.0,0.0,5235.6629708845285
bucket_4,676.78988399,0.0,0.0,0.0,0.0,-5.4,0.0,0.0,0.0,671.38988399
