underlying,symbol,leg_class,net_notional_usd,gross_notional_usd,_ratio_b1,_ratio_b2,_ratio_b4
AAL,AAL,spot,2426.5,2426.5,1.0,0.0,0.0
AAL,AALG,core_levered_etf,-2259.7354944,2259.7354944,1.0,0.0,0.0
AAPL,AAPL,spot,16936.54,16936.54,1.0,0.0,0.0
AAPL,AAPB,core_levered_etf,-16762.55834232,16762.55834232,1.0,0.0,0.0
ACHR,ACHR,spot,2351.2799999999997,2351.2799999999997,1.0,0.0,0.0
ACHR,ARCX,core_levered_etf,-2407.47429309,2407.47429309,1.0,0.0,0.0
ADBE,ADBE,spot,2047.52,2047.52,1.0,0.0,0.0
ADBE,ADBG,core_levered_etf,-2144.3014000000003,2144.3014000000003,1.0,0.0,0.0
AFRM,AFRM,spot,5193.24,5193.24,1.0,0.0,0.0
AFRM,AFRU,core_levered_etf,-5277.54480816,5277.54480816,1.0,0.0,0.0
AI,AI,spot,854.49,854.49,0.012979291546302396,0.9870207084536976,0.0
AI,AIYY,yieldboost_etf,-843.3993251666001,843.3993251666001,0.0,1.0,0.0
ALAB,ALAB,spot,24063.44,24063.44,1.0,0.0,0.0
ALAB,LABX,core_levered_etf,-24237.45883104,24237.45883104,1.0,0.0,0.0
AMD,AMD,spot,52802.03999999999,52802.03999999999,1.0,0.0,0.0
AMD,AMUU,core_levered_etf,-17873.21676408,17873.21676408,1.0,0.0,0.0
AMD,AMDG,core_levered_etf,-18156.58610864,18156.58610864,1.0,0.0,0.0
AMD,AMDL,core_levered_etf,-18247.1566464,18247.1566464,1.0,0.0,0.0
AMZN,AMZN,spot,25025.280000000002,25025.280000000002,1.0,0.0,0.0
AMZN,AMZZ,core_levered_etf,-24934.52899584,24934.52899584,1.0,0.0,0.0
ANET,ANET,spot,3021.41,3021.41,1.0,0.0,0.0
ANET,ANEL,core_levered_etf,-3129.914264346,3129.914264346,1.0,0.0,0.0
APH,APH,spot,2666.34,2666.34,1.0,0.0,0.0
APH,APHU,core_levered_etf,-2782.6558372338,2782.6558372338,1.0,0.0,0.0
APP,APP,spot,3869.68,3869.68,1.0,0.0,0.0
APP,APPX,core_levered_etf,-3915.47196359,3915.47196359,1.0,0.0,0.0
ARKK,ARKK,spot,2854.7999999999997,2854.7999999999997,1.0,0.0,0.0
ARKK,TARK,core_levered_etf,-2966.892716832,2966.892716832,1.0,0.0,0.0
ARM,ARM,spot,3145.12,3145.12,1.0,0.0,0.0
ARM,ARMG,core_levered_etf,-3269.8267832999995,3269.8267832999995,1.0,0.0,0.0
ASML,ASML,spot,8661.960000000001,8661.960000000001,1.0,0.0,0.0
ASML,ASMU,core_levered_etf,-9101.043010399999,9101.043010399999,1.0,0.0,0.0
ASTS,ASTS,spot,10413.18,10413.18,1.0,0.0,0.0
ASTS,ASTX,core_levered_etf,-10271.680848,10271.680848,1.0,0.0,0.0
AVAV,AVAV,spot,2941.4,2941.4,1.0,0.0,0.0
AVAV,AVXX,core_levered_etf,-3172.8994395,3172.8994395,1.0,0.0,0.0
AVGO,AVGO,spot,29162.85,29162.85,1.0,0.0,0.0
AVGO,AVL,core_levered_etf,-14315.71467984,14315.71467984,1.0,0.0,0.0
AVGO,AVGG,core_levered_etf,-15568.666982399998,15568.666982399998,1.0,0.0,0.0
BA,BA,spot,19427.52,19427.52,1.0,0.0,0.0
BA,BOEU,core_levered_etf,-8371.429095919999,8371.429095919999,1.0,0.0,0.0
BA,BOEG,core_levered_etf,-11475.0847588102,11475.0847588102,1.0,0.0,0.0
BABA,BABA,spot,8048.779999999999,8048.779999999999,1.0,0.0,0.0
BABA,BABX,core_levered_etf,-8136.925835669998,8136.925835669998,1.0,0.0,0.0
BBAI,BBAI,spot,13091.19,13091.19,1.0,0.0,0.0
BBAI,BAIG,core_levered_etf,-13313.41992,13313.41992,1.0,0.0,0.0
BE,BE,spot,8730.5,8730.5,1.0,0.0,0.0
BE,BEX,core_levered_etf,-9041.50333197,9041.50333197,1.0,0.0,0.0
BLSH,BLSH,spot,10394.400000000001,10394.400000000001,1.0,0.0,0.0
