etf,underlying,delta,partial_hedge_ratio
DAMD,AMD,-2.032559,0.75
ASTN,ASTS,-2.018464,0.75
AURU,AUR,-1.0,0.75
AXUP,AXON,-1.0,0.75
BEZ,BE,-2.010909,0.75
BKNU,BKNG,-1.0,0.75
BLSX,BLSH,-1.0,0.75
BMNZ,BMNR,-1.991888,0.75
CELT,CELH,-1.0,0.75
CLSZ,CLSK,-2.025477,0.75
CONI,COIN,-1.923889,0.75
CRCD,CRCL,-2.009958,0.75
CORD,CRWV,-2.007591,0.75
DASX,DASH,-1.0,0.75
DXD,DIA,-2.002491,0.75
SDOW,DIA,-2.99948,0.75
DKUP,DKNG,-1.0,0.75
HOOZ,HOOD,-1.999716,0.75
BTCZ,IBIT,-1.998964,0.75
IONZ,IONQ,-2.032927,0.75
IREZ,IREN,-2.017202,0.75
TWM,IWM,-2.001768,0.75
TZA,IWM,-2.997488,0.75
BTFL,KEEL,-1.0,0.75
LITZ,LITE,-2.0,0.75
LYFX,LYFT,-1.0,0.75
MSDD,MSTR,-1.989844,0.75
MSTZ,MSTR,-2.001704,0.75
SMST,MSTR,-1.974657,0.75
NBIZ,NBIS,-2.035224,0.75
NWMX,NEM,-1.0,0.75
NETX,NET,-1.0,0.75
NVD,NVDA,-2.001817,0.75
NVDS,NVDA,-1.492066,0.75
OKLS,OKLO,-2.005052,0.75
OKTX,OKTA,-1.0,0.75
QBTZ,QBTS,-2.006893,0.75
QID,QQQ,-1.997029,0.75
QSX,QS,-1.0,0.75
RGTZ,RGTI,-2.001526,0.75
RKLZ,RKLB,-2.020745,0.75
SMCZ,SMCI,-2.035102,0.75
SNDQ,SNDK,-2.0,0.75
HIBS,SPHB,-3.006755,0.75
SPXS,SPY,-2.995983,0.75
SPXU,SPY,-2.994318,0.75
UVIX,SVIX,-1.983232,0.75
TBT,TLT,-1.998253,0.75
TBX,TLT,-1.370832,0.75
TMV,TLT,-2.989896,0.75
TSDD,TSLA,-2.011774,0.75
STSM,TSM,-2.007329,0.75
PXIU,UPXI,-1.0,0.75
SCO,USO,-1.7389,0.75
DUG,XLE,-1.989861,0.75
SKF,XLF,-1.997027,0.75
FNGD,XLK,-2.918251,0.75
REW,XLK,-2.006367,0.75
TECS,XLK,-2.998197,0.75
WEBS,XLK,-2.789816,0.75
DRIP,XOP,-1.995406,0.75
GXRP,XRPZ,-1.0,0.75
XRP,XRPZ,-1.0,0.75
