source_detail_date,ETF,Underlying,inverse_etf_short_usd,underlying_short_usd
2026-07-13,ASTN,ASTS,27014.16934755,27014.16934755
2026-07-13,CONI,COIN,13230.9326029125,13230.9326029125
2026-07-13,CORD,CRWV,78432.07015314001,10.07707969536232
2026-07-13,DAMD,AMD,4931.3131920000005,1367.7125897735896
2026-07-13,IREZ,IREN,28433.82741892,28433.82741892001
2026-07-13,LITZ,LITE,60719.16583979999,9624.12
2026-07-13,MSTZ,MSTR,22550.310286875,12303.2
2026-07-13,NBIZ,NBIS,40325.070253215,27456.25
2026-07-13,QBTZ,QBTS,60099.16713962,0.0
2026-07-13,RGTZ,RGTI,15739.16817616,14670.98
2026-07-13,RKLZ,RKLB,20775.74119638,8104.000000000001
2026-07-13,SNDQ,SNDK,42753.165233750005,26822.88
2026-07-13,SPCG,SPCX,1647.36,2740.073462599264
2026-07-13,SSPC,SPCX,2058.08,2740.073462599264
2026-07-13,UVIX,SVIX,19969.014166213,22581.96
