underlying,symbols,net_notional_usd,gross_notional_usd,n_legs
NVTS,"NVTS, NVTX",8039.9740794799945,137644.02592052,2
CRWV,"CRWG, CRWU, CRWV, CWVX",6017.374227610002,67468.12577238999,4
PLTR,"PLTA, PLTR, PLTU, PTIR",3679.7624637999998,58336.2375362,4
OPEN,"OPEG, OPEN, OPEX",2989.3520709357,52230.6879290643,3
MARA,"MAAY, MARA",2954.2486711890015,36299.671328811004,2
RCAT,"RCAT, RCAX",2925.5678999887987,28465.8121000112,2
CRML,"CRML, CRMU",2821.313547655198,56872.8664523448,2
ONDS,"ONDG, ONDS",2820.773172559999,23359.066827439998,2
MSFT,"MSFT, MSFU, MSFX",2497.979439980001,60298.60056001999,3
ASTS,"ASTS, ASTX",2446.525536359997,22505.79446364,2
SOFI,"SOFA, SOFI, SOFX",2397.5381330303994,23074.2618669696,3
NFLX,"NFLU, NFLX",2251.771023080004,54025.94897692,2
HOOD,"HODU, HOOD, HOOG, HOOX, ROBN",2087.0007707099994,34230.27922929,5
ETHA,"ETHA, ETHT, ETHU, ETU",2046.6381266099906,67878.80187339,4
RBLX,"RBLU, RBLX",2018.4441855599998,8948.11581444,2
HIMS,"HIMS, HIMZ, HMYY",1810.9070392800013,22318.01296072,3
FLY,"FLY, FLYT",1696.845404400001,23861.154595599997,2
TER,"TER, TERG",1694.4797292799994,24830.82027072,2
TEM,"TEM, TEMT",1529.2963001000007,14527.6036999,2
PONY,"PONX, PONY",1506.447534,12669.552466000001,2
SRPT,"SRPT, SRPU",1431.9463990500008,27263.05360095,2
LEU,"LEU, LEUX",1233.4733075000004,21023.9266925,2
UPST,"UPST, UPSX",1196.0044668,9661.595533200001,2
RDW,"RDW, RDWU",1055.5370686000006,13741.2629314,2
NU,"NU, NUG",953.2951318272007,13935.644868172798,2
META,"FBL, FBYY, META",931.3583930200002,36454.64160698,3
GDX,"GDX, GDXU, NUGT",926.8797577999994,38317.6802422,3
CRM,"CRM, CRMG",907.85308721,17251.00691279,2
MSTR,"MSTR, MSTU, MSTX, MTYY",890.6315240199983,62181.008475979994,4
SBET,"SBET, SBTU",792.8709748399997,17777.42902516,2
BLSH,"BLSG, BLSH",730.3400675239991,19813.659932476003,2
USAR,"USAR, USGG",702.7114026890013,33687.588597311,2
XRPZ,"UXRP, XRPT, XRPZ, XXRP",681.235632599999,53217.3643674,4
MRNA,"MRNA, MRNX",658.2612415895001,16494.678758410504,2
CLS,"CLS, CSEX",654.6408275200001,11315.59917248,2
QBTS,"QBTS, QBTX, QBY",644.338635930003,41820.661364069994,3
IONQ,"IONL, IONQ, IONX, IOYY, QPUX",624.7292205816002,83180.2707794184,5
RKT,"RKT, RKTL",532.3916087599991,14445.208391240001,2
RGTI,"RGTI, RGTX",505.87506080000094,20127.8649392,2
UUUU,"UUUG, UUUU",499.41285747999973,18355.587142520002,2
ANET,"ANEL, ANET",495.3996128000001,4350.9603872,2
SHOP,"SHOP, SHPU",485.19217344000026,3308.72782656,2
GRAB,"GRAB, GRAG",476.4124224999996,8718.2275775,2
CMG,"CMG, CMGG",468.3827889408012,13318.3572110592,2
IBIT,"BITU, BITX, BTCL, IBIT, XBTY",444.5232034799983,84926.67679652,5
URA,"URA, URAA",422.5011107999999,17512.9988892,2
KTOS,"KTOS, KTUP",415.8206254999998,2679.9993745,2
RDDT,"RDDT, RDTL",400.8666319999993,14834.133368,2
AVAV,"AVAV, AVXX",384.13182185000005,4343.94817815,2
NOW,"NOW, NOWL",377.784484,3182.215516,2
FIG,"FIG, FIGG",357.730464459999,11162.94953554,2
ZETA,"ZETA, ZETX",338.6041602,4341.3958397999995,2
SNOW,"SNOU, SNOW",316.4143502500001,16401.38564975,2
CIFR,"CIFG, CIFR",272.2141282720004,21593.185871727997,2
FCX,"FCX, FCXG",271.63749411000026,5803.12250589,2
APH,"APH, APHU",271.54245200000014,4331.777548,2
KLAC,"KLAC, KLAG",258.8488867103988,25100.0511132896,2
NIO,"NIO, NIOG",237.69691443200009,5246.463085568,2
CEG,"CEG, CEGX",231.91734204000022,20907.28265796,2
OKLO,"OKLL, OKLO",227.7930370799986,18326.96696292,2
BULL,"BULG, BULL",207.9437799999996,6812.05622,2
TTD,"TTD, TTDU",207.63054960000022,3724.4094503999995,2
SOUN,"SOUN, SOUX",194.80175382460038,5527.7982461754,2
PYPL,"PYPG, PYPL",189.82635183170032,4354.1736481683,2
SNAP,"SNAG, SNAP",186.7366588799996,5329.96334112,2
LMND,"LMND, LMNX",179.37390196500007,1254.2660980350001,2
XPEV,"XPEG, XPEV",172.03826949999984,3674.0417305,2
MP,"MP, MPG",144.56208552000044,7726.23791448,2
UBER,"UBER, UBRL",141.26703248000013,18032.412967520002,2
DNN,"DNN, DNNG",124.8628878464001,4929.3371121536,2
XOP,"GUSH, XOP",123.58924149999984,22961.0507585,2
DJT,"DJT, DJTU",117.18043335000004,1454.2195666500002,2
LCID,"LCDL, LCID",116.6613157722,1121.3986842278,2
GEV,"GEV, GEVX",111.44223190000048,25616.0777681,2
BABA,"BABA, BABX",98.60416575999989,15805.435834240001,2
SPOT,"SPOG, SPOT",98.40294468000002,3363.59705532,2
CRDO,"CRDO, CRDU",86.9008966399997,40818.51910336,2
CVNA,"CVNA, CVNX",75.07252436000044,5822.5274756399995,2
IWM,"IWM, URTY",72.11301768000021,2753.5869823199996,2
AI,"AI, AIYY",65.01302412789994,1534.7669758721,2
ADBE,"ADBE, ADBG",62.54737520000003,3790.7326248,2
GME,"GME, GMEU",47.581251260000045,1518.31874874,2
ETOR,"ETOR, ETRL",46.330840895099755,8303.0891591049,2
NET,"NET, NETG",26.50336544000004,1094.2366345599999,2
AVGO,"AVGG, AVGO, AVL",19.525450420002016,57843.874549579996,3
VST,"VST, VSTL",2.846322200000145,1465.8536777999998,2
UEC,"UEC, UECG",-7.6957353854995745,18793.6957353855,2
AFRM,"AFRM, AFRU",-14.87869727999805,10221.958697279999,2
CORZ,"CORZ, COZX",-21.45645710000099,30605.6364571,2
MRVL,"MRVL, MVLL",-23.677198599999883,6932.6771986,2
COPX,"COPX, COPZ",-36.65942198000084,18372.199421980004,2
ARKK,"ARKK, TARK",-37.40817960000004,5668.5281796,2
EWW,"EWW, MEXX",-37.48020836880005,6276.700208368799,2
DUOL,"DUOG, DUOL",-37.718157659599456,16363.2581576596,2
KWEB,"CWEB, KWEB",-49.189905819999694,15731.889905819999,2
AAL,"AAL, AALG",-49.74237798400054,5404.9223779839995,2
GDXJ,"GDXJ, JNUG",-51.834220500000356,4467.414220500001,2
ARM,"ARM, ARMG",-58.0531270599995,6711.493127059999,2
LLY,"ELIL, LLY",-60.480015744400134,4019.9600157444,2
B,"B, BU",-69.9911272928,2545.8911272928,2
OKTA,"OKTA, OKTG",-71.10004789859977,5605.3000478986,2
NEM,"NEM, NEMG",-76.14636212599999,4145.606362126,2
SATS,"SATG, SATS",-82.32121880359955,9138.9212188036,2
BBAI,"BAIG, BBAI",-87.79226496299998,27582.572264963004,2
JOBY,"JOBX, JOBY",-138.66486720000012,3096.8448672,2
FXI,"FXI, YINN",-154.64215500000137,20387.502155000002,2
XYZ,"XYZ, XYZG",-161.71045373999914,13431.79045374,2
SPY,"SPXL, SPY",-173.59077213,4602.67077213,2
ALAB,"ALAB, LABX",-255.7670087400038,50951.92700874,2
COHR,"COHR, COHX",-265.9775695200003,2510.03756952,2
COIN,"COIA, COIG, COIN, CONL, CONX",-298.7697985121995,46810.1297985122,5
CLSK,"CLSK, CLSX",-339.40382880000107,21622.003828800003,2
LRCX,"LRCU, LRCX",-369.978752,6154.778752,2
ORCL,"ORCL, ORCU, ORCX",-375.90457547999995,15695.96457548,3
EOSE,"EOSE, EOSU",-411.58553568000207,26347.78553568,2
DELL,"DELL, DLLL",-462.9819889499995,10976.34198895,2
ACHR,"ACHR, ARCX",-476.50022959999933,14381.140229599998,2
QS,"QS, QSU",-533.5655954999993,10081.845595499999,2
SMCI,"SMCI, SMCL",-552.7730426104999,9733.973042610498,2
LAC,"LAC, LACG",-554.5442253887995,18601.3442253888,2
U,"U, UNX",-607.0335062000013,25353.5135062,2
TSM,"TSM, TSMG, TSMU",-724.2277716800018,36479.42777168,3
SOEZ,"SOEZ, SOLT",-740.9535993600002,20024.63359936,2
AMZN,"AMZN, AMZZ",-754.2207721400009,52854.940772140006,2
BA,"BA, BOEG, BOEU",-802.9604474871958,40597.1204474872,3
ASML,"ASML, ASMU",-818.7796526399998,19070.059652639997,2
CRWD,"CRWD, CRWL",-922.1656641076006,6383.9656641076,2
FIGR,"FGRU, FIGR",-923.1652126499994,31259.165212649998,2
NOK,"LNOK, NOK",-960.9221849999994,8889.262185,2
EWY,"EWY, KORU",-965.1552654199995,8105.1552654199995,2
APP,"APP, APPX",-1008.9435125,19655.163512500003,2
QQQ,"QQQ, TQQQ, TQQY",-1076.8654386800001,10978.225438680001,3
AAPL,"AAPB, AAPL",-1119.0584799000026,37674.2584799,2
WDC,"WDC, WDCX",-1173.4727475199998,10948.272747519999,2
NVO,"NVO, NVOX",-1276.1708343200007,14718.17083432,2
WULF,"WULF, WULX",-1453.6055691000001,35243.2055691,2
RKLB,"RKLB, RKLX",-1603.7154519999985,21588.915452,2
UNH,"UNH, UNHG",-1644.7705532000018,30184.850553199998,2
LITE,"LITE, LITX",-1682.5830323999999,21529.9830324,2
GLXY,"GLXU, GLXY",-1732.0562852999992,26585.0162853,2
PLUG,"PLUG, PLUL",-1826.224079479598,43086.6240794796,2
IREN,"IRE, IREG, IREN, IREX",-2057.647083099998,60427.5670831,4
VRT,"VRT, VRTL",-2335.295137000001,29502.915137,2
NBIS,"NBIG, NBIL, NBIS, NEBX",-2396.2402171999966,101981.4002172,4
BE,"BE, BEX",-2660.5565482300008,32413.69654823,2
GOOGL,"GGLL, GOOGL, GOOX",-3294.5918646200007,51325.99186462,3
OSCR,"OSCR, OSCX",-3323.5208277071997,20693.880827707202,2
KEEL,"KEEL, KEEX",-3813.6276813920013,44000.807681392005,2
TSLA,"TSLA, TSLI, TSLL, TSLR, TSLT, TSYY",-3904.826258540002,68922.32625854001,6
QUBT,"QUBT, QUBX",-3979.251413280006,69994.37141328,2
HUT,"HUT, HUTG",-4088.9429771135983,44866.7429771136,2
CRCL,"CCUP, CRCA, CRCG, CRCL",-4186.984905869998,79366.18490587,4
NVDA,"NVDA, NVDB, NVDG, NVDL, NVDU, NVYY",-4547.734022828003,96392.214022828,6
CNC,"CNC, CNCG",-4874.670848649599,27412.4708486496,2
QCOM,"QCMU, QCOM",-5665.4276384,31323.2476384,2
PANW,"PALU, PANG, PANW",-5718.854359230398,67380.4543592304,3
SOXX,"SOXL, SOXX",-6691.767664440005,37651.16766444001,2
