symbol,overlay_type,net_notional_usd,gross_notional_usd,n_legs
AMZO,flow_program,17513.41860372,17513.41860372,1
DUST,flow_program,14796.821087999999,14796.821087999999,1
ZSL,flow_program,13169.198951999999,13169.198951999999,1
SDS,flow_program,10515.291712299999,10515.291712299999,1
FAZ,flow_program,8388.0550239,8388.0550239,1
SQQQ,flow_program,8031.76605,8031.76605,1
TSLQ,flow_program,7087.812418,7087.812418,1
NVDQ,flow_program,6777.4564494,6777.4564494,1
LABD,flow_program,4976.113584199999,4976.113584199999,1
EWV,flow_program,3054.639835494,3054.639835494,1
SOXS,flow_program,1536.5634681600002,1536.5634681600002,1
TSYY,flow_program,-65.979594,65.979594,1
NVYY,flow_program,-94.3753257,94.3753257,1
TQQY,flow_program,-460.20315486690004,460.20315486690004,1
