etf,underlying,delta,partial_hedge_ratio
DAMD,AMD,-2.026817,1.0
ASTN,ASTS,-2.003258,1.0
AURU,AUR,-1.0,1.0
AXUP,AXON,-1.0,1.0
BEZ,BE,-2.0094,1.0
BKNU,BKNG,-1.0,1.0
BLSX,BLSH,-1.0,1.0
BMNZ,BMNR,-1.992341,1.0
CELT,CELH,-1.0,1.0
CONI,COIN,-1.930134,1.0
CRCD,CRCL,-1.990002,1.0
CORD,CRWV,-1.999483,1.0
DASX,DASH,-1.0,1.0
DXD,DIA,-2.001667,1.0
SDOW,DIA,-2.998697,1.0
DKUP,DKNG,-1.0,1.0
HOOZ,HOOD,-2.0139,1.0
BTCZ,IBIT,-1.998001,1.0
IONZ,IONQ,-2.014961,1.0
IREZ,IREN,-2.006776,1.0
TWM,IWM,-2.002869,1.0
TZA,IWM,-2.997934,1.0
BTFL,KEEL,-1.0,1.0
LITZ,LITE,-1.995973,1.0
LYFX,LYFT,-1.0,1.0
MSTZ,MSTR,-1.994153,1.0
SMST,MSTR,-1.969986,1.0
MUZ,MU,-2.0,1.0
NBIZ,NBIS,-2.025054,1.0
NWMX,NEM,-1.0,1.0
NETX,NET,-1.0,1.0
NVD,NVDA,-2.001223,1.0
NVDS,NVDA,-1.497529,1.0
OKLS,OKLO,-1.999903,1.0
OKTX,OKTA,-1.0,1.0
QBTZ,QBTS,-1.99553,1.0
QID,QQQ,-1.994903,1.0
QSX,QS,-1.0,1.0
RGTZ,RGTI,-1.98536,1.0
RKLZ,RKLB,-2.000086,1.0
SMCZ,SMCI,-2.005283,1.0
SNDQ,SNDK,-2.020277,1.0
SNK,SPCX,-2.0,1.0
SPCG,SPCX,-2.0,1.0
SSPC,SPCX,-2.0,1.0
HIBS,SPHB,-3.004793,1.0
SPXS,SPY,-2.994358,1.0
SPXU,SPY,-2.991137,1.0
UVIX,SVIX,-1.992749,1.0
TBT,TLT,-1.997334,1.0
TBX,TLT,-1.370686,1.0
TMV,TLT,-2.989797,1.0
TSDD,TSLA,-2.0081,1.0
STSM,TSM,-1.997202,1.0
PXIU,UPXI,-1.0,1.0
SCO,USO,-1.750291,1.0
DUG,XLE,-1.990395,1.0
SKF,XLF,-1.998683,1.0
FNGD,XLK,-2.884839,1.0
REW,XLK,-2.008262,1.0
TECS,XLK,-2.997933,1.0
WEBS,XLK,-2.728558,1.0
DRIP,XOP,-1.996063,1.0
GXRP,XRPZ,-1.0,1.0
XRP,XRPZ,-1.0,1.0
