underlying,symbol,leg_class,net_notional_usd,gross_notional_usd,_ratio_b1,_ratio_b2,_ratio_b4
LMND,LMND,spot,2378.0,2378.0,1.0,0.0,0.0
LMND,LMNX,core_levered_etf,-2450.2418280018,2450.2418280018,1.0,0.0,0.0
LRCX,LRCX,spot,1909.08,1909.08,1.0,0.0,0.0
LRCX,LRCU,core_levered_etf,-1944.4953493500002,1944.4953493500002,1.0,0.0,0.0
LUNR,LUNR,spot,24413.309999999998,24413.309999999998,1.0,0.0,0.0
LUNR,LUNL,core_levered_etf,-24803.049358465,24803.049358465,1.0,0.0,0.0
MARA,MARA,spot,21555.620000000003,21555.620000000003,0.10661896955411185,0.8933810304458881,0.0
MARA,MRAL,core_levered_etf,-965.9902437119999,965.9902437119999,1.0,0.0,0.0
MARA,MAAY,yieldboost_etf,-19257.382007499997,19257.382007499997,0.0,1.0,0.0
META,META,spot,30360.48,30360.48,0.05571674677080185,0.9442832532291981,0.0
META,FBL,core_levered_etf,-1134.42274575,1134.42274575,1.0,0.0,0.0
META,FBYY,yieldboost_etf,-28668.892824000006,28668.892824000006,0.0,1.0,0.0
MP,MP,spot,2652.7000000000003,2652.7000000000003,1.0,0.0,0.0
MP,MPL,core_levered_etf,-675.798902145,675.798902145,1.0,0.0,0.0
MP,MPG,core_levered_etf,-1967.4918081972999,1967.4918081972999,1.0,0.0,0.0
MRNA,MRNA,spot,2501.0699999999997,2501.0699999999997,1.0,0.0,0.0
MRNA,MRNX,core_levered_etf,-2602.6326592354,2602.6326592354,1.0,0.0,0.0
MRVL,MRVL,spot,2050.0,2050.0,1.0,0.0,0.0
MRVL,MVLL,core_levered_etf,-2399.5563514799996,2399.5563514799996,1.0,0.0,0.0
MSFT,MSFT,spot,1350.72,1350.72,1.0,0.0,0.0
MSFT,MSFX,core_levered_etf,-739.84544952,739.84544952,1.0,0.0,0.0
MSFT,MSFU,core_levered_etf,-792.5494435200001,792.5494435200001,1.0,0.0,0.0
MSTR,MSTR,spot_b4_structural,54408.78,54408.78,0.05345851014208597,1.0502170995200146,-0.10367560966210038
MSTR,MSTZ,inverse_b4_etf,3448.4169282,3448.4169282,0.0,0.0,1.0
MSTR,MSDD,inverse_b4_etf,3346.6051479330004,3346.6051479330004,0.0,0.0,1.0
MSTR,MSTX,core_levered_etf,-1174.3224683400001,1174.3224683400001,1.0,0.0,0.0
MSTR,MSTU,core_levered_etf,-1595.21186773,1595.21186773,1.0,0.0,0.0
MSTR,MTYY,yieldboost_etf,-54505.85364521999,54505.85364521999,0.0,1.0,0.0
MU,MU,spot,11652.0,11652.0,0.6695545665432832,0.3304454334567168,0.0
MU,MULL,core_levered_etf,-3016.3586706,3016.3586706,1.0,0.0,0.0
MU,MUYY,yieldboost_etf,-4038.2335559999997,4038.2335559999997,0.0,1.0,0.0
MU,MUU,core_levered_etf,-5165.983841759999,5165.983841759999,1.0,0.0,0.0
NBIS,NBIS,spot_b4_structural,33276.96,33276.96,1.454074650298585,0.0,-0.454074650298585
NBIS,NBIZ,inverse_b4_etf,18003.033110264998,18003.033110264998,0.0,0.0,1.0
NBIS,NBIL,core_levered_etf,-14231.43776292,14231.43776292,1.0,0.0,0.0
NBIS,NEBX,core_levered_etf,-17750.11081932,17750.11081932,1.0,0.0,0.0
NBIS,NBIG,core_levered_etf,-18126.459252,18126.459252,1.0,0.0,0.0
NEM,NEM,spot,1647.15,1647.15,1.0,0.0,0.0
NEM,NEMG,core_levered_etf,-1746.0120813750002,1746.0120813750002,1.0,0.0,0.0
NET,NET,spot,1209.1,1209.1,1.0,0.0,0.0
NET,NETG,core_levered_etf,-1415.39815144,1415.39815144,1.0,0.0,0.0
NFLX,NFLX,spot,774.18,774.18,1.0,0.0,0.0
NFLX,NFXL,core_levered_etf,-92.89852955999999,92.89852955999999,1.0,0.0,0.0
NFLX,NFLU,core_levered_etf,-785.9810160000001,785.9810160000001,1.0,0.0,0.0
NIO,NIO,spot,1271.1999999999998,1271.1999999999998,1.0,0.0,0.0
NIO,NIOG,core_levered_etf,-1347.342818976,1347.342818976,1.0,0.0,0.0
NOW,NOW,spot,1243.7,1243.7,1.0,0.0,0.0
NOW,NOWL,core_levered_etf,-1708.6577975999999,1708.6577975999999,1.0,0.0,0.0
NU,NU,spot,52.52,52.52,1.0,0.0,0.0
NU,NUG,core_levered_etf,-35.680762224,35.680762224,1.0,0.0,0.0
NVDA,NVDA,spot,2322.54,2322.54,0.9606133290928308,0.039386670907169116,0.0
NVDA,NVYY,flow_low_delta,-95.22782568,95.22782568,0.0,1.0,0.0
NVDA,NVDG,core_levered_etf,-155.83511048,155.83511048,1.0,0.0,0.0
NVDA,NVDB,core_levered_etf,-582.48566604,582.48566604,1.0,0.0,0.0
NVDA,NVDU,core_levered_etf,-819.3258432000001,819.3258432000001,1.0,0.0,0.0
NVDA,NVDL,core_levered_etf,-820.18180992,820.18180992,1.0,0.0,0.0
NVO,NVO,spot,1367.3999999999999,1367.3999999999999,1.0,0.0,0.0
NVO,NVOX,core_levered_etf,-1379.7937152999998,1379.7937152999998,1.0,0.0,0.0
NVTS,NVTS,spot,31388.0,31388.0,1.0,0.0,0.0
NVTS,NVTX,core_levered_etf,-28096.173674800004,28096.173674800004,1.0,0.0,0.0
OKLO,OKLO,spot,15583.039999999999,15583.039999999999,1.0,0.0,0.0
OKLO,OKLL,core_levered_etf,-15122.78286711,15122.78286711,1.0,0.0,0.0
OKTA,OKTA,spot,1725.78,1725.78,1.0,0.0,0.0
OKTA,OKTG,core_levered_etf,-2062.8275060232,2062.8275060232,1.0,0.0,0.0
ONDS,ONDS,spot,30075.5,30075.5,1.0,0.0,0.0
ONDS,ONDL,core_levered_etf,-13435.18469304,13435.18469304,1.0,0.0,0.0
ONDS,ONDG,core_levered_etf,-17732.21223375,17732.21223375,1.0,0.0,0.0
OPEN,OPEN,spot,9848.16,9848.16,1.0,0.0,0.0
OPEN,OPEX,core_levered_etf,-4188.75874101,4188.75874101,1.0,0.0,0.0
OPEN,OPEG,core_levered_etf,-6052.597775912499,6052.597775912499,1.0,0.0,0.0
ORCL,ORCL,spot,4515.6,4515.6,1.0,0.0,0.0
