symbol,overlay_type,net_notional_usd,gross_notional_usd,n_legs
AMZO,flow_program,14713.888933650001,14713.888933650001,1
DUST,flow_program,12497.118208,12497.118208,1
FAZ,flow_program,10620.93296418,10620.93296418,1
SDS,flow_program,9617.56870464,9617.56870464,1
ZSL,flow_program,9533.8518912,9533.8518912,1
LABD,flow_program,8268.69309696,8268.69309696,1
TSLQ,flow_program,7204.664862720001,7204.664862720001,1
SQQQ,flow_program,7082.76667392,7082.76667392,1
NVDQ,flow_program,6041.26127424,6041.26127424,1
EWV,flow_program,2589.800788855,2589.800788855,1
SOXS,flow_program,2034.7855389600002,2034.7855389600002,1
