etf,underlying,delta,partial_hedge_ratio
DAMD,AMD,-2.02595,0.75
ASTN,ASTS,-1.996246,0.75
AURU,AUR,-1.0,0.75
AXUP,AXON,-1.0,0.75
BEZ,BE,-2.007136,0.75
BKNU,BKNG,-1.0,0.75
BLSX,BLSH,-1.0,0.75
BMNZ,BMNR,-1.9908,0.75
CELT,CELH,-1.0,0.75
CLSZ,CLSK,-1.999683,0.75
CONI,COIN,-1.926386,0.75
CRCD,CRCL,-1.996865,0.75
CORD,CRWV,-2.011305,0.75
DASX,DASH,-1.0,0.75
DXD,DIA,-2.002075,0.75
SDOW,DIA,-2.999224,0.75
DKUP,DKNG,-1.0,0.75
HOOZ,HOOD,-2.007161,0.75
BTCZ,IBIT,-1.99727,0.75
IONZ,IONQ,-2.019136,0.75
IREZ,IREN,-2.014285,0.75
TWM,IWM,-2.002151,0.75
TZA,IWM,-2.996169,0.75
BTFL,KEEL,-1.0,0.75
LITZ,LITE,-2.001414,0.75
LYFX,LYFT,-1.0,0.75
MSDD,MSTR,-1.970599,0.75
MSTZ,MSTR,-1.994495,0.75
SMST,MSTR,-1.969355,0.75
MUZ,MU,-2.0,0.75
NBIZ,NBIS,-2.039596,0.75
NWMX,NEM,-1.0,0.75
NETX,NET,-1.0,0.75
NVD,NVDA,-2.002359,0.75
NVDS,NVDA,-1.495039,0.75
OKLS,OKLO,-2.001106,0.75
OKTX,OKTA,-1.0,0.75
QBTZ,QBTS,-1.998156,0.75
QID,QQQ,-1.996594,0.75
QSX,QS,-1.0,0.75
RGTZ,RGTI,-1.987799,0.75
RKLZ,RKLB,-2.002827,0.75
SMCZ,SMCI,-2.001244,0.75
SNDQ,SNDK,-2.022403,0.75
SNK,SPCX,-2.0,0.75
SPCG,SPCX,-2.0,0.75
SSPC,SPCX,-2.0,0.75
HIBS,SPHB,-3.006455,0.75
SPXS,SPY,-2.995048,0.75
SPXU,SPY,-2.993399,0.75
UVIX,SVIX,-1.990995,0.75
TBT,TLT,-1.999206,0.75
TBX,TLT,-1.370772,0.75
TMV,TLT,-2.990032,0.75
TSDD,TSLA,-2.008936,0.75
STSM,TSM,-1.99549,0.75
PXIU,UPXI,-1.0,0.75
SCO,USO,-1.739675,0.75
DUG,XLE,-1.990548,0.75
SKF,XLF,-1.997587,0.75
FNGD,XLK,-2.906958,0.75
REW,XLK,-2.007097,0.75
TECS,XLK,-2.99831,0.75
WEBS,XLK,-2.757651,0.75
DRIP,XOP,-1.995349,0.75
GXRP,XRPZ,-1.0,0.75
XRP,XRPZ,-1.0,0.75
