etf,underlying,delta,partial_hedge_ratio
DAMD,AMD,-1.0,1.0
CLSZ,CLSK,-1.977499,1.0
CONI,COIN,-1.0,1.0
CRCD,CRCL,-2.011571,1.0
CORD,CRWV,-1.999262,1.0
DXD,DIA,-1.988162,1.0
SDOW,DIA,-2.98806,1.0
BTCZ,IBIT,-1.992019,1.0
TWM,IWM,-2.002396,1.0
TZA,IWM,-2.990833,1.0
LITZ,LITE,-1.0,1.0
MSTZ,MSTR,-1.982596,1.0
NBIZ,NBIS,-1.0,1.0
NVDS,NVDA,-1.444058,1.0
QBTZ,QBTS,-1.0,1.0
QID,QQQ,-1.993107,1.0
SNDQ,SNDK,-1.0,1.0
TSXD,SOXX,-1.938655,1.0
SSPC,SPCX,-1.0,1.0
HIBS,SPY,-4.448098,1.0
SPXS,SPY,-2.898337,1.0
SPXU,SPY,-2.89035,1.0
TBT,TLT,-1.979632,1.0
TBX,TLT,-0.426621,1.0
TMV,TLT,-2.962799,1.0
SCO,USO,-1.605432,1.0
DUG,XLE,-1.973687,1.0
SKF,XLF,-2.000975,1.0
FNGD,XLK,-2.855771,1.0
REW,XLK,-1.999762,1.0
TECS,XLK,-2.962273,1.0
TTXD,XLK,-1.887493,1.0
WEBS,XLK,-2.241072,1.0
DRIP,XOP,-1.998616,1.0
GXRP,XRPZ,-1.0,1.0
XRP,XRPZ,-1.0,1.0
