symbol,underlying,description,realized_pnl,unrealized_pnl,dividends,withholding_tax,pil_dividends,borrow_fees,short_credit_interest,other_fees,bond_interest,total_pnl
WEBS,XLK,DIREXION DAILY DOW JONES INT,0.0,134.573745,0.0,0.0,0.0,0.0,1.638388242961921,0.0,0.0,136.21213324296193
CLSZ,CLSK,TRADR 2X SHRT CLSK DAILY ETF,0.0,47.434555,0.0,0.0,0.0,0.0,1.3263327373803788,0.0,0.0,48.76088773738038
QID,QQQ,PROSHARES ULTRASHORT QQQ,0.0,-0.385207,0.0,0.0,0.0,0.0,1.832413744556436,0.0,0.0,1.4472067445564358
SDOW,DIA,PROSHARES ULTPRO SHRT DOW30,0.0,-0.717348,0.0,0.0,0.0,0.0,1.3687807121908615,0.0,0.0,0.6514327121908615
DXD,DIA,PROSHARES ULTRASHORT DOW30,0.0,-3.582285,0.0,0.0,0.0,0.0,1.8306118926573751,0.0,0.0,-1.751673107342625
ASTS,ASTS,AST SPACEMOBILE INC,-3.3485292721441255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.3485292721441255
COIN,COIN,COINBASE GLOBAL INC -CLASS A,-12.228606782994314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12.228606782994314
NBIS,NBIS,NEBIUS GROUP NV,11.971262308049328,-61.59126880533101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-49.620006497281686
TTXD,XLK,DX D TECH TOP 5 BEAR 2X ETF,0.0,-99.038684,0.0,0.0,0.0,0.0,1.9751778653124539,0.0,0.0,-97.06350613468754
QQQ,QQQ,INVESCO QQQ TRUST SERIES 1,-214.87746873874246,0.9595150328493914,0.0,0.0,0.0,0.0,2.4735898126872224,0.0,0.0,-211.44436389320586
CRWV,CRWV,COREWEAVE INC-CL A,3.322808014703598,-234.7178383643651,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-231.39503034966148
IREN,IREN,IREN LTD,0.0,-276.70898814380945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-276.70898814380945
MSTR,MSTR,STRATEGY INC,189.16529927567223,-806.618984699418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-617.4536854237458
