pair,realized_pnl,unrealized_pnl,dividends,withholding_tax,pil_dividends,borrow_fees,short_credit_interest,other_fees,bond_interest,total_pnl
NFLX (spot),53.76412938,3794.101428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3847.86555738
VRT (spot),111.27785712,2420.68154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2531.95939712
ETHA | ETHU,14.30841033,2238.748155,0.0,0.0,-5.0,-6.0200000000000005,1.7811306022215732,0.0,0.0,2243.817695932222
TER (spot),-3.35040458,2236.849724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2233.49931942
SOEZ | SOLT,13.2908996,2231.572885,0.0,0.0,-12.1,-5.49,1.6096543631609563,0.0,0.0,2228.8834389631616
XRPZ | XXRP,1652.83345397,569.344835,0.0,0.0,-11.16,-7.7,1.8041499130769656,0.0,0.0,2205.122438883077
ALAB | LABX,4e-07,2137.366169,0.0,0.0,0.0,-13.88,1.7714206225433013,0.0,0.0,2125.257590022543
ETHA | ETU,1791.66418097,226.172144,0.0,0.0,0.0,-8.6,1.7936913379237216,0.0,0.0,2011.030016307924
ETHA | ETHT,0.0,1995.172271,0.0,0.0,-1.55,-12.03,0.4463892226455774,0.0,0.0,1982.0386602226456
COIN | COIW,2003.50306779,0.0,0.0,0.0,-136.06,-13.67,0.0,0.0,0.0,1853.77306779
IBIT | BITU,14.32960718,1843.306198,0.0,0.0,-3.66,-5.8,1.8034535451932707,0.0,0.0,1849.9792587251932
XRPZ | UXRP,-1.7e-07,1833.172087,0.0,0.0,0.0,-9.09,1.8221162044762964,0.0,0.0,1825.9042030344763
IBIT | BTCL,15.80522437,1713.773162,0.0,0.0,0.0,-11.8,1.7870801953278923,0.0,0.0,1719.5654665653278
IBIT | BITX,14.24840192,1727.222072,0.0,0.0,-6.93,-18.16,1.798587674605952,0.0,0.0,1718.1790615946059
PANW | PANG,0.0,1609.471323,0.0,0.0,0.0,-16.34,1.8481342495308501,0.0,0.0,1594.979457249531
SNOW | SNOU,0.0,1590.127408,0.0,0.0,0.0,-12.34,1.8688773078664145,0.0,0.0,1579.6562853078665
APP | APPX,0.0,1588.888693,0.0,0.0,0.0,-11.95,0.6595300226475197,0.0,0.0,1577.5982230226475
CRWV | CWVX,0.0,1580.11882,0.0,0.0,0.0,-11.76,1.8155355279753784,0.0,0.0,1570.1743555279752
HOOD | HOOW,-35.1744957,1762.976804,0.0,0.0,-219.74,-4.2,1.766998686481838,0.0,0.0,1505.6293069864817
PANW | PALU,0.0,1506.085187,0.0,0.0,0.0,-12.26,1.5013691572463865,0.0,0.0,1495.3265561572464
MDB | MDBX,0.0,1497.098652,0.0,0.0,0.0,-15.370000000000001,1.649556242896679,0.0,0.0,1483.3782082428968
DKNG | DKUP,318.62031275,1107.016943,0.0,0.0,0.0,-15.57,0.7151785211532952,0.0,0.0,1410.7824342711535
HOOD | HOOY,1525.86069875,0.0,0.0,0.0,-160.41,-9.24,0.0,0.0,0.0,1356.21069875
IREN | IREG,0.0,1281.160878,0.0,0.0,0.0,-20.75,1.8984424768285397,0.0,0.0,1262.3093204768284
BABA | BABX,0.0,1251.532897,0.0,0.0,0.0,-3.87,1.8127326472435064,0.0,0.0,1249.4756296472437
AMD | AMDG,8.12925822,1212.901778,0.0,0.0,0.0,-15.73,1.8368313283186257,0.0,0.0,1207.1378675483186
PYPL | PYPY,1294.27550389,0.0,0.0,0.0,-91.03,-11.91,0.0,0.0,0.0,1191.33550389
MSTR | MTYY,106.764981,1998.47441,0.0,0.0,-873.53,-64.69,16.945394320337385,0.0,0.0,1183.9647853203373
GDX (spot),326.8017131,824.867815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1151.6695281
TSM (spot),328.43494075,811.413458,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1139.84839875
CRWD | CRWL,1112.61186175,0.0,0.0,0.0,0.0,-17.29,0.0,0.0,0.0,1095.32186175
CEG (spot),0.0,1046.709858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1046.709858
AAPL (spot),50.63981307,951.617513,21.84,0.0,0.0,0.0,0.0,0.0,0.0,1024.09732607
BLSH | BLSX,0.0,1038.962315,0.0,0.0,0.0,-17.55,1.8747964348778219,0.0,0.0,1023.2871114348778
MSFT | MSFL,8.18039547,1003.733272,0.0,0.0,0.0,-11.4,1.8187997524301986,0.0,0.0,1002.3324672224303
PLTR | PLTW,84.56268232,1094.450035,0.0,0.0,-185.37,-4.26,1.19454076309183,0.0,0.0,990.5772580830919
MSFT | MSFX,0.0,997.94363,0.0,0.0,0.0,-16.740000000000002,1.8026657790248406,0.0,0.0,983.0062957790249
XYZ | XYZY,1112.99321044,0.0,0.0,0.0,-145.49,-9.73,0.0,0.0,0.0,957.77321044
NU | NUG,0.0,944.785281,0.0,0.0,0.0,-7.74,1.8379977445238151,0.0,0.0,938.8832787445239
CRM | CRMG,0.0,946.279605,0.0,0.0,0.0,-9.76,2.2058453744871445,0.0,0.0,938.7254503744871
MSTR | MSTW,199.9863339,1029.372193,0.0,0.0,-285.4,-15.82,1.054932059308805,0.0,0.0,929.1934589593088
AMD | AMDL,9.53430936,926.849372,0.0,0.0,0.0,-10.49,1.8408920235404223,0.0,0.0,927.7345733835404
IBIT | XBTY,0.0,1289.79122,0.0,0.0,-362.53999999999996,-12.99,3.794308392487408,0.0,0.0,918.0555283924875
CVNA | CVNY,1060.05958389,0.0,0.0,0.0,-140.7,-23.330000000000002,0.0,0.0,0.0,896.02958389
AMD | AMUU,10.33517715,883.128866,0.0,0.0,0.0,-6.13,1.8161883728663424,0.0,0.0,889.1502315228664
PLTR | PTIR,-58.85333132,945.792474,0.0,0.0,0.0,-8.65,1.8420018598550612,0.0,0.0,880.131144539855
PLTR | PLTA,-54.78188156,947.752824,0.0,0.0,0.0,-18.02,1.8574220561796322,0.0,0.0,876.8083644961797
UNH | UNHG,-10.70132582,869.530023,0.0,0.0,0.0,-14.81,1.8749705268487455,0.0,0.0,845.8936677068489
MU (spot),23.55844995,798.221818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,821.7802679499999
XOM (spot),0.48963234,819.145603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,819.63523534
AMZN | AMZW,917.96394275,0.0,0.0,0.0,-99.67,-9.91,0.0,0.0,0.0,808.3839427500001
CNC | CNCG,801.76991375,0.0,0.0,0.0,0.0,-10.69,0.0,0.0,0.0,791.07991375
MSFT | MSFW,38.27551575,845.326131,0.0,0.0,-92.58,-2.06,1.3453827512987098,0.0,0.0,790.3070295012988
CELH (spot),0.0,782.941012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,782.941012
MRNA (spot),73.35981555,702.985578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,776.34539355
AMD | AMDY,896.15158561,0.0,0.0,0.0,-126.77000000000001,-6.84,0.0,0.0,0.0,762.54158561
BA | BOEG,8.57761986,738.156632,0.0,0.0,0.0,-16.06,1.8434598801115476,0.0,0.0,732.5177117401116
LMT (spot),724.63081675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,724.63081675
GEV (spot),57.9493062,663.429585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,721.3788912
OPEN | OPEG,0.0,729.247117,0.0,0.0,0.0,-15.05,0.905008406248548,0.0,0.0,715.1021254062485
ENPH (spot),707.53597985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,707.53597985
TSLA | TSLL,44.54949997,675.673252,0.0,0.0,0.0,-18.95,1.8297936603940335,0.0,0.0,703.1025456303939
RDDT | RDYY,806.40119775,0.0,0.0,0.0,-105.7,-10.620000000000001,0.0,0.0,0.0,690.08119775
AI | AIYY,883.84601372,0.0,0.0,0.0,-176.57999999999998,-20.3,0.0,0.0,0.0,686.9660137200001
TSLA | TSLI,12.40632346,672.874328,0.0,0.0,0.0,-11.03,1.8344854390104282,0.0,0.0,676.0851368990104
BA | BOEU,7.92436088,667.895332,0.0,0.0,0.0,-14.879999999999999,1.8375015824066823,0.0,0.0,662.7771944624068
TEM | TEMT,-269.04081553,945.627914,0.0,0.0,0.0,-19.1,1.6559410659303075,0.0,0.0,659.1430395359303
