underlying,symbols,net_notional_usd,gross_notional_usd,n_legs
QQQ,"QID, QQQ",8391.418953539998,8391.418953539998,2
XLK,"TTXD, WEBS, XLK",212.26305309500276,33792.183053095,3
DIA,"DIA, DXD, SDOW",131.93760255999587,35387.457602559996,3
MSTR,MSTR,0.0,0.0,1
IBIT,IBIT,0.0,0.0,1
CRWV,CRWV,0.0,0.0,1
AMD,AMD,0.0,0.0,1
XLE,XLE,0.0,0.0,1
NBIS,NBIS,0.0,0.0,1
SPY,SPY,0.0,0.0,1
NVDA,NVDA,0.0,0.0,1
XOP,XOP,0.0,0.0,1
XLF,XLF,0.0,0.0,1
XRPZ,XRPZ,0.0,0.0,1
CLSK,"CLSK, CLSZ",-3525.7125954287994,15578.287404571201,2
