symbol,overlay_type,net_notional_usd,gross_notional_usd,n_legs
SOXS,flow_program,9487.112261639999,9487.112261639999,1
LABD,flow_program,9370.98743568,9370.98743568,1
FAZ,flow_program,9363.50403568,9363.50403568,1
SQQQ,flow_program,9274.187064999998,9274.187064999998,1
NVDQ,flow_program,8780.10634336,8780.10634336,1
EWV,flow_program,8395.553017279999,8395.553017279999,1
DUST,flow_program,8321.36268096,8321.36268096,1
TSLQ,flow_program,8195.05857856,8195.05857856,1
SDS,flow_program,8183.246014900001,8183.246014900001,1
ZSL,flow_program,7542.21678912,7542.21678912,1
