symbol,description,realized_pnl,unrealized_pnl,dividends,withholding_tax,pil_dividends,borrow_fees,short_credit_interest,other_fees,bond_interest,total_pnl
AZYY,GRANITE YIELDBOOST AMZN ETF,149.34178575,0.0,0.0,0.0,-43.59,-6.33,0.0,0.0,0.0,99.42178575000001
TQQY,GRANITE YIELDBOOST QQQ,159.88451495,-1.292884,0.0,0.0,-100.63,-11.61,0.03908654597299816,0.0,0.0,46.39071749597303
LABD,DRX DLY S&P BIOTECH BEAR 3X,0.0,33.881426,0.0,0.0,0.0,-0.11,1.397895697212132,0.0,0.0,35.16932169721213
DUST,DIREXION DAILY GOLD MINERS I,0.0,14.295032,0.0,0.0,0.0,-0.01,1.8722946894786923,0.0,0.0,16.157326689478694
SDS,PROSHARES ULTRASHORT S&P500,0.0,9.638939,0.0,0.0,0.0,-0.21000000000000002,1.8913331876429114,0.0,0.0,11.32027218764291
TSYY,GRANITE YIELDBOOST TSLA ETF,0.0,0.965034,0.0,0.0,-0.33,0.0,0.010774485587071036,0.0,0.0,0.6458084855870709
SQQQ,PROSHARES ULTRAPRO SHORT QQQ,0.0,-0.928751,0.0,0.0,0.0,-0.07,1.3925531247568512,0.0,0.0,0.3938021247568513
FAZ,DIREXION DAILY FIN BEAR 3X,0.0,-6.321031,0.0,0.0,0.0,-0.15,1.3936430810102696,0.0,0.0,-5.07738791898973
SOXS,DIREXION DAILY SEMI BEAR 3X,0.0,-14.404114,0.0,0.0,0.0,0.0,1.41848872314762,0.0,0.0,-12.98562527685238
TSLQ,TRADR 2X SHORT TSLA DAILY ET,0.0,-16.612151,0.0,0.0,0.0,0.0,1.9894917889241301,0.0,0.0,-14.62265921107587
EWV,PROSHARES ULTSHRT MSCI JAPAN,0.0,-37.088852,0.0,0.0,0.0,-0.15,1.911247224436926,0.0,0.0,-35.327604775563074
ZSL,PROSHARES ULTRASHORT SILVER,0.0,-37.977632,0.0,0.0,0.0,0.0,1.664095176940464,0.0,0.0,-36.313536823059536
NVYY,GRANITE YIELDBOOST NVDA,104.42386226,1.797413,0.0,0.0,-145.47,-6.640000000000001,0.01408009061793031,0.0,0.0,-45.874644649382056
NVDQ,T-REX 2X INVERSE NVIDIA DLY,0.0,-200.853288,0.0,0.0,0.0,-0.04,1.9688719607856893,0.0,0.0,-198.9244160392143
