symbol,overlay_type,net_notional_usd,gross_notional_usd,n_legs
DUST,flow_program,12048.237496799999,12048.237496799999,1
FAZ,flow_program,10634.971139199999,10634.971139199999,1
SOXS,flow_program,10264.860295359998,10264.860295359998,1
LABD,flow_program,10078.463986499999,10078.463986499999,1
ZSL,flow_program,9697.710274199999,9697.710274199999,1
SQQQ,flow_program,9655.563820319998,9655.563820319998,1
TSLQ,flow_program,9174.803661100003,9174.803661100003,1
SDS,flow_program,8881.569936,8881.569936,1
NVDQ,flow_program,8113.874375230001,8113.874375230001,1
TSYY,flow_program,-11.27784132,11.27784132,1
NVYY,flow_program,-15.813505299800001,15.813505299800001,1
TQQY,flow_program,-59.4072759,59.4072759,1
