etf,underlying,delta,partial_hedge_ratio
DAMD,AMD,-1.0,1.0
AURU,AUR,-1.0,1.0
AXUP,AXON,-1.0,1.0
BEZ,BE,-1.972419,1.0
BKNU,BKNG,-1.0,1.0
BLSX,BLSH,-1.0,1.0
CELT,CELH,-1.0,1.0
CLSZ,CLSK,-2.032651,1.0
CONI,COIN,-1.0,1.0
CRCD,CRCL,-2.009487,1.0
CORD,CRWV,-2.005603,1.0
DASX,DASH,-1.0,1.0
DXD,DIA,-1.98955,1.0
SDOW,DIA,-2.988493,1.0
DKUP,DKNG,-1.0,1.0
BTCZ,IBIT,-1.992701,1.0
IREZ,IREN,-2.011159,1.0
TWM,IWM,-2.003854,1.0
TZA,IWM,-2.991537,1.0
LITZ,LITE,-1.0,1.0
LYFX,LYFT,-1.0,1.0
MSTZ,MSTR,-1.982228,1.0
NBIZ,NBIS,-1.987572,1.0
NWMX,NEM,-1.0,1.0
NETX,NET,-1.0,1.0
NVDS,NVDA,-1.455534,1.0
OKTX,OKTA,-1.0,1.0
QBTZ,QBTS,-1.0,1.0
QID,QQQ,-1.992702,1.0
QSX,QS,-1.0,1.0
SNDQ,SNDK,-1.0,1.0
TSXD,SOXX,-1.89012,1.0
SSPC,SPCX,-1.0,1.0
HIBS,SPHB,-3.016439,1.0
SPXS,SPY,-2.900914,1.0
SPXU,SPY,-2.89529,1.0
TBT,TLT,-1.981603,1.0
TBX,TLT,-0.422673,1.0
TMV,TLT,-2.966525,1.0
PXIU,UPXI,-1.0,1.0
SCO,USO,-1.356385,1.0
DUG,XLE,-1.975645,1.0
SKF,XLF,-2.004188,1.0
FNGD,XLK,-2.832223,1.0
REW,XLK,-1.998803,1.0
TECS,XLK,-2.96395,1.0
TTXD,XLK,-1.889015,1.0
WEBS,XLK,-2.241786,1.0
DRIP,XOP,-1.998557,1.0
GXRP,XRPZ,-1.0,1.0
XRP,XRPZ,-1.0,1.0
