symbol,overlay_type,net_notional_usd,gross_notional_usd,n_legs
AMZO,flow_program,16597.074070295403,16597.074070295403,1
DUST,flow_program,13254.924902399998,13254.924902399998,1
FAZ,flow_program,10475.939952,10475.939952,1
SDS,flow_program,10157.1018549,10157.1018549,1
ZSL,flow_program,9857.691909,9857.691909,1
LABD,flow_program,9018.195151,9018.195151,1
TSLQ,flow_program,7800.592234050001,7800.592234050001,1
SQQQ,flow_program,7583.354242559999,7583.354242559999,1
NVDQ,flow_program,5577.255381360001,5577.255381360001,1
EWV,flow_program,2986.1577897348,2986.1577897348,1
SOXS,flow_program,1826.2354967999997,1826.2354967999997,1
TSYY,flow_program,-69.11649888,69.11649888,1
NVYY,flow_program,-96.2394411132,96.2394411132,1
TQQY,flow_program,-467.7845256,467.7845256,1
