underlying,pnl_total,pnl_share_b1,pnl_share_b2,pnl_share_b4,exp_net_total,exp_share_b1,exp_share_b2,exp_share_b4,ratio_spot_b1,ratio_spot_b2,ratio_spot_b4,diff_exp_b1,diff_exp_b2,diff_exp_b4,diff_pnl_b1,diff_pnl_b2,diff_pnl_b4,max_diff
CVNA,-1621.2948580000002,0.1980279980632616,0.8019720019367383,0.0,1257.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1980279980632616,0.8019720019367383,0.0,0.8019720019367383
CRWV,613.82851121,0.13530041687221606,0.8646995831277839,0.0,27007.5,0.8084507053615209,0.1915492946384792,0.0,0.8084507053615209,0.1915492946384792,0.0,0.0,0.0,0.0,0.6731502884893048,0.6731502884893048,0.0,0.6731502884893048
BULL,135.14236200000002,1.0,0.0,0.0,2122.7999999999997,0.3969068223289995,0.0,0.0,0.3969068223289995,0.0,0.0,0.0,0.0,0.0,0.6030931776710005,0.0,0.0,0.6030931776710005
HIMS,719.79472831,0.046155307309825255,0.9538446926901747,0.0,15125.400000000001,0.4738192771153159,0.4210833261401351,0.0,0.4738192771153159,0.4210833261401351,0.0,0.0,0.0,0.0,0.42766396980549065,0.5327613665500396,0.0,0.5327613665500396
AMD,44736.15662639,0.717844579755405,0.28215542024459495,0.0,36624.0,0.24239497584531453,0.705793770518406,0.0,0.24239497584531453,0.705793770518406,0.0,0.0,0.0,0.0,0.4754496039100905,0.423638350273811,0.0,0.4754496039100905
META,124.08922679000003,0.43487426041171046,0.5651257395882895,0.0,33888.780000000006,0.04806617416413337,0.9045861024563292,0.0,0.04806617416413337,0.9045861024563292,0.0,0.0,0.0,0.0,0.38680808624757707,0.3394603628680397,0.0,0.38680808624757707
HOOD,-939.0474464100001,0.0018802256615311702,0.9981197743384688,0.0,54764.6,0.2585933674946334,0.6709700576050698,0.0,0.2585933674946334,0.6709700576050698,0.0,0.0,0.0,0.0,0.25671314183310223,0.327149716733399,0.0,0.327149716733399
ASML,1392.051125,0.7868753390792311,0.213124660920769,0.0,1757.47,0.9503509752542006,0.0,0.0,0.9503509752542006,0.0,0.0,0.0,0.0,0.0,0.16347563617496952,0.213124660920769,0.0,0.213124660920769
COIN,-13350.209279550001,0.002535134907101629,0.9974648650928984,0.0,56296.59,0.16135101906472668,0.7864546847970719,0.0,0.16135101906472668,0.7864546847970719,0.0,0.0,0.0,0.0,0.15881588415762504,0.21101018029582652,0.0,0.21101018029582652
QBTS,9205.902771489998,0.6000900702481144,0.3489081358921518,0.05100179385973381,14593.92,0.5080400731052692,0.4919599268947309,0.0,0.5080400731052692,0.4919599268947309,0.0,0.0,0.0,0.0,0.09204999714284523,0.1430517910025791,0.05100179385973381,0.1430517910025791
MSTR,-9179.496423,0.010283654576802493,0.8556281000734065,0.13408824534979108,45926.35,0.07396603878727571,0.9144297003691129,0.0,0.07396603878727571,0.9144297003691129,0.0,0.0,0.0,0.0,0.06368238421047322,0.05880160029570636,0.13408824534979108,0.13408824534979108
MU,14969.931762920001,0.6651038788104556,0.3348961211895443,0.0,15936.0,0.5334065620368975,0.45435587055502635,0.0,0.5334065620368975,0.45435587055502635,0.0,0.0,0.0,0.0,0.13169731677355812,0.11945974936548204,0.0,0.13169731677355812
NU,-2542.01698963,1.0,0.0,0.0,121.19999999999999,0.8700736398019803,0.0,0.0,0.8700736398019803,0.0,0.0,0.0,0.0,0.0,0.12992636019801973,0.0,0.0,0.12992636019801973
IONQ,23606.795407060003,0.3903787054394688,0.6096212945605312,0.0,50558.2,0.2832739428427041,0.6295077658824246,0.0,0.2832739428427041,0.6295077658824246,0.0,0.0,0.0,0.0,0.10710476259676471,0.019886471321893473,0.0,0.10710476259676471
ASTS,-663.842975,0.89666480622619,0.0,0.10333519377381004,5257.21,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.10333519377380995,0.0,0.10333519377381004,0.10333519377381004
SMCI,18643.62128206,0.2342820626729236,0.7657179373270764,0.0,41272.0,0.13605768021006978,0.6654014046920673,0.0,0.13605768021006978,0.6654014046920673,0.0,0.0,0.0,0.0,0.09822438246285381,0.10031653263500906,0.0,0.10031653263500906
APP,178.22631300000003,1.0,0.0,0.0,5588.7,0.9012260991786999,0.0,0.0,0.9012260991786999,0.0,0.0,0.0,0.0,0.0,0.09877390082130011,0.0,0.0,0.09877390082130011
LMND,-258.773644,1.0,0.0,0.0,2114.37,0.9041971342153927,0.0,0.0,0.9041971342153927,0.0,0.0,0.0,0.0,0.0,0.09580286578460728,0.0,0.0,0.09580286578460728
