underlying,pnl_total,pnl_share_b1,pnl_share_b2,pnl_share_b4,exp_net_total,exp_share_b1,exp_share_b2,exp_share_b4,ratio_spot_b1,ratio_spot_b2,ratio_spot_b4,diff_exp_b1,diff_exp_b2,diff_exp_b4,diff_pnl_b1,diff_pnl_b2,diff_pnl_b4,max_diff
DKNG,-415.66684655,1.0,0.0,0.0,42.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
QQQ,-789.2242640000001,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0
PLTR,879.68699954,0.1909062924124724,0.8090937075875276,0.0,35485.840000000004,0.8894488714530865,0.10096146885490098,0.0,0.8894488714530865,0.10096146885490098,0.0,0.0,0.0,0.0,0.6985425790406141,0.7081322387326267,0.0,0.7081322387326267
NFLX,2588.2305003799997,0.18740041155816012,0.8125995884418399,0.0,28422.24,0.7861923480767173,0.19852777187441945,0.0,0.7861923480767173,0.19852777187441945,0.0,0.0,0.0,0.0,0.5987919365185572,0.6140718165674204,0.0,0.6140718165674204
MSTR,-14.527557999999999,0.5399599665376803,0.4600400334623197,0.0,19478.2,0.0,0.9643287411955622,0.0,0.0,0.9643287411955622,0.0,0.0,0.0,0.0,0.5399599665376803,0.5042887077332425,0.0,0.5399599665376803
MSFT,-5292.304894000001,0.4091767471746579,0.590823252825342,0.0,27828.0,0.8146846000172489,0.12283229322984045,0.0,0.8146846000172489,0.12283229322984045,0.0,0.0,0.0,0.0,0.40550785284259094,0.4679909595955015,0.0,0.4679909595955015
SMCI,-1065.020416,1.0,0.0,0.0,2958.15,0.5390599597890573,0.0,0.0,0.5390599597890573,0.0,0.0,0.0,0.0,0.0,0.4609400402109427,0.0,0.0,0.4609400402109427
IBIT,-4866.20302688,0.44164004238848126,0.5583599576115188,0.0,34465.86,0.8155752496464618,0.17586533122484685,0.0,0.8155752496464618,0.17586533122484685,0.0,0.0,0.0,0.0,0.3739352072579805,0.382494626386672,0.0,0.382494626386672
META,-933.12845225,0.20435067014558422,0.7956493298544158,0.0,14277.36,0.4966389592024156,0.4300176200525307,0.0,0.4966389592024156,0.4300176200525307,0.0,0.0,0.0,0.0,0.29228828905683135,0.36563170980188514,0.0,0.36563170980188514
HOOD,-2922.71706,0.27643152053028686,0.7235684794697131,0.0,4715.1,0.0,0.9336419206040169,0.0,0.0,0.9336419206040169,0.0,0.0,0.0,0.0,0.27643152053028686,0.2100734411343037,0.0,0.27643152053028686
MARA,-1769.267109,0.24270040434567147,0.7572995956543285,0.0,8826.48,0.0,0.9606515927209941,0.0,0.0,0.9606515927209941,0.0,0.0,0.0,0.0,0.24270040434567147,0.20335199706666562,0.0,0.24270040434567147
ACHR,-449.225388,1.0,0.0,0.0,1918.1999999999998,0.7770229156500887,0.0,0.0,0.7770229156500887,0.0,0.0,0.0,0.0,0.0,0.22297708434991126,0.0,0.0,0.22297708434991126
