underlying,etf,delta,realized_pnl,unrealized_pnl,dividends,withholding_tax,pil_dividends,borrow_fees,short_credit_interest,other_fees,bond_interest,total_pnl
QBTS,QBTZ,-1.0,0.0,2100.7171174105147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2100.7171174105147
IREN,IREZ,-1.0,0.0,1785.029671717311,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1785.029671717311
ASTS,ASTN,-1.0,0.0,1608.1705588165123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1608.1705588165123
XLK,WEBS,-2.243626,313.26477971,0.0,0.0,0.0,0.0,-1.1620000000000001,0.0,0.0,0.0,312.10277971000005
COIN,CONI,-1.0,0.0,299.8283497736049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,299.8283497736049
CRWV,CORD,-2.003914,0.0,277.95893964536145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,277.95893964536145
CLSK,CLSZ,-2.031225,342.45757941,-72.92546607937093,0.0,0.0,0.0,-0.1166264017608899,0.0,0.0,0.0,269.4154869288682
XLK,TTXD,-1.841757,245.82998158,0.0,0.0,0.0,0.0,-2.1719999999999997,0.0,0.0,0.0,243.65798158
QQQ,QID,-1.993801,72.44317078,0.0,0.0,0.0,0.0,-0.79,0.0,0.0,0.0,71.65317078
MSTR,MSTZ,-1.982359,0.0,62.555890716457434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.555890716457434
MSTR,MSDD,-1.0,0.0,62.555890716457434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.555890716457434
XOP,DRIP,-1.998984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SPY,SPXU,-2.893348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
QS,QSX,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RKLB,RKLZ,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SOXX,TSXD,-1.892109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SPY,HIBS,-4.472714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SPY,SPXS,-2.898542,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
XRPZ,GXRP,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SVIX,UVIX,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TLT,TBT,-1.982801,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TLT,TBX,-0.428203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UPXI,PXIU,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
USO,SCO,-1.465557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
XLE,DUG,-1.975364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
XLF,SKF,-2.003529,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TLT,TMV,-2.963599,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OKTA,OKTX,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AUR,AURU,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
