symbol,underlying,overlay_type,net_notional_usd,gross_notional_usd,n_legs
UVIX,SVIX,volatility_etp_bucket5,20983.801225080002,20983.801225080002,1
SVIX,SVIX,volatility_etp_bucket5,-21077.84,21077.84,1
