etf,underlying,pair_frac_merged
NVTX,NVTS,0.09999999825320179
ASTX,ASTS,0.06803914431623426
QBTX,QBTS,0.06295960998242565
IRE,IREN,0.04403794143410759
SMU,SMR,0.0431428928892323
IOYY,IONQ,0.03999999924252622
MAAY,MARA,0.03999999837434962
NBIG,NBIS,0.0384541053844167
MTYY,MSTR,0.03309944770517237
NEBX,NBIS,0.032832993815251274
XBTY,IBIT,0.03265806534438575
SMYY,SMCI,0.029811016552136547
CWVX,CRWV,0.025691876435990378
QBTZ,QBTS,0.025000000146159686
CORD,CRWV,0.025000000116407222
ETHD,ETHA,0.025000000109155582
CRWG,CRWV,0.024899379712029948
NBIL,NBIS,0.024000039196119115
MSDD,MSTR,0.021838834000767908
OKLL,OKLO,0.01973669569983816
PLTZ,PLTR,0.01778393963174242
CLSX,CLSK,0.0155796864117482
RGTX,RGTI,0.015009202944237417
FBYY,META,0.014495295912192785
LABX,ALAB,0.014227352895887915
WULX,WULF,0.013007087460451374
IREX,IREN,0.010861070108260306
CRDU,CRDO,0.010783844693044886
COYY,COIN,0.009936176869236722
CRWU,CRWV,0.009034288936724753
RKLX,RKLB,0.007862710373516891
CONI,COIN,0.00721605993311579
GLXU,GLXY,0.006498664507846413
ETHU,ETHA,0.006081338824988877
IONX,IONQ,0.004824030168939789
ETU,ETHA,0.004428538730456769
MSTZ,MSTR,0.003161166062651378
BAIG,BBAI,0.003078489508360385
ETHT,ETHA,0.0030015389059566923
APPX,APP,0.0027763392139660364
QUBX,QUBT,0.0024705937442330733
CONL,COIN,0.0023676439224884793
RGTU,RGTI,0.0022043171799977267
IONL,IONQ,0.00215261456089275
INTW,INTC,0.0020178010453142507
COIA,COIN,0.001938683301355972
AVXX,AVAV,0.001923800380347734
RIOX,RIOT,0.0018429540320382474
COZX,CORZ,0.0017203192785818168
UNX,U,0.0016802352281353595
MUU,MU,0.0016408415377442
SBTU,SBET,0.0016034234275391342
ROBN,HOOD,0.001354116854410042
