symbol,overlay_type,net_notional_usd,gross_notional_usd,n_legs
AMZO,flow_program,17591.30522136,17591.30522136,1
DUST,flow_program,16872.09359616,16872.09359616,1
ZSL,flow_program,14766.78234564,14766.78234564,1
SDS,flow_program,10692.10822586,10692.10822586,1
FAZ,flow_program,8937.34535382,8937.34535382,1
SQQQ,flow_program,8407.569576,8407.569576,1
TSLQ,flow_program,7991.5134875,7991.5134875,1
NVDQ,flow_program,6204.63332853,6204.63332853,1
LABD,flow_program,4759.66153728,4759.66153728,1
EWV,flow_program,3244.5326250000003,3244.5326250000003,1
SOXS,flow_program,1657.285272,1657.285272,1
TSYY,flow_program,-64.8944544,64.8944544,1
NVYY,flow_program,-96.20115381149999,96.20115381149999,1
TQQY,flow_program,-464.28581270639995,464.28581270639995,1
