ETF,Underlying,Leverage,Beta,Beta_n_obs,Beta_source
AAPU,AAPL,2.0,1.975421,501,ols
AMUU,AMD,2.0,2.007501,230,ols
AMZU,AMZN,2.0,1.981274,501,ols
ASMU,ASML,2.0,1.949936,15,ols_short_history
AVL,AVGO,2.0,1.987262,349,ols
BOEU,BA,2.0,1.990803,217,ols
BABU,BABA,2.0,2.048956,14,ols_short_history
BRKU,BRK-B,2.0,1.946156,306,ols
CONX,COIN,2.0,1.998357,71,ols
CSCL,CSCO,2.0,2.031022,174,ols
FRDU,F,2.0,1.945671,155,ols
GGLL,GOOGL,2.0,1.979296,501,ols
HODU,HOOD,2.0,2.010323,71,ols
LINT,INTC,2.0,1.98803,71,ols
ELIL,LLY,2.0,1.992265,235,ols
LMTL,LMT,2.0,1.983322,145,ols
METU,META,2.0,1.998721,436,ols
MRVU,MRVL,2.0,1.962192,14,ols_short_history
MSFU,MSFT,2.0,1.979627,501,ols
MUU,MU,2.0,1.994261,349,ols
NFXL,NFLX,2.0,1.997043,354,ols
NVDU,NVDA,2.0,1.972314,501,ols
ORCU,ORCL,2.0,2.009194,71,ols
PALU,PANW,2.0,2.003963,235,ols
PLTU,PLTR,2.0,1.991768,306,ols
QCMU,QCOM,2.0,1.998591,174,ols
SHPU,SHOP,2.0,2.009885,145,ols
SOFA,SOFI,2.0,2.022161,15,ols_short_history
TSLL,TSLA,2.0,1.986383,501,ols
TSMX,TSM,2.0,1.993609,354,ols
XOMX,XOM,2.0,1.963877,217,ols
YINN,FXI,2.0,2.974271,501,ols
MEXX,EWW,2.0,2.953507,501,ols
KORU,EWY,2.0,2.948575,501,ols
HIBL,SPY,2.0,4.477137,501,ols
LABU,XBI,2.0,2.988756,501,ols
SOXL,SOXX,2.0,2.960217,501,ols
CHAU,ASHR,2.0,1.967338,501,ols
CWEB,KWEB,2.0,1.987123,501,ols
ERX,XLE,2.0,1.986345,501,ols
NUGT,GDX,2.0,1.980838,501,ols
JNUG,GDXJ,2.0,1.971464,501,ols
GUSH,XOP,2.0,2.011028,501,ols
URAA,URA,2.0,1.933486,423,ols
MSTU,MSTR,2.0,1.965665,365,ols
NVDX,NVDA,2.0,1.998104,501,ols
TSLT,TSLA,2.0,1.992727,501,ols
BTCL,IBIT,2.0,2.007268,414,ols
