ETF,Underlying,Beta,Beta_n_obs,Beta_source,borrow_fee_annual,borrow_rebate_annual,borrow_net_annual,shares_available,borrow_current,borrow_spiking,borrow_missing_from_ftp,protected,cagr_positive,borrow_leq_low,borrow_gt_low,protected_ok,protected_bad,include_for_algo,purgatory,exclude_borrow_gt_low,exclude_no_shares,exclude_borrow_spike,vol_etf_annual,gross_decay_annual,vol_underlying_annual,expected_gross_decay_annual,blended_gross_decay,net_decay_annual,decay_score,maint_pct_long,maint_pct_short,init_pct_long,init_pct_short
AAPU,AAPL,1.972872,501,ols,0.047085999999999996,-0.010686,0.057772,80000,0.057772,False,False,False,,True,False,False,False,True,False,False,False,False,0.562718,0.168307,0.284827,0.077855,0.168307,0.11053500000000002,0.11053500000000002,0.493218,0.5918616,0.5,0.5918616
AMUU,AMD,2.007548,229,ols,0.020751,0.015649,0.005101999999999999,40000,0.005101999999999999,False,False,False,,True,False,False,False,True,False,False,False,False,1.30945,0.500182,0.554978,0.311497,0.482961,0.49508,0.477859,0.501887,0.6022643999999999,0.501887,0.6022643999999999
AMZU,AMZN,1.980348,501,ols,0.040873999999999994,-0.0044740000000000005,0.04534799999999999,500000,0.04534799999999999,False,False,False,,True,False,False,False,True,False,False,False,False,0.626416,0.211892,0.316022,0.096945,0.211892,0.166544,0.166544,0.495087,0.5941044,0.5,0.5941044
ASMU,ASML,2.000096,14,ols_short_history,0.047544,-0.011144000000000001,0.058688000000000004,9000,0.058688000000000004,False,False,False,,True,False,False,False,True,False,False,False,False,0.724278,,0.432671,0.187231,0.187231,,0.12854300000000002,0.500024,0.6000288,0.500024,0.6000288
AVL,AVGO,1.987238,348,ols,0.046412,-0.010012,0.056424,100000,0.056424,False,False,False,,True,False,False,False,True,False,False,False,False,1.085418,0.381806,0.536111,0.281936,0.381806,0.32538199999999995,0.32538199999999995,0.4968095,0.5961714,0.5,0.5961714
BOEU,BA,1.990144,216,ols,0.042129,-0.005729,0.047858,20000,0.047858,False,False,False,,True,False,False,False,True,False,False,False,False,0.568548,0.18644,0.347606,0.119049,0.176813,0.13858199999999998,0.128955,0.497536,0.5970432,0.5,0.5970432
BABU,BABA,2.033317,13,ols_short_history,,,,0,,False,True,False,,False,True,False,False,False,False,True,True,False,0.47576,,0.439766,0.203166,0.203166,,,0.50832925,1.0,0.50832925,1.0
BRKU,BRK-B,1.945467,305,ols,0.047297000000000006,-0.010896999999999999,0.058194,3000,0.058194,False,False,False,,True,False,False,False,True,False,False,False,False,0.360519,0.13589,0.171266,0.026976,0.13589,0.07769600000000002,0.07769600000000002,0.48636675,0.5836401,0.5,0.5836401
CONX,COIN,1.996183,70,ols,0.09434799999999999,-0.057948000000000006,0.152296,100,0.152296,False,False,False,,True,False,False,False,True,False,False,True,False,1.608449,0.737953,0.800799,0.637612,0.665484,0.585657,0.513188,0.49904575,0.5988549,0.5,0.5988549
CSCL,CSCO,2.028254,173,ols,0.056366,-0.019965999999999998,0.076332,5000,0.076332,False,False,False,,True,False,False,False,True,False,False,False,False,0.529748,0.186001,0.233455,0.056833,0.145508,0.109669,0.069176,0.5070635,0.6084762,0.5070635,0.6084762
FRDU,F,1.968317,153,ols,,,,0,,False,True,False,,False,True,False,False,False,False,True,True,False,0.626901,0.174414,0.347225,0.114896,0.151032,,,0.49207925,1.0,0.5,1.0
GGLL,GOOGL,1.979129,501,ols,0.037808,-0.0014080000000000002,0.039216,500000,0.039216,False,False,False,,True,False,False,False,True,False,False,False,False,0.589798,0.214799,0.297624,0.085826,0.214799,0.175583,0.175583,0.49478225,0.5937387,0.5,0.5937387
HODU,HOOD,2.006131,70,ols,0.102561,-0.066161,0.16872199999999998,20000,0.16872199999999998,False,False,False,,True,False,False,False,True,False,False,False,False,1.505205,0.678488,0.706417,0.503624,0.552197,0.5097659999999999,0.38347500000000007,0.50153275,0.6018393,0.50153275,0.6018393
LINT,INTC,1.987268,70,ols,0.204168,-0.16776800000000003,0.37193600000000004,30000,0.37193600000000004,False,False,False,,False,True,False,False,False,True,True,False,False,1.454224,0.628314,0.617086,0.373554,0.444321,0.256378,0.07238499999999998,0.496817,0.5961803999999999,0.5,0.5961803999999999
ELIL,LLY,1.992236,234,ols,0.088194,-0.051794,0.139988,4000,0.139988,False,False,False,,True,False,False,False,True,False,False,False,False,0.858539,0.284031,0.371363,0.136309,0.273479,0.14404299999999998,0.13349100000000003,0.498059,0.5976708,0.5,0.5976708
LMTL,LMT,1.983131,144,ols,0.09355000000000001,-0.05715,0.1507,4000,0.1507,False,False,False,,True,False,False,False,True,False,False,False,False,0.478718,0.159025,0.239146,0.055752,0.114765,0.008324999999999999,-0.035934999999999995,0.49578275,0.5949393,0.5,0.5949393
METU,META,1.998856,435,ols,0.066399,-0.029998999999999998,0.096398,250000,0.096398,False,False,False,,True,False,False,False,True,False,False,False,False,0.708902,0.233203,0.353184,0.124525,0.233203,0.136805,0.136805,0.499714,0.5996568,0.5,0.5996568
MRVU,MRVL,1.929308,13,ols_short_history,,,,0,,False,True,False,,False,True,False,False,False,False,True,True,False,0.633186,,0.623972,0.349029,0.349029,,,0.482327,1.0,0.5,1.0
MSFU,MSFT,1.975682,501,ols,0.035773,0.0006270000000000001,0.035146,1300000,0.035146,False,False,False,,True,False,False,False,True,False,False,False,False,0.477239,0.169696,0.241096,0.056024,0.169696,0.13455,0.13455,0.4939205,0.5927045999999999,0.5,0.5927045999999999
MUU,MU,1.994677,348,ols,0.021177,0.015223,0.005954000000000001,200000,0.005954000000000001,False,False,False,,True,False,False,False,True,False,False,False,False,1.257599,0.504585,0.604267,0.362228,0.504585,0.49863099999999994,0.49863099999999994,0.49866925,0.5984031,0.5,0.5984031
NFXL,NFLX,1.99717,353,ols,0.05833,-0.02193,0.08026,75000,0.08026,False,False,False,,True,False,False,False,True,False,False,False,False,0.706464,0.233334,0.329258,0.107951,0.233334,0.15307400000000002,0.15307400000000002,0.4992925,0.599151,0.5,0.599151
NVDU,NVDA,1.972199,501,ols,0.049172,-0.012771999999999999,0.061944,95000,0.061944,False,False,False,,True,False,False,False,True,False,False,False,False,0.982803,0.354334,0.497591,0.237367,0.354334,0.29239,0.29239,0.49304975,0.5916597,0.5,0.5916597
ORCU,ORCL,2.008649,70,ols,0.145821,-0.109421,0.255242,50000,0.255242,False,False,False,,True,False,False,False,True,False,False,False,False,1.104486,0.378496,0.512588,0.266165,0.297368,0.12325399999999997,0.042126,0.50216225,0.6025947,0.50216225,0.6025947
PALU,PANW,2.004372,234,ols,0.055582,-0.019181999999999998,0.074764,400000,0.074764,False,False,False,,True,False,False,False,True,False,False,False,False,0.725294,0.248302,0.341531,0.117409,0.238953,0.173538,0.164189,0.501093,0.6013116,0.501093,0.6013116
PLTU,PLTR,1.991823,305,ols,0.04999,-0.01359,0.06358,10000,0.06358,False,False,False,,True,False,False,False,True,False,False,False,False,1.303438,0.509023,0.627927,0.389469,0.509023,0.44544300000000003,0.44544300000000003,0.49795575,0.5975469,0.5,0.5975469
QCMU,QCOM,2.003477,173,ols,0.021343,0.015057000000000001,0.006286,5000,0.006286,False,False,False,,True,False,False,False,True,False,False,False,False,0.665974,0.230149,0.386353,0.150048,0.205038,0.22386299999999998,0.19875199999999998,0.50086925,0.6010431,0.50086925,0.6010431
SHPU,SHOP,2.009245,144,ols,0.160421,-0.124021,0.28444200000000003,10000,0.28444200000000003,False,False,False,,True,False,False,False,True,False,False,False,False,1.023038,0.351963,0.57285,0.332722,0.343717,0.067521,0.05927499999999997,0.50231125,0.6027735,0.50231125,0.6027735
SOFA,SOFI,2.008811,14,ols_short_history,,,,0,,False,True,False,,False,True,False,False,False,False,True,True,False,1.074181,,0.584277,0.345905,0.345905,,,0.50220275,1.0,0.50220275,1.0
TSLL,TSLA,1.985325,501,ols,0.074153,-0.037753,0.111906,85000,0.111906,False,False,False,,True,False,False,False,True,False,False,False,False,1.246387,0.489852,0.627384,0.384989,0.489852,0.377946,0.377946,0.49633125,0.5955975,0.5,0.5955975
TSMX,TSM,1.993385,353,ols,0.203983,-0.16758299999999998,0.37156599999999995,550000,0.37156599999999995,False,False,False,,False,True,False,False,False,True,True,False,False,0.802234,0.275311,0.406653,0.163729,0.275311,-0.09625499999999998,-0.09625499999999998,0.49834625,0.5980154999999999,0.5,0.5980154999999999
XOMX,XOM,1.965435,216,ols,0.047621000000000004,-0.011221000000000002,0.058842000000000005,4000,0.058842000000000005,False,False,False,,True,False,False,False,True,False,False,False,False,0.430831,0.13858,0.224267,0.047718,0.1256,0.079738,0.06675799999999998,0.49135875,0.5896305,0.5,0.5896305
YINN,FXI,2.974152,501,ols,0.013608,0.022792,0.0,450000,0.0,False,False,False,,True,False,False,False,True,False,False,False,False,0.855891,0.365637,0.287083,0.241952,0.365637,0.365637,0.365637,0.743538,0.8922456,0.743538,0.8922456
MEXX,EWW,2.95732,501,ols,0.069194,-0.032794,0.101988,5000,0.101988,False,False,False,,True,False,False,False,True,False,False,False,False,0.718513,0.288103,0.242357,0.169997,0.288103,0.186115,0.186115,0.73933,0.887196,0.73933,0.887196
KORU,EWY,2.946482,501,ols,0.11190699999999999,-0.075507,0.187414,85000,0.187414,False,False,False,,True,False,False,False,True,False,False,False,False,0.81864,0.327721,0.277537,0.220885,0.327721,0.140307,0.140307,0.7366205,0.8839446,0.7366205,0.8839446
HIBL,SPY,4.474296,501,ols,0.580527,-0.544127,1.124654,300,1.124654,False,False,False,,False,True,False,False,False,False,True,True,False,0.796073,0.465898,0.163797,0.208532,0.465898,-0.6587560000000001,-0.6587560000000001,1.0,1.0,1.0,1.0
LABU,XBI,2.98837,501,ols,0.136395,-0.099995,0.23639,35000,0.23639,False,False,False,,True,False,False,False,True,False,False,False,False,0.77145,0.319746,0.257955,0.197692,0.319746,0.08335599999999999,0.08335599999999999,0.7470925,0.8965110000000001,0.7470925,0.8965110000000001
SOXL,SOXX,2.960177,501,ols,0.007014,0.029386000000000002,0.0,3100000,0.0,False,False,False,,True,False,False,False,True,False,False,False,False,1.114666,0.536892,0.376232,0.410671,0.536892,0.536892,0.536892,0.74004425,0.8880530999999999,0.74004425,0.8880530999999999
CHAU,ASHR,1.967234,501,ols,0.014443999999999999,0.021956000000000003,0.0,15000,0.0,False,False,False,,True,False,False,False,True,False,False,False,False,0.514919,0.117782,0.261282,0.06495,0.117782,0.117782,0.117782,0.4918085,0.5901702,0.5,0.5901702
