ETF,Underlying,Leverage,Beta,Beta_n_obs,Beta_source
AAPU,AAPL,2.0,1.972872,501,ols
AMUU,AMD,2.0,2.007548,229,ols
AMZU,AMZN,2.0,1.980348,501,ols
ASMU,ASML,2.0,2.000096,14,ols_short_history
AVL,AVGO,2.0,1.987238,348,ols
BOEU,BA,2.0,1.990144,216,ols
BABU,BABA,2.0,2.033317,13,ols_short_history
BRKU,BRK-B,2.0,1.945467,305,ols
CONX,COIN,2.0,1.996183,70,ols
CSCL,CSCO,2.0,2.028254,173,ols
FRDU,F,2.0,1.968317,153,ols
GGLL,GOOGL,2.0,1.979129,501,ols
HODU,HOOD,2.0,2.006131,70,ols
LINT,INTC,2.0,1.987268,70,ols
ELIL,LLY,2.0,1.992236,234,ols
LMTL,LMT,2.0,1.983131,144,ols
METU,META,2.0,1.998856,435,ols
MRVU,MRVL,2.0,1.929308,13,ols_short_history
MSFU,MSFT,2.0,1.975682,501,ols
MUU,MU,2.0,1.994677,348,ols
NFXL,NFLX,2.0,1.99717,353,ols
NVDU,NVDA,2.0,1.972199,501,ols
ORCU,ORCL,2.0,2.008649,70,ols
PALU,PANW,2.0,2.004372,234,ols
PLTU,PLTR,2.0,1.991823,305,ols
QCMU,QCOM,2.0,2.003477,173,ols
SHPU,SHOP,2.0,2.009245,144,ols
SOFA,SOFI,2.0,2.008811,14,ols_short_history
TSLL,TSLA,2.0,1.985325,501,ols
TSMX,TSM,2.0,1.993385,353,ols
XOMX,XOM,2.0,1.965435,216,ols
YINN,FXI,2.0,2.974152,501,ols
MEXX,EWW,2.0,2.95732,501,ols
KORU,EWY,2.0,2.946482,501,ols
HIBL,SPY,2.0,4.474296,501,ols
LABU,XBI,2.0,2.98837,501,ols
SOXL,SOXX,2.0,2.960177,501,ols
CHAU,ASHR,2.0,1.967234,501,ols
CWEB,KWEB,2.0,1.98692,501,ols
ERX,XLE,2.0,1.986316,501,ols
NUGT,GDX,2.0,1.980525,501,ols
JNUG,GDXJ,2.0,1.970747,501,ols
GUSH,XOP,2.0,2.011055,501,ols
URAA,URA,2.0,1.933093,422,ols
MSTU,MSTR,2.0,1.965818,364,ols
NVDX,NVDA,2.0,1.998274,501,ols
TSLT,TSLA,2.0,1.992802,501,ols
BTCL,IBIT,2.0,2.007006,413,ols
ETU,ETHA,2.0,1.989286,338,ols
CCUP,CRCL,2.0,1.981283,141,ols
CRWU,CRWV,2.0,1.989718,151,ols
AAPX,AAPL,2.0,1.994566,501,ols
GOOX,GOOGL,2.0,1.9815,501,ols
MSFX,MSFT,2.0,2.008226,501,ols
NFLU,NFLX,2.0,1.988978,357,ols
ROBN,HOOD,2.0,2.011353,272,ols
ARMU,ARM,2.0,1.998133,251,ols
DJTU,DJT,2.0,2.002099,251,ols
RBLU,RBLX,2.0,2.021308,251,ols
SNOU,SNOW,2.0,2.019971,215,ols
SMUP,SMR,2.0,2.06153,151,ols
DKUP,DKNG,2.0,1.982857,148,ols
BULU,BULL,2.0,1.981733,148,ols
GLXU,GLXY,2.0,2.012817,142,ols
AFRU,AFRM,2.0,1.958284,116,ols
AXUP,AXON,2.0,1.970159,116,ols
KTUP,KTOS,2.0,2.023386,116,ols
TTDU,TTD,2.0,1.993564,115,ols
BKNU,BKNG,2.0,2.018801,115,ols
PXIU,UPXI,2.0,1.933441,115,ols
BMNU,BMNR,2.0,1.943245,108,ols
SBTU,SBET,2.0,2.026275,91,ols
CIFU,CIFR,2.0,1.991979,68,ols
SOLX,GSOL,2.0,1.982642,61,ols
XRPK,XRPZ,2.0,1.959026,61,ols
XRPT,XRPZ,2.0,2.021728,67,ols
GMEU,GME,2.0,1.96609,215,ols
APLX,APLD,2.0,1.992736,121,ols
APPX,APP,2.0,1.983868,214,ols
