symbol,overlay_type,net_notional_usd,gross_notional_usd,n_legs
DUST,flow_program,13862.5717016,13862.5717016,1
SOXS,flow_program,12970.5701181,12970.5701181,1
SQQQ,flow_program,12509.371555200001,12509.371555200001,1
ZSL,flow_program,12439.5256557,12439.5256557,1
LABD,flow_program,11566.427048880001,11566.427048880001,1
FAZ,flow_program,11188.69623648,11188.69623648,1
TSLQ,flow_program,10502.8750563,10502.8750563,1
SDS,flow_program,10196.1301728,10196.1301728,1
NVDQ,flow_program,10035.963843525,10035.963843525,1
EWV,flow_program,673.36847578,673.36847578,1
TSYY,flow_program,-27.666225000000004,27.666225000000004,1
NVYY,flow_program,-36.4772678,36.4772678,1
TQQY,flow_program,-164.4497223285,164.4497223285,1
