ETF,Underlying,sleeve,strategy_tag,Delta,borrow_current,optimal_gross_target_usd,optimal_long_usd,optimal_short_usd,optimal_underlying_target_usd,optimal_etf_target_usd,optimal_binding_cap,binding_cap,liquidity_gap_usd,executable_pct_of_optimal,gross_target_usd,long_usd,short_usd
AAPU,AAPL,,ETF_LS,1.997056,0.028702,0.0,0.0,0.0,0.0,0.0,none,none,0.0,1.0,0.0,0.0,0.0
AMUU,AMD,core_leveraged,ETF_LS,1.986094,0.044022,2529.42028896391,1682.3537569110308,-847.0665320528791,1682.3537569110308,-847.0665320528791,haircut,haircut,-345.145404850648,1.136452374623762,2874.565693814558,1911.9149219987482,-962.6507718158094
AMZU,AMZN,core_leveraged,ETF_LS,1.998549,0.040141,224.41691762223996,149.57507991265445,-74.84183770958552,149.57507991265445,-74.84183770958552,haircut,haircut,-33.30947973773465,1.1484267767807255,257.7263973599746,171.77602691080915,-85.95037044916545
ASMU,ASML,core_leveraged,ETF_LS,1.997956,0.089274,868.5374090804862,578.8275504032788,-289.7098586772075,578.8275504032788,-289.7098586772075,haircut,haircut,-123.89385564642316,1.1426465392867633,992.4312647269094,661.395297312141,-331.0359674147684
AVL,AVGO,core_leveraged,ETF_LS,1.997507,0.0277579999999999,1295.977690720464,863.6258427613219,-432.351847959142,863.6258427613219,-432.351847959142,haircut,haircut,-185.09955222431427,1.1428261871710255,1481.0772429447782,986.974229025285,-494.10301391949315
BOEU,BA,core_leveraged,ETF_LS,1.994626,0.0622119999999999,278.7300619261472,185.65330979544797,-93.07675213069918,185.65330979544797,-93.07675213069918,haircut,haircut,-38.874861965883554,1.1394713641479544,317.60492389203074,211.54663017120188,-106.05829372082881
BABU,BABA,core_leveraged,ETF_LS,2.004587,0.178451,199.39979608932012,133.03466967117342,-66.3651264181467,133.03466967117342,-66.3651264181467,haircut,haircut,-31.447180185719333,1.157709189289405,230.84697627503945,154.015459572398,-76.8315167026415
CONX,COIN,core_leveraged,ETF_LS,2.001698,0.1407189999999999,4398.771257834763,2933.3436039419453,-1465.4276538928175,2933.3436039419453,-1465.4276538928175,haircut,haircut,-620.0601023935988,1.1409621155656127,5018.8313602283615,3346.8339240344603,-1671.9974361939014
CSCL,CSCO,,ETF_LS,2.003608,0.222313,0.0,0.0,0.0,0.0,0.0,none,none,0.0,1.0,0.0,0.0,0.0
GGLL,GOOGL,core_leveraged,ETF_LS,2.000502,0.023541,317.980903853645,212.0050025365837,-105.97590131706127,212.0050025365837,-105.97590131706127,haircut,haircut,-45.640085844488965,1.1435309016716784,363.62098969813394,242.43427170956605,-121.18671798856789
HODU,HOOD,core_leveraged,ETF_LS,1.999431,0.088429,4720.6966534907,3146.8325927769506,-1573.8640607137484,3146.8325927769506,-1573.8640607137484,haircut,haircut,-685.7033041454124,1.1452546847377647,5406.399957636112,3603.9247689632894,-1802.4751886728222
LINT,INTC,core_leveraged,ETF_LS,1.993436,0.1612,3425.9827576320217,2281.484342555828,-1144.498415076194,2281.484342555828,-1144.498415076194,haircut,haircut,-469.37801513538716,1.1370053641074986,3895.360772767409,2594.059935613246,-1301.300837154163
ELIL,LLY,,ETF_LS,1.983525,0.224155,0.0,0.0,0.0,0.0,0.0,none,none,0.0,1.0,0.0,0.0,0.0
METU,META,core_leveraged,ETF_LS,1.99776,0.03512,815.4594960071812,543.4365535410794,-272.02294246610177,543.4365535410794,-272.02294246610177,haircut,haircut,-113.76653871469932,1.1395121882469286,929.2260347218805,619.2525762989645,-309.97345842291594
MRVU,MRVL,,ETF_LS,1.995266,0.562868,0.0,0.0,0.0,0.0,0.0,none,none,0.0,1.0,0.0,0.0,0.0
MSFU,MSFT,core_leveraged,ETF_LS,2.000026,0.0248119999999999,327.00530820475893,218.00448347698693,-109.000824727772,218.00448347698693,-109.000824727772,haircut,haircut,-45.2446315832442,1.138360541703848,372.24993978800313,248.16770190473042,-124.08223788327273
