ETF,Underlying,weight_solved,weight_capped,gross_solved_usd,gross_capped_usd,crash_budget_mult,cap_usd,L,C,runup,tail,hedge_ratio,crash_l_source,scale_to_budget,scale_mult,gross_final_usd,weight_final
LITZ,LITE,0.1694808775874963,0.014257480721533936,19575.041361355823,1646.7390233371696,0.08412442114110107,1646.7390233371696,0.5260396381720016,0.5669850777658888,1.1574049115855778,0.5669850777658888,0.3706388853748138,signal,True,6.465736181474142,10647.380084636528,0.09218510895789203
SNDQ,SNDK,0.13040783647797324,0.01205696188037606,15062.10511320591,1392.579097183435,0.09245580791774398,1392.579097183435,0.6220472515723068,0.728667115351079,4.432187856995373,0.728667115351079,0.4245403079144453,signal,True,6.465736181474142,9004.049054223531,0.077957134668602
MSTZ,MSTR,0.12140266237326862,0.011367001632713144,14022.007504112526,1312.8886885783681,0.09363057951533045,1312.8886885783681,0.6598046030375958,0.6616067306093181,0.0,0.6616067306093181,0.3567837716865919,signal,True,6.465736181474142,8488.791895989292,0.07349603373150902
CORD,CRWV,0.09483326270466165,0.011339171333984039,10953.241842388421,1309.6742890751564,0.11956955830252845,1309.6742890751564,0.6614239946725332,0.710138323812736,0.0,0.710138323812736,0.38915010869664035,signal,True,6.465736181474142,8468.008436819664,0.07331609036207501
NBIZ,NBIS,0.09848844445465198,0.012782225380703366,11375.415334512303,1476.3470314712388,0.1297840112256907,1476.3470314712388,0.5867522889498056,0.7254096730356167,1.1203353761065529,0.7254096730356167,0.44366694588823674,signal,True,6.465736181474142,9545.670417795533,0.08264649712377084
QBTZ,QBTS,0.10203547005595015,0.015062185650399674,11785.096791462242,1739.6824426211624,0.1476171535461195,1739.6824426211624,0.4979357029635993,0.7598307214506832,0.0,0.7598307214506832,0.5164158538714566,signal,True,6.465736181474142,11248.327713530964,0.09738811873186981
RKLZ,RKLB,0.09892424467352134,0.018908687812578307,11425.750259791716,2183.9534423527944,0.19114311031620665,2183.9534423527944,0.3966430708645421,0.6978957074533796,0.21935010519154363,0.6978957074533796,0.5550335947661799,signal,True,6.465736181474142,14120.866790875465,0.12225858693398671
CONI,COIN,0.06271295700129272,0.013190164483044713,7243.346533649309,1523.4639977916643,0.21032598547016082,1523.4639977916643,0.5686054946199397,0.6287776801921698,0.0,0.6287776801921698,0.3810603335291695,signal,True,6.465736181474142,9850.316291694806,0.08528412373761737
DAMD,AMD,0.09404747913196683,0.019886161017779843,10862.483839742168,2296.851597553572,0.21144810261076438,2296.851597553572,0.37714669982277577,0.5129009371143196,1.5372779885123746,0.5129009371143196,0.44863091225823526,signal,True,6.465736181474142,14850.836477778816,0.12857867080327978
SSPC,SPCX,0.0140858268856186,0.012230450841007719,1626.9130052889484,1412.6170721363915,0.8682806441058004,1412.6170721363915,0.6132235105228585,,,,0.75,book_quantile,True,6.465736181474142,9133.609313880335,0.07907886851844445
MUZ,MU,0.01358093865359859,0.01358093865359859,1568.598414490637,1568.598414490637,1.0,1791.2712076689488,0.48359511183528986,0.5935952459203051,2.057866732063651,0.5935952459203051,0.4212452698326969,signal,True,6.465736181474142,10142.143522775084,0.08781076643095312
