ETF,Underlying,source,weight_solved,weight_capped,weight_smoothed,gross_decay_score_usd,gross_after_caps_usd,gross_after_smooth_usd,crash_cap_usd,gross_after_crash_usd,gross_final_usd,inverse_short_final_usd,underlying_short_final_usd,L,C,crash_l_source,rho_effective,book_cap_mult
DAMD,AMD,opt2,0.09409593237179906,0.12857823652617673,0.12857823652617673,1451.2315785163944,14850.786318773411,14850.786318773411,14850.786318773411,14850.786318773413,14850.786318773415,-7779.023662630263,-7071.762656143151,0.3771466995569394,0.5129009371143196,signal,0.048492857540699076,1.0000000000000002
RKLZ,RKLB,opt2,0.09875315865351457,0.12225817391692166,0.12225817391692166,6159.136966571229,14120.819087404452,14120.819087404452,14120.819087404452,14120.819087404452,14120.819087404452,-6699.756067137997,-7421.063020266456,0.3966430708645421,0.6978957074533796,signal,0.048492857540699076,1.0
QBTZ,QBTS,opt2,0.10205002233280543,0.0973877897328524,0.0973877897328524,23100.000000000004,11248.289714144454,11248.289714144454,11248.289714144454,11248.289714144454,11248.289714144452,-5543.784586550708,-5704.505127593744,0.4979357029635993,0.7598307214506832,signal,0.048492857540699055,0.9999999999999999
LITZ,LITE,opt2,0.16950719397126726,0.09218479801633053,0.09218479801633053,17759.95554101744,10647.344170886177,10647.344170886177,10647.344170886176,10647.344170886177,10647.344170886177,-6114.760204485998,-4532.58396640018,0.526039635430004,0.5669850777658888,signal,0.048492857540699076,1.0
CONI,COIN,opt2,0.06272428693331439,0.08528383562862343,0.08528383562862343,843.9220108274313,9850.283015106006,9850.283015106006,9850.283015106006,9850.283015106006,9850.283015106006,-5677.89962979102,-4172.383385314986,0.5686054946199397,0.6287776801921698,signal,0.048492857540699055,1.0
NBIZ,NBIS,opt2,0.09850318566590727,0.08264621814715979,0.08264621814715979,23100.000000000004,9545.638195996957,9545.638195996957,9545.638195996957,9545.638195996957,9545.638195996957,-5027.111722151478,-4518.52647384548,0.5867522873745139,0.7254096730356167,signal,0.048492857540699076,1.0
SNDQ,SNDK,opt2,0.13042609902756747,0.07795687131182873,0.07795687131182873,23100.000000000004,9004.018636516217,9004.018636516217,9004.018636516217,9004.018636516219,9004.01863651622,-4847.65007968634,-4156.36855682988,0.6220472515723068,0.728667115351079,signal,0.04849285754069908,1.0000000000000002
MSTZ,MSTR,opt2,0.12142387001367125,0.07349578544534029,0.07349578544534029,3721.995475568266,8488.763218936803,8488.763218936803,8488.763218936803,8488.763218936803,8488.763218936803,-4960.231264109619,-3528.5319548271837,0.6598046030375958,0.6616067306093181,signal,0.048492857540699055,1.0
CORD,CRWV,opt2,0.09484847618696723,0.07331584268379554,0.07331584268379554,15290.580107273168,8467.979829978385,8467.979829978385,8467.979829978385,8467.979829978385,8467.979829978385,-4759.994533602096,-3707.985296376289,0.6614239946725332,0.710138323812736,signal,0.04849285754069906,1.0
MUZ,MU,opt2,0.013581461013882669,0.0878138472187694,0.0878138472187694,364.9418700847768,10142.499353767866,10142.499353767866,11581.850999563489,10142.499353767867,5071.249676883934,-2752.3884479780827,-2318.8612289058506,0.4835949837518922,0.593595117983486,signal,0.02123316800947597,0.5
SSPC,SPCX,opt2,0.014086313829303443,0.07907860137220138,0.07907860137220138,608.2364501412947,9133.578458489259,9133.578458489259,9133.578458489259,9133.578458489259,4566.7892292446295,-1826.7156916978518,-2740.0735375467775,0.6132235105228585,,book_quantile,0.02424642877034953,0.5
