symbol,underlying,overlay_type,net_notional_usd,gross_notional_usd,n_legs
UVIX,SVIX,volatility_etp_bucket5,20280.91603342,20280.91603342,1
SVIX,SVIX,volatility_etp_bucket5,-20743.03,20743.03,1
