symbol,target_net_usd,actual_net_usd,discrepancy_usd,abs_discrepancy_usd,target_gross_usd,actual_gross_usd,gross_gap_usd,under_exposed,discrepancy_blocker,purgatory,purgatory_no_locate,purgatory_borrow_band,purgatory_net_edge,purgatory_vol_ratio
CWY,-159316.94932781614,-31781.9,127535.04932781614,127535.04932781614,159316.94932781614,31781.9,-127535.04932781614,True,none,False,False,False,False,False
CRY,-113942.26782582737,-18028.7,95913.56782582737,95913.56782582737,113942.26782582737,18028.7,-95913.56782582737,True,none,False,False,False,False,False
HMYY,-131537.69568399707,-43813.375,87724.32068399707,87724.32068399707,131537.69568399707,43813.375,-87724.32068399707,True,none,False,False,False,False,False
QBY,-147070.48086961464,-72292.77,74777.71086961463,74777.71086961463,147070.48086961464,72292.77,-74777.71086961463,True,no_locate,True,True,False,False,False
CORD,-4718.989714089801,-56831.72,-52112.7302859102,52112.7302859102,4718.989714089801,56831.72,52112.7302859102,False,none,False,False,False,False,False
MUYY,-150069.35231037933,-113618.01419999999,36451.338110379336,36451.338110379336,150069.35231037933,113618.01419999999,-36451.338110379336,True,borrow_band,True,False,True,False,False
QBTZ,-5403.884265983433,-40745.88,-35341.995734016564,35341.995734016564,5403.884265983433,40745.88,35341.995734016564,False,none,False,False,False,False,False
IOYY,-121735.58853097854,-88034.76,33700.82853097854,33700.82853097854,121735.58853097854,88034.76,-33700.82853097854,True,none,False,False,False,False,False
RTYY,-72381.50341536509,-105285.1348,-32903.63138463491,32903.63138463491,72381.50341536509,105285.1348,32903.63138463491,False,none,False,False,False,False,False
MAAY,-120587.74796472356,-88177.11,32410.63796472356,32410.63796472356,120587.74796472356,88177.11,-32410.63796472356,True,none,False,False,False,False,False
LITZ,-6136.070299537932,-37559.88,-31423.809700462065,31423.809700462065,6136.070299537932,37559.88,31423.809700462065,False,none,False,False,False,False,False
SMYY,-124919.10659083274,-94692.3,30226.80659083274,30226.80659083274,124919.10659083274,94692.3,-30226.80659083274,True,none,False,False,False,False,False
SNDQ,-4717.55572061479,-34853.74,-30136.18427938521,30136.18427938521,4717.55572061479,34853.74,30136.18427938521,False,none,False,False,False,False,False
COYY,-61314.55561889044,-89613.40499999998,-28298.849381109547,28298.849381109547,61314.55561889044,89613.40499999998,28298.849381109547,False,borrow_band,True,False,True,False,False
NBIZ,-4997.133772633083,-30106.010000000002,-25108.87622736692,25108.87622736692,4997.133772633083,30106.010000000002,25108.87622736692,False,none,False,False,False,False,False
LITX,-7934.311184305764,-31601.13,-23666.818815694238,23666.818815694238,7934.311184305764,31601.13,23666.818815694238,False,none,False,False,False,False,False
ASTN,0.0,-21294.12,-21294.12,21294.12,0.0,21294.12,21294.12,False,no_locate,True,True,False,False,False
IREZ,0.0,-19163.254999999997,-19163.254999999997,19163.254999999997,0.0,19163.254999999997,19163.254999999997,False,none,False,False,False,False,False
POEL,-47202.37934252079,-29674.62,17527.759342520792,17527.759342520792,47202.37934252079,29674.62,-17527.759342520792,True,no_locate,True,True,False,False,False
FBYY,-66124.85365278058,-49293.7346,16831.11905278058,16831.11905278058,66124.85365278058,49293.7346,-16831.11905278058,True,no_locate,True,True,False,False,False
MTYY,-100587.00944786084,-112863.3,-12276.290552139166,12276.290552139166,100587.00944786084,112863.3,12276.290552139166,False,none,False,False,False,False,False
TMYY,-70179.50277008853,-58352.9183,11826.584470088528,11826.584470088528,70179.50277008853,58352.9183,-11826.584470088528,True,no_locate,True,True,False,False,False
AAOG,-32421.438041097208,-20668.2,11753.238041097207,11753.238041097207,32421.438041097208,20668.2,-11753.238041097207,True,none,False,False,False,False,False
SNXX,-11285.256946298134,-21300.08,-10014.823053701868,10014.823053701868,11285.256946298134,21300.08,10014.823053701868,False,none,False,False,False,False,False
AAOX,-34402.58113639618,-24554.34,9848.241136396176,9848.241136396176,34402.58113639618,24554.34,-9848.241136396176,True,none,False,False,False,False,False
BBYY,-44718.010268508704,-34960.32,9757.690268508704,9757.690268508704,44718.010268508704,34960.32,-9757.690268508704,True,none,False,False,False,False,False
IREG,-10088.2509954752,-19131.52,-9043.2690045248,9043.2690045248,10088.2509954752,19131.52,9043.2690045248,False,none,False,False,False,False,False
DUST,0.0,-8906.24,-8906.24,8906.24,0.0,8906.24,8906.24,False,borrow_band,True,False,True,False,False
NBIG,-8613.418607163096,-17314.64,-8701.221392836904,8701.221392836904,8613.418607163096,17314.64,8701.221392836904,False,none,False,False,False,False,False
AMZO,0.0,-8324.94,-8324.94,8324.94,0.0,8324.94,8324.94,False,none,False,False,False,False,False
ZSL,0.0,-8002.800000000001,-8002.800000000001,8002.800000000001,0.0,8002.800000000001,8002.800000000001,False,none,False,False,False,False,False
RKLZ,-6655.997369277387,-14262.01,-7606.012630722613,7606.012630722613,6655.997369277387,14262.01,7606.012630722613,False,none,False,False,False,False,False
RKLX,-4820.915358157734,-12410.12,-7589.204641842267,7589.204641842267,4820.915358157734,12410.12,7589.204641842267,False,none,False,False,False,False,False
BEX,-16937.61186843537,-9634.8,7302.811868435372,7302.811868435372,16937.61186843537,9634.8,-7302.811868435372,True,none,False,False,False,False,False
MSTZ,-4952.243400222624,-11224.289999999999,-6272.046599777375,6272.046599777375,4952.243400222624,11224.289999999999,6272.046599777375,False,none,False,False,False,False,False
SDS,0.0,-5305.36,-5305.36,5305.36,0.0,5305.36,5305.36,False,none,False,False,False,False,False
SNDU,-10745.459779814371,-5881.89,4863.569779814371,4863.569779814371,10745.459779814371,5881.89,-4863.569779814371,True,none,False,False,False,False,False
