symbol,target_net_usd,actual_net_usd,discrepancy_usd,abs_discrepancy_usd,target_gross_usd,actual_gross_usd,gross_gap_usd,under_exposed
IOYY,-312783.57141527283,-125157.645,187625.9264152728,187625.9264152728,312783.57141527283,125157.645,-187625.9264152728,True
RTYY,-303988.1929223619,-122617.78399999999,181370.4089223619,181370.4089223619,303988.1929223619,122617.78399999999,-181370.4089223619,True
MUYY,0.0,-168692.56999999998,-168692.56999999998,168692.56999999998,0.0,168692.56999999998,168692.56999999998,False
MTYY,0.0,-146946.8211,-146946.8211,146946.8211,0.0,146946.8211,146946.8211,False
SMYY,0.0,-118762.515,-118762.515,118762.515,0.0,118762.515,118762.515,False
XBTY,-258553.89149033837,-140100.9918,118452.89969033838,118452.89969033838,258553.89149033837,140100.9918,-118452.89969033838,True
MAAY,0.0,-114208.09950000001,-114208.09950000001,114208.09950000001,0.0,114208.09950000001,114208.09950000001,False
AMYY,0.0,-105788.87490000001,-105788.87490000001,105788.87490000001,0.0,105788.87490000001,105788.87490000001,False
COYY,-280861.30801123445,-201287.43,79573.87801123445,79573.87801123445,280861.30801123445,201287.43,-79573.87801123445,True
HOYY,0.0,-78833.0754,-78833.0754,78833.0754,0.0,78833.0754,78833.0754,False
QBY,0.0,-69290.742,-69290.742,69290.742,0.0,69290.742,69290.742,False
TMYY,0.0,-59547.079999999994,-59547.079999999994,59547.079999999994,0.0,59547.079999999994,59547.079999999994,False
FBYY,0.0,-57533.736,-57533.736,57533.736,0.0,57533.736,57533.736,False
BBYY,0.0,-45210.54,-45210.54,45210.54,0.0,45210.54,45210.54,False
HMYY,0.0,-37345.26,-37345.26,37345.26,0.0,37345.26,37345.26,False
LITX,-9701.872220987483,-40950.6,-31248.727779012515,31248.727779012515,9701.872220987483,40950.6,31248.727779012515,False
CRY,0.0,-27860.196,-27860.196,27860.196,0.0,27860.196,27860.196,False
CWY,0.0,-27662.100000000002,-27662.100000000002,27662.100000000002,0.0,27662.100000000002,27662.100000000002,False
CORD,-15571.22143079756,-36865.509999999995,-21294.288569202436,21294.288569202436,15571.22143079756,36865.509999999995,21294.288569202436,False
NBIG,-5533.602150693042,-25261.86,-19728.25784930696,19728.25784930696,5533.602150693042,25261.86,19728.25784930696,False
LITZ,-13454.106772308289,-32178.6,-18724.49322769171,18724.49322769171,13454.106772308289,32178.6,18724.49322769171,False
ASTX,-16922.799810493954,-34632.21000000001,-17709.410189506052,17709.410189506052,16922.799810493954,34632.21000000001,17709.410189506052,False
ASTN,0.0,-17661.0,-17661.0,17661.0,0.0,17661.0,17661.0,False
SNXX,-6698.161215129916,-20914.5,-14216.338784870084,14216.338784870084,6698.161215129916,20914.5,14216.338784870084,False
CRMX,0.0,-13957.619999999999,-13957.619999999999,13957.619999999999,0.0,13957.619999999999,13957.619999999999,False
IREG,-7677.518611775814,-20427.9035,-12750.384888224187,12750.384888224187,7677.518611775814,20427.9035,12750.384888224187,False
IREZ,0.0,-12427.130000000001,-12427.130000000001,12427.130000000001,0.0,12427.130000000001,12427.130000000001,False
MSTZ,-5938.075100210093,-16777.739999999998,-10839.664899789905,10839.664899789905,5938.075100210093,16777.739999999998,10839.664899789905,False
SNDQ,-10699.797476222628,-21304.460000000003,-10604.662523777375,10604.662523777375,10699.797476222628,21304.460000000003,10604.662523777375,False
NBIZ,-9588.200105903568,-19882.962,-10294.761894096431,10294.761894096431,9588.200105903568,19882.962,10294.761894096431,False
AMZO,0.0,-9790.17,-9790.17,9790.17,0.0,9790.17,9790.17,False
CRMU,-39970.65956266394,-48469.9446,-8499.285037336063,8499.285037336063,39970.65956266394,48469.9446,8499.285037336063,False
RKLZ,0.0,-8064.11,-8064.11,8064.11,0.0,8064.11,8064.11,False
RKLX,-4540.890024748151,-12588.0,-8047.109975251849,8047.109975251849,4540.890024748151,12588.0,8047.109975251849,False
DUST,0.0,-7828.48,-7828.48,7828.48,0.0,7828.48,7828.48,False
QBTZ,-7437.419718929224,-14980.68,-7543.260281070777,7543.260281070777,7437.419718929224,14980.68,7543.260281070777,False
ZSL,0.0,-7284.42,-7284.42,7284.42,0.0,7284.42,7284.42,False
RGTZ,0.0,-6983.7300000000005,-6983.7300000000005,6983.7300000000005,0.0,6983.7300000000005,6983.7300000000005,False
RGTX,-7303.975231149378,-13252.650000000001,-5948.674768850624,5948.674768850624,7303.975231149378,13252.650000000001,5948.674768850624,False
AXTX,-56151.091921496845,-62012.77,-5861.6780785031515,5861.6780785031515,56151.091921496845,62012.77,5861.6780785031515,False
SDS,0.0,-5578.900000000001,-5578.900000000001,5578.900000000001,0.0,5578.900000000001,5578.900000000001,False
USGG,0.0,-4978.7976,-4978.7976,4978.7976,0.0,4978.7976,4978.7976,False
CONI,-3311.737204441162,-8164.6971,-4852.959895558839,4852.959895558839,3311.737204441162,8164.6971,4852.959895558839,False
