date,plan_date,n_pairs,turnover_step,turnover_usd,txn_cost_usd,target_planned_gross_usd,target_tradeable_gross_usd,deployed_gross_usd,untradeable_plan_gross_usd,blocked_pairs,n_added,n_exited,n_resize_candidates,n_resized,equity
2026-03-02,2026-02-28,26,2.1500000000000004,2257500.0000000005,5085.970671601369,2257500.0,2257500.0,2257500.0,0.0,1,26,0,0,0,1044914.0293283986
2026-03-06,2026-03-05,129,2.855824606107694,3002329.281998266,6629.842578057345,2243279.777183461,2182367.452064555,2295661.7233569333,60912.325118905865,3,113,11,15,12,1036756.100297971
2026-03-09,2026-03-06,130,0.036917546820722215,38274.49187441972,83.66364305913721,2244277.02354552,2184145.331791598,2450773.120598979,60131.69175392203,3,7,3,88,0,1043766.1147502059
2026-03-12,2026-03-11,129,0.0368333948940593,38426.93060528331,83.96852052086439,2242318.4832536355,2152272.175024788,2400757.412666292,90046.30822884757,3,13,10,93,0,1042854.8608997748
2026-03-13,2026-03-12,129,0.5410073571434354,564192.1521795721,1247.057528002502,2244352.0273835068,2137585.7789418995,2333140.437406189,106766.24844160723,1,12,13,91,41,1042637.606371303
2026-03-19,2026-03-18,128,0.03630828017957408,38034.50418730164,81.32589679180829,2253636.942729869,2231704.389684573,2323449.573303828,21932.55304529611,2,16,13,91,0,1048121.9032798915
2026-03-20,2026-03-18,136,0.528985450595413,554441.2372854353,1303.0344656728912,2249297.8376907306,2227407.5131204985,2289811.4161620424,21890.32457023207,2,16,12,92,46,1044882.0063207132
2026-03-27,2026-03-26,172,1.0449438569334155,1096788.508309742,2540.0391366399417,2247192.3320376365,2189512.5757937627,2349727.824930763,57679.75624387385,1,38,7,115,92,1042665.696694819
2026-04-02,2026-04-01,173,0.036694750043170805,38664.21340945247,83.45626232057833,2267128.8771906225,2239313.0940128965,2540294.091581651,27815.78317772597,1,32,4,156,0,1054395.0912682016
2026-04-06,2026-04-04,175,0.044697198681994475,47128.5068837345,99.23642586199371,2265800.2090366436,2198887.7394342357,2617169.2679819446,66912.46960240789,0,30,4,155,0,1053761.325916763
2026-04-08,2026-04-07,175,0.0972571165314999,102471.69799896609,217.67685432339692,2272526.490698362,2213512.050617116,2710096.8631712142,59014.44008124573,1,42,7,157,0,1056771.388586775
2026-04-10,2026-04-09,213,1.622714450466135,1719858.98468119,3926.692169227629,2277914.2324820776,2252187.8657909427,2307651.221500756,25726.36669113487,0,42,5,157,134,1055568.2996829015
2026-04-13,2026-04-11,213,0.05774059963522353,60949.14657962407,133.4610083280236,2275691.810895818,2215735.1937879445,2447606.2810891224,59956.61710787332,0,7,7,178,0,1058327.8463850755
2026-04-16,2026-04-15,213,0.07192558990386541,75649.70911814104,163.8880517390042,2257018.8982403595,2160603.4426734596,2733608.6909072436,96415.45556689985,0,7,8,183,0,1049612.343687963
2026-04-17,2026-04-16,217,0.6260283801722779,657087.1153278037,1460.8519774376302,2257980.710362419,2180047.029979834,2413182.3124105576,77933.68038258515,0,7,10,178,131,1048762.7342376409
2026-04-20,2026-04-18,223,0.06582741726911581,69037.34212295999,147.44938025998715,4180251.32259917,4083882.20800482,2508377.8763730396,96369.11459434964,1,44,9,191,0,1047534.5863588804
2026-04-21,2026-04-20,228,0.050249064155331834,52637.632634876376,115.71929653589874,4183241.4874849645,4090384.733706315,2493890.844751085,92856.7537786495,3,68,10,202,0,1048315.7312009488
2026-04-22,2026-04-21,230,0.027397369543678253,28721.093486163674,62.064381444726614,4170179.4865070404,4034696.269066131,2640739.6964468723,135483.21744090924,31,67,12,199,0,1045095.7016604199
2026-04-23,2026-04-22,222,0.10549123929650459,110248.44075160772,242.78348543976392,2277162.724178558,2106677.16537274,2461256.2850767523,170485.5588058182,2,30,27,166,0,1058902.6696208662
2026-04-24,2026-04-23,247,3.1277510689318944,3311983.9568015006,7488.3905769829535,4085129.933084865,3931484.278810373,4136147.0621632147,153645.65427449206,3,45,29,184,156,1045380.148877879
2026-04-27,2026-04-26,253,0.09752247588905365,101948.06036383827,224.72235265581418,4202402.842893158,4174366.007582311,4243886.05137177,28036.835310847033,2,14,29,213,0,1050375.9883706337
2026-04-28,2026-04-27,252,0.013911961920037281,14612.790751933779,31.8383604527679,4218838.159855422,4191950.1029801294,4109320.218904079,26888.05687529221,36,6,31,214,0,1054677.7016034026
2026-04-29,2026-04-28,246,0.09035916611410097,95299.79763602007,204.9404985071583,4101359.1181257167,4022201.151705144,3950455.9117996646,79157.96642057272,3,11,13,197,0,1056846.3786060591
2026-04-30,2026-04-29,245,0.014317954246660288,15131.87809463017,34.94706910415992,4080187.2090290175,3998868.0921280803,4056607.528046103,81319.11690093717,5,10,8,192,0,1051559.69443322
2026-05-01,2026-04-30,252,0.6768858980600239,711785.9281301544,1628.265537833951,4133841.4618311147,4082203.4101295923,4063378.471478598,51638.05170152243,22,13,3,208,96,1063794.7916351338
2026-05-08,2026-05-07,245,3.4615249050214643,3707475.3212953913,8483.212857731793,4188035.8608828355,4188035.8608828355,4153011.373567678,0.0,1,5,25,213,185,1070907.4729368133
2026-05-11,2026-05-09,243,0.0516732046950065,55337.22105847608,130.24771043289226,4154908.705869209,4154908.705869209,4217894.009881232,0.0,2,3,14,201,2,1070722.5115342087
2026-05-12,2026-05-11,253,0.11073340194582151,118564.74624215704,257.8783080638076,4300666.704601878,4300666.704601878,4199016.484641981,0.0,2,16,13,223,0,1077603.4511660913
2026-05-13,2026-05-12,255,0.007088084896812477,7638.144746963373,17.257176005785496,4319057.365963123,4319057.365963124,4201760.723090995,0.0,1,8,12,229,1,1082453.260609238
2026-05-14,2026-05-13,253,0.005311581660747307,5749.538887668154,13.359061727870383,4364807.362632908,4364807.362632908,4309091.003221979,0.0,11,7,20,224,0,1093923.3233024096
2026-05-15,2026-05-14,260,3.3296977696823555,3642434.049803544,8103.8880875028235,4340638.527835392,4340638.527835392,4459315.929315404,0.0,8,8,17,226,193,1079775.4421970565
2026-05-18,2026-05-16,261,0.0018589428546533315,2007.2408429023596,5.221086856891136,4322734.554408167,4322734.554408167,4327727.259288103,0.0,58,3,24,173,0,1083386.8978124333
2026-05-19,2026-05-18,262,0.011613945729637762,12582.396635394212,31.66752374906664,4305154.976047967,4305154.976047968,4276374.008690158,0.0,27,2,28,178,1,1078954.5420120822
2026-05-22,2026-05-21,265,1.0623713493978377,1161671.4699897745,2582.161702537312,4389322.048720663,4389322.048720663,4111804.1316349423,0.0,104,6,20,193,85,1097498.5522625414
2026-05-26,2026-05-25,265,0.01990911039178471,21850.21983181884,57.519748598724284,4375955.32721458,4375955.32721458,4168029.5266134874,0.0,269,0,34,167,5,1096673.1387011707
2026-05-27,2026-05-26,265,0.03741232680779109,41029.0938664142,97.83298674595966,4417527.766541141,4417527.76654114,4239336.355563292,9.313225746154785e-10,36,0,25,184,3,1107051.9831889784
2026-05-28,2026-05-27,265,0.0020880175664076896,2311.5439878250572,4.723794709230451,4474631.292194068,4474631.292194068,4347043.54889914,0.0,18,1,26,180,1,1121456.7529456588
2026-05-29,2026-05-28,264,0.10581318030267993,118664.90560109697,257.9405092598092,4484809.424250891,4484809.4242508905,4340318.893825222,9.313225746154785e-10,125,1,32,184,46,1123754.4465210387
2026-06-01,2026-05-30,263,0.015179187848968044,17057.67983985596,35.60853119625898,4561731.11030688,4561731.1103068795,4403668.632156946,9.313225746154785e-10,99,5,34,180,0,1143255.3965582473
