ETF,Underlying,Leverage,Beta,Beta_n_obs,Beta_source
AAPU,AAPL,2.0,1.986685,500,ols
AMUU,AMD,2.0,2.007557,254,ols
AMZU,AMZN,2.0,1.988552,500,ols
ASMU,ASML,2.0,2.006724,39,ols
AVL,AVGO,2.0,1.986658,373,ols
BOEU,BA,2.0,1.993667,241,ols
BABU,BABA,2.0,2.032398,38,ols
BRKU,BRK-B,2.0,1.946181,330,ols
CONX,COIN,2.0,2.003156,95,ols
CSCL,CSCO,2.0,2.023769,198,ols
FRDU,F,2.0,1.982796,179,ols
GGLL,GOOGL,2.0,1.994667,500,ols
HODU,HOOD,2.0,2.007028,95,ols
LINT,INTC,2.0,1.990702,95,ols
ELIL,LLY,2.0,1.992978,259,ols
LMTL,LMT,2.0,1.998301,169,ols
METU,META,2.0,1.998322,460,ols
MRVU,MRVL,2.0,2.008428,38,ols
MSFU,MSFT,2.0,1.991788,500,ols
MUU,MU,2.0,1.994215,373,ols
NFXL,NFLX,2.0,1.995852,378,ols
NVDU,NVDA,2.0,1.9871,500,ols
ORCU,ORCL,2.0,2.003548,95,ols
PALU,PANW,2.0,2.00544,259,ols
PLTU,PLTR,2.0,1.991963,330,ols
QCMU,QCOM,2.0,2.00268,198,ols
SHPU,SHOP,2.0,2.011154,169,ols
SOFA,SOFI,2.0,1.983909,39,ols
TSLL,TSLA,2.0,1.993794,500,ols
TSMX,TSM,2.0,1.995669,378,ols
XOMX,XOM,2.0,1.98702,241,ols
YINN,FXI,2.0,2.973355,500,ols
MEXX,EWW,2.0,2.955094,500,ols
KORU,EWY,2.0,2.932291,500,ols
HIBL,SPY,2.0,4.469873,500,ols
LABU,XBI,2.0,2.987946,500,ols
SOXL,SOXX,2.0,2.96239,500,ols
CHAU,ASHR,2.0,1.966904,500,ols
CWEB,KWEB,2.0,1.988153,500,ols
ERX,XLE,2.0,1.986831,500,ols
NUGT,GDX,2.0,1.977138,500,ols
JNUG,GDXJ,2.0,1.975197,500,ols
GUSH,XOP,2.0,2.01019,500,ols
URAA,URA,2.0,1.927996,447,ols
MSTU,MSTR,2.0,1.966036,389,ols
NVDX,NVDA,2.0,1.997822,500,ols
TSLT,TSLA,2.0,1.992649,500,ols
BTCL,IBIT,2.0,2.006463,438,ols
ETU,ETHA,2.0,1.989873,363,ols
CCUP,CRCL,2.0,1.984929,166,ols
CRWU,CRWV,2.0,1.988794,176,ols
AAPX,AAPL,2.0,1.99469,500,ols
GOOX,GOOGL,2.0,1.978393,500,ols
MSFX,MSFT,2.0,2.007673,500,ols
NFLU,NFLX,2.0,1.991796,382,ols
ROBN,HOOD,2.0,2.011589,297,ols
DJTU,DJT,2.0,2.004967,276,ols
RBLU,RBLX,2.0,2.018423,276,ols
SNOU,SNOW,2.0,2.012339,240,ols
SMUP,SMR,2.0,1.979067,176,ols
GLXU,GLXY,2.0,2.010231,167,ols
AFRU,AFRM,2.0,1.954369,141,ols
KTUP,KTOS,2.0,2.029926,141,ols
TTDU,TTD,2.0,1.996582,140,ols
BMNU,BMNR,2.0,1.949249,133,ols
SBTU,SBET,2.0,2.023981,116,ols
CIFU,CIFR,2.0,1.987374,93,ols
SOLX,GSOL,2.0,1.971136,86,ols
XRPK,XRPZ,2.0,1.956786,86,ols
XRPT,XRPZ,2.0,2.016127,92,ols
CHNU,CHNL,2.0,2.013738,5,ols_short_history
CRDX,CRDD,2.0,2.007274,5,ols_short_history
STLU,STLR,2.0,1.205887,5,ols_short_history
GMEU,GME,2.0,1.965003,240,ols
APLX,APLD,2.0,1.994418,146,ols
APPX,APP,2.0,1.986837,239,ols
ARCX,ACHR,2.0,1.983024,208,ols
ASTX,ASTS,2.0,1.99003,187,ols
BEX,BE,2.0,1.975821,99,ols
CEGX,CEG,2.0,1.988365,187,ols
CLSX,CLSK,2.0,1.998611,141,ols
COZX,CORZ,2.0,2.036838,105,ols
CRDU,CRDO,2.0,1.990462,141,ols
CSEX,CLS,2.0,1.995424,99,ols
CWVX,CRWV,2.0,1.989337,187,ols
DOGD,DDOG,2.0,2.013083,165,ols
ENPX,ENPH,2.0,2.018296,141,ols
FLYT,FLY,2.0,1.991789,114,ols
GEVX,GEV,2.0,1.997479,187,ols
IREX,IREN,2.0,1.981843,114,ols
JOBX,JOBY,2.0,1.978841,146,ols
LABX,ALAB,2.0,1.9959,165,ols
LRCU,LRCX,2.0,2.036672,160,ols
MDBX,MDB,2.0,1.989293,160,ols
NEBX,NBIS,2.0,1.997882,146,ols
NNEX,NNE,2.0,1.989877,99,ols
NVTX,NVTS,2.0,1.996485,146,ols
OPEX,OPEN,2.0,1.994493,114,ols
PONX,PONY,2.0,2.006057,146,ols
QBTX,QBTS,2.0,1.991768,239,ols
QUBX,QUBT,2.0,1.962995,199,ols
RGTU,RGTI,2.0,1.986017,199,ols
SMU,SMR,2.0,1.984634,187,ols
SNPX,SNPS,2.0,1.920853,99,ols
SRPU,SRPT,2.0,1.965455,114,ols
TARK,ARKK,2.0,1.977706,500,ols
TEMT,TEM,2.0,1.985465,227,ols
