ETF,Underlying,Delta,Delta_n_obs,Delta_source,borrow_fee_annual,shares_available,borrow_current,borrow_spiking,borrow_missing_from_ftp,borrow_price_ref,borrow_current_raw_annual,borrow_floor_factor,protected,borrow_leq_low,borrow_gt_low,protected_ok,protected_bad,purgatory,include_for_algo,exclude_borrow_gt_low,exclude_no_shares,exclude_borrow_spike,vol_etf_annual,gross_decay_annual,vol_underlying_annual,expected_gross_decay_annual,blended_gross_decay,net_decay_annual,decay_score,maint_pct_long,maint_pct_short,init_pct_long,init_pct_short,net_edge_p50_annual,edge_used_for_prod_replay,borrow_annual,strategy_tag,long_usd,short_usd,underlying_target_usd,etf_target_usd,underlying_target_from_b12_usd,underlying_target_from_b4_usd,underlying_internalized_usd,underlying_external_trade_usd,sleeve,b1_trend_xsec_pctile,b1_trend_multiplier,optimal_gross_target_usd,optimal_long_usd,optimal_short_usd,optimal_underlying_target_usd,optimal_etf_target_usd,model_gross_target_usd,model_long_usd,model_short_usd,execution_policy,purgatory_reason,gross_target_usd,pair_override_gross_mult,pair_override_hedge_add,pair_override_note,ratchet_released,ratchet_trim_lambda,ratchet_trim_usd,optimal_binding_cap,binding_cap,liquidity_gap_usd,executable_pct_of_optimal,reduce_only,keep_open,hard_exit,_plan_date
AMUU,AMD,2.00739,250,ols,0.049134,60000,0.049134,False,False,48.5099983215332,0.049134,1.0,False,True,False,False,False,False,True,False,False,False,1.293411,0.497616,0.561633,0.318937,0.496198,0.448482,0.4470639999999999,0.5018475,0.602217,0.5018475,0.602217,0.448482,net_decay_annual,0.049134,ETF_LS,7541.503589850222,-3756.870159685074,7541.503589850222,-3756.870159685074,20788.479572038064,0.0,-0.0,20788.479572038064,core_leveraged,0.5,1.0,11261.6924904901,7517.019371775833,-3744.6731187142673,7517.019371775833,-3744.6731187142673,11261.6924904901,7517.019371775833,-3744.6731187142673,normal,,11298.373749535296,1.0,0.0,,False,0.0,0.0,haircut,haircut,-36.681259045197294,1.0032571710758549,False,False,False,2026-04-04
AMZU,AMZN,1.988277,501,ols,0.04958,25000,0.04958,False,False,27.200000762939453,0.04958,1.0,False,True,False,False,False,False,True,False,False,False,0.636507,0.210614,0.319988,0.100599,0.210614,0.161034,0.161034,0.49706925,0.5964831,0.5,0.5964831,0.161034,net_decay_annual,0.04958,ETF_LS,1150.7293407851296,-578.7570548696834,1150.7293407851296,-578.7570548696834,2348.795254954053,0.0,-0.0,2348.795254954053,core_leveraged,0.5,1.0,1723.87145142474,1146.993387100469,-576.8780643242711,1146.993387100469,-576.8780643242711,1723.87145142474,1146.993387100469,-576.8780643242711,normal,,1729.4863956548131,1.0,0.0,,False,0.0,0.0,haircut,haircut,-5.614944230072979,1.003257171075855,False,False,False,2026-04-04
ASMU,ASML,1.99462,35,ols,0.057016,25000,0.057016,False,False,20.61000061035156,0.057016,1.0,False,True,False,False,False,False,True,False,False,False,0.898666,0.339613,0.438057,0.190348,0.211079,0.282597,0.154063,0.498655,0.598386,0.5,0.598386,0.282597,net_decay_annual,0.057016,ETF_LS,3231.273776590182,-1619.994673968065,3231.273776590182,-1619.994673968065,4593.325710657423,0.0,-0.0,4593.325710657423,core_leveraged,0.5,1.0,4835.518340084158,3220.783134921514,-1614.7352051626442,3220.783134921514,-1614.7352051626442,4835.518340084158,3220.783134921514,-1614.7352051626442,normal,,4851.268450558247,1.0,0.0,,False,0.0,0.0,haircut,haircut,-15.750110474088617,1.003257171075855,False,False,False,2026-04-04
AVL,AVGO,1.98685,369,ols,0.05229,150000,0.05229,False,False,33.939998626708984,0.05229,1.0,False,True,False,False,False,False,True,False,False,False,1.073003,0.377809,0.535931,0.281581,0.377809,0.325519,0.325519,0.4967125,0.596055,0.5,0.596055,0.325519,net_decay_annual,0.05229,ETF_LS,4224.03716060531,-2125.9970106476635,4224.03716060531,-2125.9970106476635,8760.900728671286,0.0,-0.0,8760.900728671286,core_leveraged,0.5,1.0,6329.418173451418,4210.323416951621,-2119.094756499797,4210.323416951621,-2119.094756499797,6329.418173451418,4210.323416951621,-2119.094756499797,normal,,6350.034171252974,1.0,0.0,,False,0.0,0.0,haircut,haircut,-20.61599780155666,1.0032571710758549,False,False,False,2026-04-04
BOEU,BA,1.993382,237,ols,0.05177,10000,0.05177,False,False,33.249000549316406,0.05177,1.0,False,True,False,False,False,False,True,False,False,False,0.602165,0.194693,0.353718,0.123877,0.190478,0.142923,0.138708,0.4983455,0.5980146,0.5,0.5980146,0.142923,net_decay_annual,0.05177,ETF_LS,909.001932788236,-456.0099031636866,909.001932788236,-456.0099031636866,909.001932788236,0.0,-0.0,909.001932788236,core_leveraged,0.5,1.0,1360.5801934992755,906.0507704255496,-454.5294230737258,906.0507704255496,-454.5294230737258,1360.5801934992755,906.0507704255496,-454.5294230737258,normal,,1365.0118359519226,1.0,0.0,,False,0.0,0.0,haircut,haircut,-4.431642452647111,1.003257171075855,False,False,False,2026-04-04
BABU,BABA,2.026944,34,ols,0.049821,20000,0.049821,False,False,12.81999969482422,0.049821,1.0,False,True,False,False,False,False,True,False,False,False,0.706334,0.235103,0.444906,0.206013,0.209938,0.185282,0.160117,0.506736,0.6080831999999999,0.506736,0.6080831999999999,0.185282,net_decay_annual,0.049821,ETF_LS,1486.1672864582645,-733.2058934328055,1486.1672864582645,-733.2058934328055,4631.84193438615,0.0,-0.0,4631.84193438615,core_leveraged,0.5,1.0,2212.167771012389,1481.3423011614807,-730.8254698509089,1481.3423011614807,-730.8254698509089,2212.167771012389,1481.3423011614807,-730.8254698509089,normal,,2219.37317989107,1.0,0.0,,False,0.0,0.0,haircut,haircut,-7.205408878680373,1.003257171075855,False,False,False,2026-04-04
CONX,COIN,2.002905,91,ols,0.120007,35000,0.120007,False,False,8.118000030517578,0.120007,1.0,False,True,False,False,False,False,True,False,False,False,1.535905,0.710397,0.793345,0.632142,0.660401,0.59039,0.540394,0.50072625,0.6008715,0.50072625,0.6008715,0.59039,net_decay_annual,0.120007,ETF_LS,11702.313846316829,-5842.670444338012,11702.313846316829,-5842.670444338012,50328.199383637824,0.0,-0.0,50328.199383637824,core_leveraged,0.5,1.0,17488.022808588805,11664.321156825328,-5823.7016517634775,11664.321156825328,-5823.7016517634775,17488.022808588805,11664.321156825328,-5823.7016517634775,normal,,17544.984290654837,1.0,0.0,,False,0.0,0.0,haircut,haircut,-56.96148206603175,1.003257171075855,False,False,False,2026-04-04
FRDU,F,1.984709,175,ols,0.1030219999999999,10000,0.1030219999999999,False,False,24.42099952697754,0.1030219999999999,1.0,False,True,False,False,False,False,True,False,False,False,0.619758,0.206234,0.344266,0.115815,0.178606,0.103212,0.075584,0.49617725,0.5954127,0.5,0.5954127,0.103212,net_decay_annual,0.1030219999999999,ETF_LS,368.0577320366232,-185.4466987536325,368.0577320366232,-185.4466987536325,368.0577320366232,0.0,-0.0,368.0577320366232,core_leveraged,0.5,1.0,551.707425322162,366.8627971449554,-184.84462817720652,366.8627971449554,-184.84462817720652,551.707425322162,366.8627971449554,-184.84462817720652,normal,,553.5044307902558,1.0,0.0,,False,0.0,0.0,haircut,haircut,-1.7970054680938574,1.003257171075855,False,False,False,2026-04-04
GGLL,GOOGL,1.994625,501,ols,0.046714,35000,0.046714,False,False,82.44999694824219,0.046714,1.0,False,True,False,False,False,False,True,False,False,False,0.600832,0.191625,0.301107,0.089936,0.191625,0.1449109999999999,0.1449109999999999,0.49865625,0.5983875,0.5,0.5983875,0.1449109999999999,net_decay_annual,0.046714,ETF_LS,948.9277329924504,-475.7424242614276,948.9277329924504,-475.7424242614276,2561.73610612972,0.0,-0.0,2561.73610612972,core_leveraged,0.5,1.0,1420.0448283126807,945.8469476723066,-474.1978806403742,945.8469476723066,-474.1978806403742,1420.0448283126807,945.8469476723066,-474.1978806403742,normal,,1424.670157253878,1.0,0.0,,False,0.0,0.0,haircut,haircut,-4.625328941197267,1.0032571710758549,False,False,False,2026-04-04
HODU,HOOD,2.006388,91,ols,0.098088,15000,0.098088,False,False,6.949999809265137,0.098088,1.0,False,True,False,False,False,False,True,False,False,False,1.41349,0.644703,0.706668,0.504175,0.554921,0.5466150000000001,0.456833,0.501597,0.6019163999999999,0.501597,0.6019163999999999,0.5466150000000001,net_decay_annual,0.098088,ETF_LS,10331.418047505931,-5149.262280030549,10331.418047505931,-5149.262280030549,34098.909844830574,0.0,-0.0,34098.909844830574,core_leveraged,0.5,1.0,15430.420807195016,10297.876103319462,-5132.544703875553,10297.876103319462,-5132.544703875553,15430.420807195016,10297.876103319462,-5132.544703875553,normal,,15480.680327536482,1.0,0.0,,False,0.0,0.0,haircut,haircut,-50.25952034146576,1.0032571710758549,False,False,False,2026-04-04
LINT,INTC,1.990525,91,ols,0.148511,35000,0.148511,False,False,42.16999816894531,0.148511,1.0,False,True,False,False,False,False,True,False,False,False,1.453035,0.621603,0.627066,0.387641,0.472127,0.473092,0.323616,0.49763125,0.5971575,0.5,0.5971575,0.473092,net_decay_annual,0.148511,ETF_LS,7560.943075090207,-3798.46677388639,7560.943075090207,-3798.46677388639,16613.968176014736,0.0,-0.0,16613.968176014736,core_leveraged,0.5,1.0,11322.530430353365,7536.395744853874,-3786.1346854994895,7536.395744853874,-3786.1346854994895,11322.530430353365,7536.395744853874,-3786.1346854994895,normal,,11359.409848976598,1.0,0.0,,False,0.0,0.0,haircut,haircut,-36.87941862323351,1.0032571710758549,False,False,False,2026-04-04
ELIL,LLY,1.992757,255,ols,0.104637,9000,0.104637,False,False,19.979999542236328,0.104637,1.0,False,True,False,False,False,False,True,False,False,False,0.846058,0.283361,0.375159,0.139219,0.283361,0.178724,0.178724,0.49818925,0.5978271,0.5,0.5978271,0.178724,net_decay_annual,0.104637,ETF_LS,1203.3153152713971,-603.8444804215452,1203.3153152713971,-603.8444804215452,1203.3153152713971,0.0,-0.0,1203.3153152713971,core_leveraged,0.5,1.0,1801.292677285339,1199.4086361535872,-601.8840411317523,1199.4086361535872,-601.8840411317523,1801.292677285339,1199.4086361535872,-601.8840411317523,normal,,1807.1597956929425,1.0,0.0,,False,0.0,0.0,haircut,haircut,-5.8671184076031295,1.0032571710758549,False,False,False,2026-04-04
METU,META,1.998303,456,ols,0.070904,350000,0.070904,False,False,22.56999969482422,0.070904,1.0,False,True,False,False,False,False,True,False,False,False,0.720652,0.239508,0.360765,0.12982,0.239508,0.168604,0.168604,0.49957575,0.5994908999999999,0.5,0.5994908999999999,0.168604,net_decay_annual,0.070904,ETF_LS,1178.7660902039431,-589.8835613037378,1178.7660902039431,-589.8835613037378,3016.545560526192,0.0,-0.0,3016.545560526192,core_leveraged,0.5,1.0,1762.907559993863,1174.9391125107825,-587.9684474830807,1174.9391125107825,-587.9684474830807,1762.907559993863,1174.9391125107825,-587.9684474830807,normal,,1768.649651507681,1.0,0.0,,False,0.0,0.0,haircut,haircut,-5.742091513817968,1.0032571710758549,False,False,False,2026-04-04
MRVU,MRVL,2.009517,34,ols,0.183611,9000,0.183611,False,False,39.0,0.183611,1.0,False,True,False,False,False,False,True,False,False,False,1.543774,0.630946,0.642048,0.418129,0.446842,0.447335,0.263231,0.50237925,0.6028551000000001,0.50237925,0.6028551000000001,0.447335,net_decay_annual,0.183611,ETF_LS,6518.385410440534,-3243.757286174008,6518.385410440534,-3243.757286174008,13626.707515527933,0.0,-0.0,13626.707515527933,core_leveraged,0.5,1.0,9730.448959707895,6497.222844119283,-3233.2261155886126,6497.222844119283,-3233.2261155886126,9730.448959707895,6497.222844119283,-3233.2261155886126,normal,,9762.14269661454,1.0,0.0,,False,0.0,0.0,haircut,haircut,-31.693736906645427,1.003257171075855,False,False,False,2026-04-04
MSFU,MSFT,1.991565,501,ols,0.036151,350000,0.036151,False,False,23.38999938964844,0.036151,1.0,False,True,False,False,False,False,True,False,False,False,0.48181,0.162392,0.241697,0.05768,0.162392,0.126241,0.126241,0.49789125,0.5974695,0.5,0.5974695,0.126241,net_decay_annual,0.036151,ETF_LS,758.729611909379,-380.9715534814977,758.729611909379,-380.9715534814977,2064.0615143992136,0.0,-0.0,2064.0615143992136,core_leveraged,0.5,1.0,1136.0010157402655,756.2663231160819,-379.7346926241835,756.2663231160819,-379.7346926241835,1136.0010157402655,756.2663231160819,-379.7346926241835,normal,,1139.701165390877,1.0,0.0,,False,0.0,0.0,haircut,haircut,-3.700149650611138,1.003257171075855,False,False,False,2026-04-04
MUU,MU,1.994272,369,ols,0.036489,100000,0.036489,False,False,140.42999267578125,0.036489,1.0,False,True,False,False,False,False,True,False,False,False,1.275161,0.520702,0.610565,0.369593,0.520702,0.484213,0.484213,0.498568,0.5982816,0.5,0.5982816,0.484213,net_decay_annual,0.036489,ETF_LS,8781.249469892387,-4403.23560170949,8781.249469892387,-4403.23560170949,18224.320540753062,0.0,-0.0,18224.320540753062,core_leveraged,0.5,1.0,13141.68037041124,8752.74029736135,-4388.94007304989,8752.74029736135,-4388.94007304989,13141.68037041124,8752.74029736135,-4388.94007304989,normal,,13184.485071601875,1.0,0.0,,False,0.0,0.0,haircut,haircut,-42.80470119063648,1.003257171075855,False,False,False,2026-04-04
NFXL,NFLX,1.99609,374,ols,0.1153749999999999,100000,0.1153749999999999,False,False,31.520000457763672,0.1153749999999999,1.0,False,True,False,False,False,False,True,False,False,False,0.696965,0.231392,0.33063,0.108676,0.231392,0.116017,0.116017,0.4990225,0.598827,0.5,0.598827,0.116017,net_decay_annual,0.1153749999999999,ETF_LS,451.5473535814916,-226.21592893180755,451.5473535814916,-226.21592893180755,2148.46270676826,0.0,-0.0,2148.46270676826,core_leveraged,0.5,1.0,675.5628587099872,450.0813615887434,-225.4814971212437,450.0813615887434,-225.4814971212437,675.5628587099872,450.0813615887434,-225.4814971212437,normal,,677.7632825132991,1.0,0.0,,False,0.0,0.0,haircut,haircut,-2.200423803311992,1.0032571710758549,False,False,False,2026-04-04
NVDU,NVDA,1.987254,501,ols,0.048509,20000,0.048509,False,False,99.75499725341795,0.048509,1.0,False,True,False,False,False,False,True,False,False,False,0.984242,0.356868,0.495014,0.240374,0.356868,0.308359,0.308359,0.4968135,0.5961762,0.5,0.5961762,0.308359,net_decay_annual,0.048509,ETF_LS,3847.5915444041607,-1936.1347590213236,3847.5915444041607,-1936.1347590213236,17594.93209521507,0.0,-0.0,17594.93209521507,core_leveraged,0.5,1.0,5764.948878684051,3835.099967716302,-1929.848910967749,3835.099967716302,-1929.848910967749,5764.948878684051,3835.099967716302,-1929.848910967749,normal,,5783.726303425484,1.0,0.0,,False,0.0,0.0,haircut,haircut,-18.777424741432696,1.003257171075855,False,False,False,2026-04-04
