ETF,Underlying,Delta,Delta_n_obs,Delta_source,borrow_fee_annual,borrow_rebate_annual,borrow_net_annual,shares_available,borrow_current,borrow_spiking,borrow_missing_from_ftp,protected,borrow_leq_low,borrow_gt_low,protected_ok,protected_bad,include_for_algo,purgatory,exclude_borrow_gt_low,exclude_no_shares,exclude_borrow_spike,vol_etf_annual,gross_decay_annual,vol_underlying_annual,expected_gross_decay_annual,blended_gross_decay,net_decay_annual,decay_score,maint_pct_long,maint_pct_short,init_pct_long,init_pct_short,net_edge_p50_annual,edge_used_for_prod_replay,borrow_annual,strategy_tag,long_usd,short_usd,underlying_target_usd,etf_target_usd,underlying_target_from_b12_usd,underlying_target_from_b4_usd,underlying_internalized_usd,underlying_external_trade_usd,sleeve,b1_trend_xsec_pctile,b1_trend_multiplier,gross_target_usd,wrapper_utility,shared_underlying_group_size,shared_underlying_wrapper_rank,shared_underlying_group_score,shared_underlying_weight_pre_caps,shared_underlying_allocation_reason,shared_underlying_incumbent,shared_underlying_switch_blocked,shared_underlying_capacity_usd,shared_underlying_capacity_binding,pair_override_gross_mult,pair_override_hedge_add,pair_override_note,ratchet_released,ratchet_trim_lambda,ratchet_trim_usd,optimal_gross_target_usd,optimal_long_usd,optimal_short_usd,optimal_underlying_target_usd,optimal_etf_target_usd,optimal_binding_cap,binding_cap,liquidity_gap_usd,executable_pct_of_optimal,execution_policy,reduce_only,keep_open,hard_exit,model_gross_target_usd,model_long_usd,model_short_usd,_plan_date
AMUU,AMD,2.007541,233,ols,0.024663,0.011637,0.013026,30000,0.013026,False,False,False,True,False,False,False,True,False,False,False,False,1.308774,0.49869,0.557124,0.313907,0.484758,0.485664,0.471732,0.50188525,0.6022622999999999,0.50188525,0.6022622999999999,0.485664,net_decay_annual,0.013026,ETF_LS,30840.16457343205,-15362.159265206565,30840.16457343205,-15362.159265206565,30840.16457343205,0.0,-0.0,30840.16457343205,core_leveraged,0.5,1.0,46202.323838638615,0.2879636002840776,3.0,1.0,0.1131985309479845,0.0098617553550989,primary,AMUU,False,421650.0,pair_cap,1.0,0.0,,False,0.0,0.0,69846.2446909474,46622.539780208885,-23223.704910738503,46622.539780208885,-23223.704910738503,haircut,haircut,23643.92085230878,0.6614861549546813,normal,False,False,False,69846.2446909474,46622.539780208885,-23223.704910738503,2026-03-11
AMZU,AMZN,1.983479,500,ols,0.039498,-0.003198,0.042696,400000,0.042696,False,False,False,True,False,False,False,True,False,False,False,False,0.627962,0.21487,0.316364,0.09762,0.21487,0.172174,0.172174,0.49586975,0.5950437,0.5,0.5950437,0.172174,net_decay_annual,0.042696,ETF_LS,5082.73143601091,-2562.533526198619,5082.73143601091,-2562.533526198619,5082.73143601091,0.0,-0.0,5082.73143601091,core_leveraged,0.5,1.0,7645.264962209529,0.1030141454423422,2.0,1.0,0.0187313686959282,0.0016318601840361,primary,AMZU,False,421650.0,pair_cap,1.0,0.0,,False,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,haircut,haircut,-7645.264962209529,1.0,normal,False,False,False,0.0,0.0,-0.0,2026-03-11
AVL,AVGO,1.987303,352,ols,0.055269,-0.018969,0.074238,250000,0.074238,False,False,False,True,False,False,False,True,False,False,False,False,1.084437,0.379384,0.534245,0.280005,0.379384,0.305146,0.305146,0.49682575,0.5961909,0.5,0.5961909,0.305146,net_decay_annual,0.074238,ETF_LS,13810.985487939386,-6949.612358024613,13810.985487939386,-6949.612358024613,13810.985487939386,0.0,-0.0,13810.985487939386,core_leveraged,0.5,1.0,20760.597845964,0.1823096323593484,3.0,1.0,0.0508647397471309,0.0044312908956166,primary,AVL,False,421650.0,pair_cap,1.0,0.0,,False,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,haircut,haircut,-20760.597845964,1.0,normal,False,False,False,0.0,0.0,-0.0,2026-03-11
BOEU,BA,1.992655,220,ols,0.042654,-0.0063539999999999,0.0490079999999999,25000,0.0490079999999999,False,False,False,True,False,False,False,True,False,False,False,False,0.580863,0.190572,0.34983,0.121036,0.181742,0.141564,0.132734,0.49816375,0.5977965,0.5,0.5977965,0.141564,net_decay_annual,0.0490079999999999,ETF_LS,3592.206421973485,-1802.723713825768,3592.206421973485,-1802.723713825768,3592.206421973485,0.0,-0.0,3592.206421973485,core_leveraged,0.5,1.0,5394.930135799252,0.084407053582821,1.0,1.0,0.0132179101655653,0.0011515325796796,primary,BOEU,False,,,1.0,0.0,,False,0.0,0.0,2981.1582645919084,1984.999915369593,-996.1583492223156,1984.999915369593,-996.1583492223156,haircut,haircut,-2413.771871207344,1.8096758564871984,normal,False,False,False,2981.1582645919084,1984.999915369593,-996.1583492223156,2026-03-11
CSCL,CSCO,2.026613,177,ols,0.06232,-0.0260199999999999,0.08834,15000,0.08834,False,False,False,True,False,False,False,True,False,False,False,False,0.536046,0.196479,0.235761,0.057822,0.155212,0.1081389999999999,0.0668719999999999,0.50665325,0.6079839,0.50665325,0.6079839,0.1081389999999999,net_decay_annual,0.08834,ETF_LS,2205.3085662389008,-1088.1744892778745,2205.3085662389008,-1088.1744892778745,2205.3085662389008,0.0,-0.0,2205.3085662389008,core_leveraged,0.5,1.0,3293.4830555167746,0.0636655112696606,1.0,1.0,0.0080692357572454,0.0007029846436535,primary,CSCL,False,,,1.0,0.0,,False,0.0,0.0,1443.319263143312,966.4432095668186,-476.8760535764936,966.4432095668186,-476.8760535764936,haircut,haircut,-1850.1637923734625,2.0,normal,False,False,False,1443.319263143312,966.4432095668186,-476.8760535764936,2026-03-11
GGLL,GOOGL,1.981702,500,ols,0.036703,-0.000403,0.037106,450000,0.037106,False,False,False,True,False,False,False,True,False,False,False,False,0.590969,0.205969,0.297875,0.086309,0.205969,0.168863,0.168863,0.4954255,0.5945106,0.5,0.5945106,0.168863,net_decay_annual,0.037106,ETF_LS,4917.220515198548,-2481.3117790659485,4917.220515198548,-2481.3117790659485,4917.220515198548,0.0,-0.0,4917.220515198548,core_leveraged,0.5,1.0,7398.532294264497,0.1011010671854059,2.0,1.0,0.0181268585062287,0.0015791957938664,primary,GGLL,False,421650.0,pair_cap,1.0,0.0,,False,0.0,0.0,6679.565280362491,4439.379882773298,-2240.1853975891927,4439.379882773298,-2240.1853975891927,haircut,haircut,-718.9670139020063,1.107636797265194,normal,False,False,False,6679.565280362491,4439.379882773298,-2240.1853975891927,2026-03-11
LINT,INTC,1.987356,74,ols,0.217129,-0.180829,0.397958,35000,0.397958,False,False,False,False,True,False,False,False,True,True,False,False,1.452014,0.603032,0.617929,0.374625,0.441697,0.2050739999999999,0.0437389999999999,0.496839,0.5962067999999999,0.5,0.5962067999999999,0.2050739999999999,net_decay_annual,0.397958,ETF_LS,0.0,0.0,0.0,0.0,32914.31408178518,0.0,-0.0,32914.31408178518,core_leveraged,,,0.0,,,,,,,,,,,,,,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none,none,0.0,1.0,reduce_only,True,False,False,0.0,0.0,0.0,2026-03-11
ELIL,LLY,1.992322,238,ols,0.091995,-0.0556949999999999,0.14769,15000,0.14769,False,False,False,True,False,False,False,True,False,False,False,False,0.853413,0.282741,0.370718,0.135853,0.274581,0.135051,0.126891,0.4980805,0.5976965999999999,0.5,0.5976965999999999,0.135051,net_decay_annual,0.14769,ETF_LS,3308.537090599919,-1660.6437566818613,3308.537090599919,-1660.6437566818613,3308.537090599919,0.0,-0.0,3308.537090599919,core_leveraged,0.5,1.0,4969.18084728178,0.0805337934191315,1.0,1.0,0.0121747982610506,0.0010606575981391,primary,ELIL,False,,,1.0,0.0,,False,0.0,0.0,1839.556154316357,1224.797396964589,-614.758757351768,1224.797396964589,-614.758757351768,haircut,haircut,-3129.6246929654235,2.0,normal,False,False,False,1839.556154316357,1224.797396964589,-614.758757351768,2026-03-11
MSFU,MSFT,1.981549,500,ols,0.034892,0.001408,0.033484,1400000,0.033484,False,False,False,True,False,False,False,True,False,False,False,False,0.476947,0.16326,0.240322,0.056166,0.16326,0.129776,0.129776,0.49538725,0.5944647,0.5,0.5944647,0.129776,net_decay_annual,0.033484,ETF_LS,3102.110366384149,-1565.4976820578995,3102.110366384149,-1565.4976820578995,3102.110366384149,0.0,-0.0,3102.110366384149,core_leveraged,0.5,1.0,4667.608048442049,0.0777035341399142,1.0,1.0,0.0114359263826197,0.0009962877371274,primary,MSFU,False,,,1.0,0.0,,False,0.0,0.0,2680.720641444373,1781.617309101228,-899.1033323431456,1781.617309101228,-899.1033323431456,haircut,haircut,-1986.8874069976755,1.7411765986653274,normal,False,False,False,2680.720641444373,1781.617309101228,-899.1033323431456,2026-03-11
MUU,MU,1.993879,352,ols,0.028092,0.008208,0.019884,200000,0.019884,False,False,False,True,False,False,False,True,False,False,False,False,1.258843,0.506066,0.6069,0.364953,0.506066,0.486182,0.486182,0.49846975,0.5981637,0.5,0.5981637,0.486182,net_decay_annual,0.019884,ETF_LS,31105.052808370285,-15600.27103368373,31105.052808370285,-15600.27103368373,31105.052808370285,0.0,-0.0,31105.052808370285,core_leveraged,0.5,1.0,46705.323842054015,0.2897508885011647,2.0,1.0,0.1144309118483979,0.0099691192832559,primary,MUU,False,421650.0,pair_cap,1.0,0.0,,False,0.0,0.0,51992.95173583862,34626.53454401536,-17366.417191823257,34626.53454401536,-17366.417191823257,haircut,haircut,5287.627893784607,0.8983010635624317,normal,False,False,False,51992.95173583862,34626.53454401536,-17366.417191823257,2026-03-11
