ETF,Underlying,Delta,Delta_n_obs,Delta_source,borrow_fee_annual,borrow_rebate_annual,borrow_net_annual,shares_available,borrow_current,borrow_spiking,borrow_missing_from_ftp,protected,borrow_leq_low,borrow_gt_low,protected_ok,protected_bad,purgatory,include_for_algo,exclude_borrow_gt_low,exclude_no_shares,exclude_borrow_spike,vol_etf_annual,gross_decay_annual,vol_underlying_annual,expected_gross_decay_annual,blended_gross_decay,net_decay_annual,decay_score,maint_pct_long,maint_pct_short,init_pct_long,init_pct_short,net_edge_p50_annual,edge_used_for_prod_replay,borrow_annual,strategy_tag,long_usd,short_usd,underlying_target_usd,etf_target_usd,underlying_target_from_b12_usd,underlying_target_from_b4_usd,underlying_internalized_usd,underlying_external_trade_usd,sleeve,b1_trend_xsec_pctile,b1_trend_multiplier,gross_target_usd,wrapper_utility,shared_underlying_group_size,shared_underlying_wrapper_rank,shared_underlying_group_score,shared_underlying_weight_pre_caps,shared_underlying_allocation_reason,shared_underlying_incumbent,shared_underlying_switch_blocked,shared_underlying_capacity_usd,shared_underlying_capacity_binding,pair_override_gross_mult,pair_override_hedge_add,pair_override_note,ratchet_released,ratchet_trim_lambda,ratchet_trim_usd,optimal_gross_target_usd,optimal_long_usd,optimal_short_usd,optimal_underlying_target_usd,optimal_etf_target_usd,optimal_binding_cap,binding_cap,liquidity_gap_usd,executable_pct_of_optimal,execution_policy,reduce_only,keep_open,hard_exit,model_gross_target_usd,model_long_usd,model_short_usd,_plan_date
AMUU,AMD,2.007876,244,ols,0.058005,-0.021605,0.07961,45000,0.07961,False,False,False,True,False,False,False,False,True,False,False,False,1.292815,0.498029,0.558049,0.315107,0.492222,0.418419,0.412612,0.501969,0.6023628,0.501969,0.6023628,0.418419,net_decay_annual,0.07961,ETF_LS,20204.99289683606,-10062.8688708048,20204.99289683606,-10062.8688708048,20204.99289683606,0.0,-0.0,20204.99289683606,core_leveraged,0.5,1.0,30267.861767640858,0.2480611374126189,3.0,1.0,0.0974626657163752,0.0064605894914921,primary,AMUU,True,421650.0,pair_cap,1.0,0.0,,False,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,haircut,haircut,-30267.861767640858,1.0,normal,False,False,False,0.0,0.0,-0.0,2026-03-25
AMZU,AMZN,1.987911,500,ols,0.045073,-0.008673,0.053746,20000,0.053746,False,False,False,True,False,False,False,False,True,False,False,False,0.631845,0.211715,0.317678,0.099097,0.211715,0.1579689999999999,0.1579689999999999,0.49697775,0.5963733,0.5,0.5963733,0.1579689999999999,net_decay_annual,0.053746,ETF_LS,3319.154947147969,-1669.6697926355705,3319.154947147969,-1669.6697926355705,3319.154947147969,0.0,-0.0,3319.154947147969,core_leveraged,0.5,1.0,4988.824739783539,0.0943570090939659,2.0,1.0,0.0160640405213864,0.0010648505314372,primary,AMZU,False,421650.0,pair_cap,1.0,0.0,,False,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,haircut,haircut,-4988.824739783539,1.0,normal,False,False,False,0.0,0.0,-0.0,2026-03-25
ASMU,ASML,1.982672,29,ols_short_history,0.052956,-0.016556,0.069512,400,0.069512,False,False,False,True,False,False,False,False,True,False,True,False,0.817629,0.280421,0.434267,0.183714,0.194843,0.2109089999999999,0.1253309999999999,0.495668,0.5948015999999999,0.5,0.5948015999999999,0.2109089999999999,net_decay_annual,0.069512,ETF_LS,0.0,-0.0,0.0,-0.0,3379.8870446776136,0.0,-0.0,3379.8870446776136,core_leveraged,0.5,1.0,0.0,-inf,2.0,2.0,0.016366654985798,0.0010849101903269,not_selected,ASMU,False,421650.0,pair_cap,1.0,0.0,,False,0.0,0.0,6121.171537387138,4068.9272619900657,-2052.244275397073,4068.9272619900657,-2052.244275397073,haircut,haircut,6121.171537387138,0.0,normal,False,False,False,6121.171537387138,4068.9272619900657,-2052.244275397073,2026-03-25
AVL,AVGO,1.987481,363,ols,0.045099,-0.008699,0.053798,100000,0.053798,False,False,False,True,False,False,False,False,True,False,False,False,1.074969,0.378967,0.534161,0.279992,0.378967,0.325169,0.325169,0.49687025,0.5962443,0.5,0.5962443,0.325169,net_decay_annual,0.053798,ETF_LS,11743.826008692968,-5908.899762409284,11743.826008692968,-5908.899762409284,11743.826008692968,0.0,-0.0,11743.826008692968,core_leveraged,0.5,1.0,17652.725771102254,0.1942593343475386,2.0,1.0,0.0568418649463747,0.0037679243908435,primary,AVL,False,421650.0,pair_cap,1.0,0.0,,False,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,haircut,haircut,-17652.725771102254,1.0,normal,False,False,False,0.0,0.0,-0.0,2026-03-25
BOEU,BA,1.992081,231,ols,0.05301,-0.01661,0.06962,45000,0.06962,False,False,False,True,False,False,False,False,True,False,False,False,0.589612,0.199692,0.351012,0.12175,0.193197,0.130072,0.123577,0.49802025,0.5976243,0.5,0.5976243,0.130072,net_decay_annual,0.06962,ETF_LS,2357.536124097988,-1183.453947955925,2357.536124097988,-1183.453947955925,2357.536124097988,0.0,-0.0,2357.536124097988,core_leveraged,0.5,1.0,3540.9900720539126,0.0775717471327215,1.0,1.0,0.0114020056767456,0.0007558143163402,primary,BOEU,False,,,1.0,0.0,,False,0.0,0.0,1584.3776247722828,1054.8539839442828,-529.5236408279999,1054.8539839442828,-529.5236408279999,haircut,haircut,-1956.6124472816296,2.0,normal,False,False,False,1584.3776247722828,1054.8539839442828,-529.5236408279999,2026-03-25
FRDU,F,1.982872,169,ols,,,,0,0.0,False,True,False,False,False,False,False,False,True,False,True,False,0.622161,0.212763,0.345931,0.116611,0.181094,0.212763,0.181094,0.495718,1.0,0.5,1.0,0.212763,net_decay_annual,,ETF_LS,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,core_leveraged,0.5,1.0,0.0,-inf,1.0,,0.0,0.0,not_selected,,False,,,1.0,0.0,,False,0.0,0.0,4836.61859643259,3215.154921010852,-1621.4636754217377,3215.154921010852,-1621.4636754217377,haircut,haircut,4836.61859643259,0.0,normal,False,False,False,4836.61859643259,3215.154921010852,-1621.4636754217377,2026-03-25
HODU,HOOD,2.009173,85,ols,0.094027,-0.057627,0.151654,10000,0.151654,False,False,False,True,False,False,False,False,True,False,False,False,1.427367,0.661095,0.704941,0.5038,0.556856,0.509441,0.405202,0.50229325,0.6027519,0.50229325,0.6027519,0.509441,net_decay_annual,0.151654,ETF_LS,0.0,-0.0,0.0,-0.0,31843.72853001027,0.0,-0.0,31843.72853001027,core_leveraged,0.5,1.0,0.0,0.3018776039193431,3.0,2.0,0.1535045342838631,0.0101754838511881,not_selected,ROBN,False,421650.0,pair_cap,1.0,0.0,,False,0.0,0.0,56870.02467740689,37971.13628600936,-18898.888391397533,37971.13628600936,-18898.888391397533,haircut,haircut,56870.02467740689,0.0,normal,False,False,False,56870.02467740689,37971.13628600936,-18898.888391397533,2026-03-25
ELIL,LLY,1.99157,249,ols,0.0885249999999999,-0.052125,0.14065,15000,0.14065,False,False,False,True,False,False,False,False,True,False,False,False,0.845842,0.28471,0.373257,0.137564,0.282958,0.14406,0.142308,0.4978925,0.597471,0.5,0.597471,0.14406,net_decay_annual,0.14065,ETF_LS,2819.659313731163,-1415.79724224163,2819.659313731163,-1415.79724224163,2819.659313731163,0.0,-0.0,2819.659313731163,core_leveraged,0.5,1.0,4235.456555972793,0.0859303792813385,1.0,1.0,0.0136381912154867,0.0009040462232599,primary,ELIL,False,,,1.0,0.0,,False,0.0,0.0,1493.0671049326113,993.975622890536,-499.09148204207537,993.975622890536,-499.09148204207537,haircut,haircut,-2742.389451040181,2.0,normal,False,False,False,1493.0671049326113,993.975622890536,-499.09148204207537,2026-03-25
MRVU,MRVL,2.019626,28,ols_short_history,0.049509,-0.0131089999999999,0.062618,8000,0.062618,False,False,False,True,False,False,False,False,True,False,False,False,1.377038,0.510657,0.633327,0.412988,0.42384,0.448039,0.361222,0.5049065,0.6058878,0.5049065,0.6058878,0.448039,net_decay_annual,0.062618,ETF_LS,20257.964742370663,-10030.552558924606,20257.964742370663,-10030.552558924606,20257.964742370663,0.0,-0.0,20257.964742370663,core_leveraged,0.5,1.0,30288.517301295276,0.2644615898726269,2.0,1.0,0.0975291766376687,0.0064649983567332,primary,MVLL,False,421650.0,pair_cap,1.0,0.0,,False,0.0,0.0,25025.243915511983,16737.712971112913,-8287.530944399068,16737.712971112913,-8287.530944399068,haircut,haircut,-5263.27338578329,1.2103185648680463,normal,False,False,False,25025.243915511983,16737.712971112913,-8287.530944399068,2026-03-25
MSFU,MSFT,1.992366,500,ols,0.0362139999999999,0.000186,0.036028,150000,0.036028,False,False,False,True,False,False,False,False,True,False,False,False,0.478722,0.164885,0.240038,0.05696,0.164885,0.128857,0.128857,0.4980915,0.5977098,0.5,0.5977098,0.128857,net_decay_annual,0.036028,ETF_LS,2318.8087056561544,-1163.8467558953296,2318.8087056561544,-1163.8467558953296,2318.8087056561544,0.0,-0.0,2318.8087056561544,core_leveraged,0.5,1.0,3482.655461551484,0.0768389063087296,2.0,1.0,0.0112141679402468,0.0007433629587089,primary,MSFU,False,421650.0,pair_cap,1.0,0.0,,False,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,haircut,haircut,-3482.655461551484,1.0,normal,False,False,False,0.0,0.0,-0.0,2026-03-25
