ETF,Underlying,Delta,Delta_n_obs,Delta_source,borrow_fee_annual,shares_available,borrow_current,borrow_spiking,borrow_missing_from_ftp,borrow_price_ref,borrow_current_raw_annual,borrow_floor_factor,protected,borrow_leq_low,borrow_gt_low,protected_ok,protected_bad,purgatory,exclude_borrow_gt_low,exclude_no_shares,exclude_borrow_spike,vol_etf_annual,gross_decay_annual,vol_underlying_annual,expected_gross_decay_annual,blended_gross_decay,net_decay_annual,decay_score,maint_pct_long,maint_pct_short,init_pct_long,init_pct_short,net_edge_p50_annual,edge_used_for_prod_replay,borrow_annual,strategy_tag,long_usd,short_usd,underlying_target_usd,etf_target_usd,underlying_target_from_b12_usd,underlying_target_from_b4_usd,underlying_internalized_usd,underlying_external_trade_usd,sleeve,b1_trend_xsec_pctile,b1_trend_multiplier,gross_target_usd,wrapper_utility,shared_underlying_group_size,shared_underlying_wrapper_rank,shared_underlying_group_score,shared_underlying_weight_pre_caps,shared_underlying_allocation_reason,shared_underlying_incumbent,shared_underlying_switch_blocked,shared_underlying_capacity_usd,shared_underlying_capacity_binding,pair_override_gross_mult,pair_override_hedge_add,pair_override_note,ratchet_released,ratchet_trim_lambda,ratchet_trim_usd,optimal_gross_target_usd,optimal_long_usd,optimal_short_usd,optimal_underlying_target_usd,optimal_etf_target_usd,optimal_binding_cap,binding_cap,liquidity_gap_usd,executable_pct_of_optimal,execution_policy,reduce_only,keep_open,hard_exit,model_gross_target_usd,model_long_usd,model_short_usd,_plan_date
AMUU,AMD,2.007596,256,ols,0.052954,10000,0.052954,False,False,62.16999816894531,0.052954,1.0,False,True,False,False,False,False,False,False,False,1.283035,0.485014,0.559549,0.316672,0.485014,0.43206,0.43206,0.501899,0.6022788,0.501899,0.6022788,0.43206,net_decay_annual,0.052954,ETF_LS,12310.459040430378,-6131.940410535974,12310.459040430378,-6131.940410535974,12310.459040430378,0.0,-0.0,12310.459040430378,core_leveraged,0.5,1.0,18442.399450966357,0.25617504432523,3.0,1.0,0.0994403152392599,0.00367430109004,primary,AMUU,True,421650.0,pair_cap,1.0,0.0,,False,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,haircut,haircut,-18442.399450966357,1.0,normal,False,False,False,0.0,0.0,-0.0,2026-04-14
AVL,AVGO,1.986547,375,ols,0.046013,100000,0.046013,False,False,48.900001525878906,0.046013,1.0,False,True,False,False,False,False,False,False,False,1.074574,0.374071,0.538456,0.28411,0.374071,0.3280579999999999,0.3280579999999999,0.49663675,0.5959641,0.5,0.5959641,0.3280579999999999,net_decay_annual,0.046013,ETF_LS,7125.958632252904,-3587.1079980755067,7125.958632252904,-3587.1079980755067,7125.958632252904,0.0,-0.0,7125.958632252904,core_leveraged,0.5,1.0,10713.06663032841,0.196054357555697,3.0,1.0,0.0577642147775534,0.002134376955783,primary,AVL,False,421650.0,pair_cap,1.0,0.0,,False,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,haircut,haircut,-10713.06663032841,1.0,normal,False,False,False,0.0,0.0,-0.0,2026-04-14
BOEU,BA,1.993147,243,ols,0.054356,15000,0.054356,False,False,37.573001861572266,0.054356,1.0,False,True,False,False,False,False,False,False,False,0.602895,0.193873,0.354994,0.124728,0.191404,0.139517,0.137048,0.49828675,0.5979441,0.5,0.5979441,0.139517,net_decay_annual,0.054356,ETF_LS,1590.8100307292227,-798.1398415316195,1590.8100307292227,-798.1398415316195,1590.8100307292227,0.0,-0.0,1590.8100307292227,core_leveraged,0.5,1.0,2388.9498722608423,0.0831711356323219,2.0,1.0,0.0128810748850774,0.0004759533130727,primary,BOEU,False,421650.0,pair_cap,1.0,0.0,,False,0.0,0.0,2417.999166389112,1610.1540567472828,-807.8451096418291,1610.1540567472828,-807.8451096418291,haircut,haircut,29.049294128269597,0.9879862265744078,normal,False,False,False,2417.999166389112,1610.1540567472828,-807.8451096418291,2026-04-14
FRDU,F,1.762742,182,ols,,0,0.0,False,True,26.53969955444336,,1.0,False,False,False,False,False,False,False,True,False,0.62959,0.180998,0.344107,0.079602,0.152832,0.180998,0.152832,0.4406855,1.0,0.5,1.0,0.180998,net_decay_annual,,ETF_LS,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,core_leveraged,0.5,1.0,0.0,-inf,1.0,,0.0,0.0,not_selected,FRDU,False,,,1.0,0.0,,False,0.0,0.0,2958.4703649185576,1887.6246743261831,-1070.8456905923745,1887.6246743261831,-1070.8456905923745,haircut,haircut,2958.4703649185576,0.0,normal,False,False,False,2958.4703649185576,1887.6246743261831,-1070.8456905923745,2026-04-14
ELIL,LLY,1.993139,261,ols,0.095752,10000,0.095752,False,False,19.690000534057617,0.095752,1.0,False,True,False,False,False,False,False,False,False,0.838881,0.274745,0.375623,0.139644,0.274745,0.178993,0.178993,0.49828475,0.5979417,0.5,0.5979417,0.178993,net_decay_annual,0.095752,ETF_LS,2460.2862110599112,-1234.3776380171737,2460.2862110599112,-1234.3776380171737,2460.2862110599112,0.0,-0.0,2460.2862110599112,core_leveraged,0.5,1.0,3694.6638490770847,0.106704529878828,1.0,1.0,0.0199214065844383,0.0007360922554621,primary,ELIL,False,,,1.0,0.0,,False,0.0,0.0,2058.147974723256,1370.5260584930852,-687.6219162301703,1370.5260584930852,-687.6219162301703,haircut,haircut,-1636.515874353829,1.7951400455420994,normal,False,False,False,2058.147974723256,1370.5260584930852,-687.6219162301703,2026-04-14
MSFU,MSFT,1.991981,499,ols,0.035509,600000,0.035509,False,False,24.700000762939453,0.035509,1.0,False,True,False,False,False,False,False,False,False,0.483425,0.160306,0.242458,0.058081,0.160306,0.124797,0.124797,0.49799525,0.5975943,0.5,0.5975943,0.124797,net_decay_annual,0.035509,ETF_LS,1309.5640150126471,-657.4179246753092,1309.5640150126471,-657.4179246753092,1309.5640150126471,0.0,-0.0,1309.5640150126471,core_leveraged,0.5,1.0,1966.9819396879564,0.0744286688380384,3.0,1.0,0.0106058490204891,0.0003918841419903,primary,MSFU,False,421650.0,pair_cap,1.0,0.0,,False,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,haircut,haircut,-1966.9819396879564,1.0,normal,False,False,False,0.0,0.0,-0.0,2026-04-14
MUU,MU,1.994264,375,ols,0.052468,65000,0.052468,False,False,188.4499969482422,0.052468,1.0,False,True,False,False,False,False,False,False,False,1.272516,0.514049,0.612896,0.372416,0.514049,0.4615809999999999,0.4615809999999999,0.498566,0.5982792,0.5,0.5982792,0.4615809999999999,net_decay_annual,0.052468,ETF_LS,0.0,-0.0,0.0,-0.0,16081.37037281513,0.0,-0.0,16081.37037281513,core_leveraged,0.5,1.0,0.0,0.2750495486078811,2.0,2.0,0.1300906448531786,0.004806825049156,not_selected,MULL,False,421650.0,pair_cap,1.0,0.0,,False,0.0,0.0,29569.21945246878,19693.931417589836,-9875.288034878948,19693.931417589836,-9875.288034878948,haircut,haircut,29569.21945246878,0.0,normal,False,False,False,29569.21945246878,19693.931417589836,-9875.288034878948,2026-04-14
ORCU,ORCL,2.004419,97,ols,0.08071,150000,0.08071,False,False,10.539999961853027,0.08071,1.0,False,True,False,False,False,False,False,False,False,1.134323,0.388595,0.523504,0.275876,0.319264,0.307885,0.238554,0.50110475,0.6013257,0.50110475,0.6013257,0.307885,net_decay_annual,0.08071,ETF_LS,6321.249778573279,-3153.6568844005565,6321.249778573279,-3153.6568844005565,6321.249778573279,0.0,-0.0,6321.249778573279,core_leveraged,0.5,1.0,9474.906662973835,0.1827667325508834,1.0,1.0,0.0510881302584145,0.0018876968787252,primary,ORCU,False,,,1.0,0.0,,False,0.0,0.0,6045.787345095075,4033.4890121744415,-2012.298332920633,4033.4890121744415,-2012.298332920633,haircut,haircut,-3429.1193178787607,1.5671915206645155,normal,False,False,False,6045.787345095075,4033.4890121744415,-2012.298332920633,2026-04-14
PALU,PANW,2.005088,261,ols,0.0437249999999999,8000,0.0437249999999999,False,False,12.739999771118164,0.0437249999999999,1.0,False,True,False,False,False,False,False,False,False,0.754127,0.248959,0.353037,0.125588,0.248959,0.205234,0.205234,0.501272,0.6015264,0.501272,0.6015264,0.205234,net_decay_annual,0.0437249999999999,ETF_LS,3247.148984566853,-1619.454599781582,3247.148984566853,-1619.454599781582,3247.148984566853,0.0,-0.0,3247.148984566853,core_leveraged,0.5,1.0,4866.603584348435,0.1218005449040831,2.0,1.0,0.0262404355712381,0.0009695791972355,primary,PALU,True,306278.5634575195,shares_available,1.0,0.0,,False,0.0,0.0,6100.131617461733,4070.1971804463337,-2029.9344370153997,4070.1971804463337,-2029.9344370153997,haircut,haircut,1233.528033113298,0.7977866527367536,normal,False,False,False,6100.131617461733,4070.1971804463337,-2029.9344370153997,2026-04-14
QCMU,QCOM,2.002502,200,ols,0.042784,20000,0.042784,False,False,15.026000022888184,0.042784,1.0,False,True,False,False,False,False,False,False,False,0.639942,0.216952,0.383243,0.147427,0.202606,0.174168,0.159822,0.5006255,0.6007505999999999,0.5006255,0.6007505999999999,0.174168,net_decay_annual,0.042784,ETF_LS,2334.6657674567773,-1165.8743748854072,2334.6657674567773,-1165.8743748854072,2334.6657674567773,0.0,-0.0,2334.6657674567773,core_leveraged,0.5,1.0,3500.540142342184,0.1034638526153703,1.0,1.0,0.0188747031636358,0.0006974167594045,primary,QCMU,False,,,1.0,0.0,,False,0.0,0.0,2249.7065291026875,1500.4292499859084,-749.2772791167793,1500.4292499859084,-749.2772791167793,haircut,haircut,-1250.8336132394966,1.55599857006167,normal,False,False,False,2249.7065291026875,1500.4292499859084,-749.2772791167793,2026-04-14
