ETF,Underlying,Delta,Delta_n_obs,Delta_source,borrow_fee_annual,borrow_rebate_annual,borrow_net_annual,shares_available,borrow_current,borrow_spiking,borrow_missing_from_ftp,protected,borrow_leq_low,borrow_gt_low,protected_ok,protected_bad,purgatory,include_for_algo,exclude_borrow_gt_low,exclude_no_shares,exclude_borrow_spike,vol_etf_annual,gross_decay_annual,vol_underlying_annual,expected_gross_decay_annual,blended_gross_decay,net_decay_annual,decay_score,maint_pct_long,maint_pct_short,init_pct_long,init_pct_short,net_edge_p50_annual,edge_used_for_prod_replay,borrow_annual,strategy_tag,long_usd,short_usd,underlying_target_usd,etf_target_usd,underlying_target_from_b12_usd,underlying_target_from_b4_usd,underlying_internalized_usd,underlying_external_trade_usd,sleeve,b1_trend_xsec_pctile,b1_trend_multiplier,gross_target_usd,wrapper_utility,shared_underlying_group_size,shared_underlying_wrapper_rank,shared_underlying_group_score,shared_underlying_weight_pre_caps,shared_underlying_allocation_reason,shared_underlying_incumbent,shared_underlying_switch_blocked,shared_underlying_capacity_usd,shared_underlying_capacity_binding,pair_override_gross_mult,pair_override_hedge_add,pair_override_note,ratchet_released,ratchet_trim_lambda,ratchet_trim_usd,optimal_gross_target_usd,optimal_long_usd,optimal_short_usd,optimal_underlying_target_usd,optimal_etf_target_usd,optimal_binding_cap,binding_cap,liquidity_gap_usd,executable_pct_of_optimal,execution_policy,reduce_only,keep_open,hard_exit,model_gross_target_usd,model_long_usd,model_short_usd,_plan_date
AMUU,AMD,2.007493,245,ols,0.058815,-0.0224149999999999,0.08123,55000,0.08123,False,False,False,True,False,False,False,False,True,False,False,False,1.29996,0.502697,0.560613,0.317828,0.497562,0.4214669999999999,0.416332,0.50187325,0.6022479000000001,0.50187325,0.6022479000000001,0.4214669999999999,net_decay_annual,0.08123,ETF_LS,17195.332504320308,-8565.575324208008,17195.332504320308,-8565.575324208008,17195.332504320308,0.0,-0.0,17195.332504320308,core_leveraged,0.5,1.0,25760.907828528318,0.2499039071644631,3.0,1.0,0.0965075008292616,0.0054985929196431,primary,AMUU,True,421650.0,pair_cap,1.0,0.0,,False,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,haircut,haircut,-25760.907828528318,1.0,normal,False,False,False,0.0,0.0,-0.0,2026-03-27
AMZU,AMZN,1.988226,500,ols,0.043626,-0.007226,0.0508519999999999,30000,0.0508519999999999,False,False,False,True,False,False,False,False,True,False,False,False,0.632466,0.21227,0.317951,0.099314,0.21227,0.161418,0.161418,0.4970565,0.5964678,0.5,0.5964678,0.161418,net_decay_annual,0.0508519999999999,ETF_LS,2962.320482249313,-1489.9314676748588,2962.320482249313,-1489.9314676748588,2962.320482249313,0.0,-0.0,2962.320482249313,core_leveraged,0.5,1.0,4452.251949924172,0.0964056862508774,2.0,1.0,0.0166793698269264,0.0009503205869635,primary,AMZU,False,421650.0,pair_cap,1.0,0.0,,False,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,haircut,haircut,-4452.251949924172,1.0,normal,False,False,False,0.0,0.0,-0.0,2026-03-27
ASMU,ASML,1.983264,30,ols,0.052956,-0.016556,0.069512,1000,0.069512,False,False,False,True,False,False,False,False,True,False,False,False,0.845141,0.309084,0.435563,0.184979,0.199753,0.239572,0.130241,0.495816,0.5949791999999999,0.5,0.5949791999999999,0.239572,net_decay_annual,0.069512,ETF_LS,5926.388176883263,-2988.199340523129,5926.388176883263,-2988.199340523129,5926.388176883263,0.0,-0.0,5926.388176883263,core_leveraged,0.5,1.0,8914.587517406393,0.1433509785715023,2.0,1.0,0.0333965156800831,0.0019027934935766,primary,ASMG,False,421650.0,pair_cap,1.0,0.0,,False,0.0,0.0,7317.841851772445,4864.876961044556,-2452.9648907278893,4864.876961044556,-2452.9648907278893,haircut,haircut,-1596.7456656339482,1.2181989851621626,normal,False,False,False,7317.841851772445,4864.876961044556,-2452.9648907278893,2026-03-27
AVL,AVGO,1.987516,364,ols,0.0421809999999999,-0.005781,0.047962,150000,0.047962,False,False,False,True,False,False,False,False,True,False,False,False,1.074773,0.380244,0.534571,0.280437,0.380244,0.332282,0.332282,0.496879,0.5962548,0.5,0.5962548,0.332282,net_decay_annual,0.047962,ETF_LS,10483.461614007085,-5274.655204791853,10483.461614007085,-5274.655204791853,10483.461614007085,0.0,-0.0,10483.461614007085,core_leveraged,0.5,1.0,15758.116818798935,0.198506092549647,2.0,1.0,0.0590342732515696,0.0033635254682601,primary,AVL,False,421650.0,pair_cap,1.0,0.0,,False,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,haircut,haircut,-15758.116818798935,1.0,normal,False,False,False,0.0,0.0,-0.0,2026-03-27
BOEU,BA,1.989948,232,ols,0.052405,-0.016005,0.06841,45000,0.06841,False,False,False,True,False,False,False,False,True,False,False,False,0.590428,0.193558,0.351127,0.121437,0.187834,0.125148,0.119424,0.497487,0.5969844,0.5,0.5969844,0.125148,net_decay_annual,0.06841,ETF_LS,1896.0084471115067,-952.7929609776268,1896.0084471115067,-952.7929609776268,1896.0084471115067,0.0,-0.0,1896.0084471115067,core_leveraged,0.5,1.0,2848.801408089133,0.0746951867845301,1.0,1.0,0.0106723996717653,0.0006080686036476,primary,BOEU,False,,,1.0,0.0,,False,0.0,0.0,1480.8713230693131,985.5880194569048,-495.2833036124084,985.5880194569048,-495.2833036124084,haircut,haircut,-1367.93008501982,1.9237332533285831,normal,False,False,False,1480.8713230693131,985.5880194569048,-495.2833036124084,2026-03-27
HODU,HOOD,2.009167,86,ols,0.095168,-0.058768,0.153936,3000,0.153936,False,False,False,True,False,False,False,False,True,False,False,False,1.42164,0.666168,0.704928,0.503777,0.559196,0.512232,0.40526,0.50229175,0.6027501000000001,0.50229175,0.6027501000000001,0.512232,net_decay_annual,0.153936,ETF_LS,0.0,-0.0,0.0,-0.0,27687.21159427022,0.0,-0.0,27687.21159427022,core_leveraged,0.5,1.0,0.0,0.3035321364865518,3.0,2.0,0.1552788918461399,0.00884714045995,not_selected,ROBN,False,421650.0,pair_cap,1.0,0.0,,False,0.0,0.0,60697.27810849049,40526.48728548516,-20170.790823005333,40526.48728548516,-20170.790823005333,haircut,haircut,60697.27810849049,0.0,normal,False,False,False,60697.27810849049,40526.48728548516,-20170.790823005333,2026-03-27
MRVU,MRVL,2.019016,29,ols_short_history,0.104831,-0.0684309999999999,0.173262,25000,0.173262,False,False,False,True,False,False,False,False,True,False,False,False,1.355558,0.504263,0.632026,0.410923,0.421665,0.331001,0.248403,0.504754,0.6057048,0.504754,0.6057048,0.331001,net_decay_annual,0.173262,ETF_LS,10253.68071192533,-5078.553469573955,10253.68071192533,-5078.553469573955,10253.68071192533,0.0,-0.0,10253.68071192533,core_leveraged,0.5,1.0,15332.234181499283,0.1954224642604589,2.0,1.0,0.0574387988511353,0.0032726220237992,primary,MRVU,False,421650.0,pair_cap,1.0,0.0,,False,0.0,0.0,32921.44599520072,22016.751884536607,-10904.694110664108,22016.751884536607,-10904.694110664108,haircut,haircut,17589.211813701433,0.465721772480298,normal,False,False,False,32921.44599520072,22016.751884536607,-10904.694110664108,2026-03-27
MSFU,MSFT,1.992404,500,ols,0.037464,-0.0010639999999999,0.038528,250000,0.038528,False,False,False,True,False,False,False,False,True,False,False,False,0.479114,0.165385,0.240231,0.057055,0.165385,0.126857,0.126857,0.498101,0.5977212,0.5,0.5977212,0.126857,net_decay_annual,0.038528,ETF_LS,1939.2093348621308,-973.3012656379584,1939.2093348621308,-973.3012656379584,1939.2093348621308,0.0,-0.0,1939.2093348621308,core_leveraged,0.5,1.0,2912.5106005000894,0.0756452013090356,2.0,1.0,0.0109110719646968,0.0006216671505869,primary,MSFU,False,421650.0,pair_cap,1.0,0.0,,False,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,haircut,haircut,-2912.5106005000894,1.0,normal,False,False,False,0.0,0.0,-0.0,2026-03-27
MUU,MU,1.994534,364,ols,0.040954,-0.004554,0.045508,250000,0.045508,False,False,False,True,False,False,False,False,True,False,False,False,1.262469,0.515728,0.604813,0.362805,0.515728,0.4702199999999999,0.4702199999999999,0.4986335,0.5983602,0.5,0.5983602,0.4702199999999999,net_decay_annual,0.045508,ETF_LS,19182.151418051944,-9617.35995377965,19182.151418051944,-9617.35995377965,19182.151418051944,0.0,-0.0,19182.151418051944,core_leveraged,0.5,1.0,28799.511371831595,0.2801689575399073,2.0,1.0,0.1078909519066491,0.0061471742522586,primary,MUU,False,421650.0,pair_cap,1.0,0.0,,False,0.0,0.0,32668.03802486112,21758.815412975226,-10909.222611885894,21758.815412975226,-10909.222611885894,haircut,haircut,3868.526653029523,0.8815806859877693,normal,False,False,False,32668.03802486112,21758.815412975226,-10909.222611885894,2026-03-27
ORCU,ORCL,2.004338,86,ols,0.142262,-0.105862,0.248124,150000,0.248124,False,False,False,True,False,False,False,False,True,False,False,False,1.085398,0.397063,0.512986,0.264869,0.309983,0.148939,0.061859,0.5010845,0.6013014,0.5010845,0.6013014,0.148939,net_decay_annual,0.248124,ETF_LS,2552.9960171361163,-1273.7352767527811,2552.9960171361163,-1273.7352767527811,2552.9960171361163,0.0,-0.0,2552.9960171361163,core_leveraged,0.5,1.0,3826.731293888897,0.0884158676987642,1.0,1.0,0.0143359960750048,0.0008168049720147,primary,ORCU,False,,,1.0,0.0,,False,0.0,0.0,1006.2671030713826,671.3290557972801,-334.93804727410253,671.3290557972801,-334.93804727410253,haircut,haircut,-2820.4641908175145,2.0,normal,False,False,False,1006.2671030713826,671.3290557972801,-334.93804727410253,2026-03-27
