ETF,Underlying,Delta,Delta_n_obs,Delta_source,borrow_fee_annual,borrow_rebate_annual,borrow_net_annual,shares_available,borrow_current,borrow_spiking,borrow_missing_from_ftp,protected,borrow_leq_low,borrow_gt_low,protected_ok,protected_bad,include_for_algo,purgatory,exclude_borrow_gt_low,exclude_no_shares,exclude_borrow_spike,vol_etf_annual,gross_decay_annual,vol_underlying_annual,expected_gross_decay_annual,blended_gross_decay,net_decay_annual,decay_score,maint_pct_long,maint_pct_short,init_pct_long,init_pct_short,net_edge_p50_annual,edge_used_for_prod_replay,borrow_annual,strategy_tag,long_usd,short_usd,underlying_target_usd,etf_target_usd,underlying_target_from_b12_usd,underlying_target_from_b4_usd,underlying_internalized_usd,underlying_external_trade_usd,sleeve,b1_trend_xsec_pctile,b1_trend_multiplier,gross_target_usd,wrapper_utility,shared_underlying_group_size,shared_underlying_wrapper_rank,shared_underlying_group_score,shared_underlying_weight_pre_caps,shared_underlying_allocation_reason,shared_underlying_incumbent,shared_underlying_switch_blocked,shared_underlying_capacity_usd,shared_underlying_capacity_binding,pair_override_gross_mult,pair_override_hedge_add,pair_override_note,ratchet_released,ratchet_trim_lambda,ratchet_trim_usd,optimal_gross_target_usd,optimal_long_usd,optimal_short_usd,optimal_underlying_target_usd,optimal_etf_target_usd,optimal_binding_cap,binding_cap,liquidity_gap_usd,executable_pct_of_optimal,execution_policy,reduce_only,keep_open,hard_exit,model_gross_target_usd,model_long_usd,model_short_usd,_plan_date
UXRP,XRPZ,2.001598,79,ols,0.02512,0.0112799999999999,0.01384,250000,0.01384,False,False,False,True,False,False,False,True,False,False,False,False,1.621983,1.017256,0.854213,0.73143,0.821034,1.003416,0.8071940000000001,0.5003995,0.6004794,0.5003995,0.6004794,1.003416,net_decay_annual,0.01384,ETF_LS,96528.38149284112,-48225.65844532275,96528.38149284112,-48225.65844532275,96528.38149284112,0.0,-0.0,96528.38149284112,core_leveraged,0.5,1.0,144754.03993816386,0.596277439673446,4.0,1.0,0.4046081826161672,0.0308973404350403,primary,UXRP,False,421650.0,pair_cap,1.0,0.0,,False,0.0,0.0,400496.83534581633,267068.962810648,-133427.8725351684,267068.962810648,-133427.8725351684,haircut,haircut,255742.79540765248,0.3614361641913433,normal,False,False,False,400496.83534581633,267068.962810648,-133427.8725351684,2026-03-21
SOLT,SOEZ,2.014083,73,ols,0.063705,-0.027305,0.09101,3000,0.09101,False,False,False,True,False,False,False,True,False,False,False,False,1.591427,0.894083,0.796511,0.647895,0.719211,0.8030729999999999,0.628201,0.50352075,0.6042249,0.50352075,0.6042249,0.8030729999999999,net_decay_annual,0.09101,ETF_LS,64973.75126532345,-32259.718822572584,64973.75126532345,-32259.718822572584,64973.75126532345,0.0,-0.0,64973.75126532345,core_leveraged,0.5,1.0,97233.47008789604,0.4750037103089006,1.0,1.0,0.2717814137590424,0.0207542091969895,primary,SOLT,False,,,1.0,0.0,,False,0.0,0.0,74103.98219471687,49518.069267064624,-24585.91292765225,49518.069267064624,-24585.91292765225,haircut,haircut,-23129.48789317916,1.3121220642691471,normal,False,False,False,74103.98219471687,49518.069267064624,-24585.91292765225,2026-03-21
TSLR,TSLA,1.998954,500,ols,0.006253,0.030147,0.0,8000,0.0,False,False,False,True,False,False,False,True,False,False,False,False,1.249036,0.483099,0.624724,0.389668,0.483099,0.483099,0.483099,0.4997385,0.5996862,0.5,0.5996862,0.483099,net_decay_annual,0.0,ETF_LS,26896.055657128505,-13455.06482746902,26896.055657128505,-13455.06482746902,26896.055657128505,0.0,-0.0,26896.055657128505,core_leveraged,0.5,1.0,40351.12048459752,0.2873651103604973,5.0,1.0,0.1127871355630096,0.008612832547406,primary,TSLT,False,421650.0,pair_cap,1.0,0.0,,False,0.0,0.0,93483.43568994098,62311.42181779056,-31172.01387215041,62311.42181779056,-31172.01387215041,haircut,haircut,53132.31520534345,0.4316392544496457,normal,False,False,False,93483.43568994098,62311.42181779056,-31172.01387215041,2026-03-21
AMZZ,AMZN,1.991879,500,ols,0.037304,-0.000904,0.038208,15000,0.038208,False,False,False,True,False,False,False,True,False,False,False,False,0.631403,0.183955,0.316514,0.098964,0.183955,0.145747,0.145747,0.49796975,0.5975636999999999,0.5,0.5975636999999999,0.145747,net_decay_annual,0.038208,ETF_LS,0.0,-0.0,0.0,-0.0,4094.1826042110247,0.0,-0.0,4094.1826042110247,core_leveraged,0.5,1.0,0.0,0.0869265432084572,2.0,2.0,0.017203140151617,0.0013136938417294,not_selected,AMZU,False,421650.0,pair_cap,1.0,0.0,,False,0.0,0.0,7821.294752067812,5207.11993013557,-2614.174821932241,5207.11993013557,-2614.174821932241,haircut,haircut,7821.294752067812,0.0,normal,False,False,False,7821.294752067812,5207.11993013557,-2614.174821932241,2026-03-21
BABX,BABA,2.006142,500,ols,0.0213019999999999,0.015098,0.0062039999999999,30000,0.0062039999999999,False,False,False,True,False,False,False,True,False,False,False,False,0.888321,0.2831,0.442667,0.197763,0.2831,0.276896,0.276896,0.5015355,0.6018426,0.5015355,0.6018426,0.276896,net_decay_annual,0.0062039999999999,ETF_LS,10119.35220991832,-5044.185411560258,10119.35220991832,-5044.185411560258,10119.35220991832,0.0,-0.0,10119.35220991832,core_leveraged,0.5,1.0,15163.537621478576,0.1642651480069163,1.0,1.0,0.042384249874333,0.0032366142201661,primary,BABX,False,,,1.0,0.0,,False,0.0,0.0,12007.030900613065,8012.864656765281,-3994.166243847784,8012.864656765281,-3994.166243847784,haircut,haircut,-3156.506720865511,1.26288819833922,normal,False,False,False,12007.030900613065,8012.864656765281,-3994.166243847784,2026-03-21
BULX,BULL,1.968692,137,ols,0.091353,-0.054953,0.146306,5000,0.146306,False,False,False,True,False,False,False,True,False,False,False,False,1.100664,0.581156,0.571679,0.311629,0.458158,0.43485,0.311852,0.492173,0.5906076,0.5,0.5906076,0.43485,net_decay_annual,0.146306,ETF_LS,23517.593162586072,-11945.796073020092,23517.593162586072,-11945.796073020092,23517.593162586072,0.0,-0.0,23517.593162586072,core_leveraged,0.5,1.0,35463.38923560616,0.2616412058524749,2.0,1.0,0.0991252297632444,0.0075695601356683,primary,BULX,True,421650.0,pair_cap,1.0,0.0,,False,0.0,0.0,46769.51253132174,31015.263679867385,-15754.248851454358,31015.263679867385,-15754.248851454358,haircut,haircut,11306.12329571558,0.7582586885389532,normal,False,False,False,46769.51253132174,31015.263679867385,-15754.248851454358,2026-03-21
CRWL,CRWD,1.996547,337,ols,0.1303679999999999,-0.093968,0.2243359999999999,4000,0.2243359999999999,False,False,False,True,False,False,False,True,False,False,False,False,0.926462,0.387843,0.465854,0.215897,0.387843,0.163507,0.163507,0.49913675,0.5989641,0.5,0.5989641,0.163507,net_decay_annual,0.2243359999999999,ETF_LS,4044.14012631896,-2025.567204938807,4044.14012631896,-2025.567204938807,4044.14012631896,0.0,-0.0,4044.14012631896,core_leveraged,0.5,1.0,6069.707331257767,0.0973479244935904,1.0,1.0,0.0169656974918373,0.0012955618636622,primary,CRWL,False,,,1.0,0.0,,False,0.0,0.0,2320.771439742806,1546.289531151749,-774.481908591057,1546.289531151749,-774.481908591057,haircut,haircut,-3748.935891514961,2.0,normal,False,False,False,2320.771439742806,1546.289531151749,-774.481908591057,2026-03-21
DLLL,DELL,1.986404,274,ols,0.14864,-0.11224,0.26088,7000,0.26088,False,False,False,True,False,False,False,True,False,False,False,False,1.096025,0.373755,0.541352,0.287112,0.373755,0.112875,0.112875,0.496601,0.5959212,0.5,0.5959212,0.112875,net_decay_annual,0.26088,ETF_LS,2124.943758272986,-1069.7439988406115,2124.943758272986,-1069.7439988406115,2124.943758272986,0.0,-0.0,2124.943758272986,core_leveraged,0.5,1.0,3194.6877571135974,0.0674601150481675,1.0,1.0,0.0089296078229251,0.0006818970666197,primary,,False,,,1.0,0.0,,False,0.0,0.0,561.7730929251873,373.6628797975638,-188.11021312762347,373.6628797975638,-188.11021312762347,haircut,haircut,-2632.91466418841,2.0,normal,False,False,False,561.7730929251873,373.6628797975638,-188.11021312762347,2026-03-21
ETRL,ETOR,1.999449,137,ols,0.082093,-0.045693,0.127786,300,0.127786,False,False,False,True,False,False,False,True,False,False,True,False,1.101311,0.456692,0.658935,0.433837,0.446262,0.328906,0.318476,0.49986225,0.5998346999999999,0.5,0.5998346999999999,0.328906,net_decay_annual,0.127786,ETF_LS,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,core_leveraged,0.5,1.0,0.0,-inf,1.0,,0.0,0.0,not_selected,,False,,,1.0,0.0,,False,0.0,0.0,13739.128426037942,9158.577656200569,-4580.550769837375,9158.577656200569,-4580.550769837375,haircut,haircut,13739.128426037942,0.0,normal,False,False,False,13739.128426037942,9158.577656200569,-4580.550769837375,2026-03-21
INTW,INTC,1.98768,275,ols,0.048189,-0.011789,0.059978,25000,0.059978,False,False,False,True,False,False,False,True,False,False,False,False,1.348884,0.534975,0.619999,0.377324,0.534975,0.474997,0.474997,0.49692,0.596304,0.5,0.596304,0.474997,net_decay_annual,0.059978,ETF_LS,26256.55220073445,-13209.647529146774,26256.55220073445,-13209.647529146774,26256.55220073445,0.0,-0.0,26256.55220073445,core_leveraged,0.5,1.0,39466.19972988123,0.283746828350228,1.0,1.0,0.1103136558696066,0.0084239487150226,primary,INTW,False,,,1.0,0.0,,False,0.0,0.0,29681.939507789742,19747.160847494884,-9934.77866029486,19747.160847494884,-9934.77866029486,haircut,haircut,-9784.26022209148,1.329636822402515,normal,False,False,False,29681.939507789742,19747.160847494884,-9934.77866029486,2026-03-21
ISUL,ISRG,2.002151,113,ols,0.051994,-0.0155939999999999,0.067588,1000,0.067588,False,False,False,True,False,False,False,True,False,False,False,False,0.652175,0.185071,0.312011,0.097665,0.136859,0.117483,0.069271,0.50053775,0.6006452999999999,0.50053775,0.6006452999999999,0.117483,net_decay_annual,0.067588,ETF_LS,2261.528366870981,-1129.5493531062248,2261.528366870981,-1129.5493531062248,2261.528366870981,0.0,-0.0,2261.528366870981,core_leveraged,0.5,1.0,3391.077719977206,0.0697995152776363,1.0,1.0,0.0094785457730662,0.0007238159487678,primary,ISUL,False,,,1.0,0.0,,False,0.0,0.0,2064.1433781540904,1376.5885622390713,-687.554815915019,1376.5885622390713,-687.554815915019,haircut,haircut,-1326.9343418231156,1.642849889143727,normal,False,False,False,2064.1433781540904,1376.5885622390713,-687.554815915019,2026-03-21
MVLL,MRVL,1.992667,260,ols,0.121745,-0.0853449999999999,0.20709,8000,0.20709,False,False,False,True,False,False,False,True,False,False,False,False,1.243657,0.54742,0.631,0.393792,0.54742,0.34033,0.34033,0.49816675,0.5978001,0.5,0.5978001,0.34033,net_decay_annual,0.20709,ETF_LS,14614.692882314625,-7334.237422667522,14614.692882314625,-7334.237422667522,14614.692882314625,0.0,-0.0,14614.692882314625,core_leveraged,0.5,1.0,21948.930304982143,0.2029196886348336,1.0,1.0,0.0613503899777955,0.0046849370981818,primary,MVLL,False,,,1.0,0.0,,False,0.0,0.0,13099.429619514687,8722.253802922101,-4377.175816592588,8722.253802922101,-4377.175816592588,haircut,haircut,-8849.500685467454,1.6755638178538732,normal,False,False,False,13099.429619514687,8722.253802922101,-4377.175816592588,2026-03-21
MSFL,MSFT,1.991958,500,ols,0.030467,0.005933,0.024534,150000,0.024534,False,False,False,True,False,False,False,True,False,False,False,False,0.477454,0.143262,0.239223,0.056539,0.143262,0.118728,0.118728,0.4979895,0.5975874,0.5,0.5975874,0.118728,net_decay_annual,0.024534,ETF_LS,0.0,-0.0,0.0,-0.0,2314.4327804405434,0.0,-0.0,2314.4327804405434,core_leveraged,0.5,1.0,0.0,0.0708097431710202,2.0,2.0,0.009719922083952,0.000742248314624,not_selected,MSFU,True,421650.0,pair_cap,1.0,0.0,,False,0.0,0.0,4632.971806000272,3084.4969256709787,-1548.4748803292937,3084.4969256709787,-1548.4748803292937,haircut,haircut,4632.971806000272,0.0,normal,False,False,False,4632.971806000272,3084.4969256709787,-1548.4748803292937,2026-03-21
NOWL,NOW,1.996502,172,ols,0.09239,-0.05599,0.14838,70000,0.14838,False,False,False,True,False,False,False,True,False,False,False,False,0.762903,0.302583,0.396789,0.156616,0.256244,0.1542029999999999,0.107864,0.4991255,0.5989506,0.5,0.5989506,0.1542029999999999,net_decay_annual,0.14838,ETF_LS,3650.1406831272425,-1828.267982264602,3650.1406831272425,-1828.267982264602,3650.1406831272425,0.0,-0.0,3650.1406831272425,core_leveraged,0.5,1.0,5478.408665391844,0.0918101106386458,1.0,1.0,0.0153129334053802,0.0011693508357293,primary,NOWL,False,,,1.0,0.0,,False,0.0,0.0,2699.2677474712564,1798.4614915531038,-900.8062559181528,1798.4614915531038,-900.8062559181528,haircut,haircut,-2779.1409179205875,2.0,normal,False,False,False,2699.2677474712564,1798.4614915531038,-900.8062559181528,2026-03-21
PTIR,PLTR,1.996742,386,ols,0.029278,0.007122,0.022156,40000,0.022156,False,False,False,True,False,False,False,True,False,False,False,False,1.306523,0.502266,0.624013,0.387491,0.502266,0.48011,0.48011,0.4991855,0.5990226,0.5,0.5990226,0.48011,net_decay_annual,0.022156,ETF_LS,26634.36717032477,-13338.912673908182,26634.36717032477,-13338.912673908182,26634.36717032477,0.0,-0.0,26634.36717032477,core_leveraged,0.5,1.0,39973.27984423296,0.2858243910971709,4.0,1.0,0.1117310170955614,0.0085321835313197,primary,PLTU,False,421650.0,pair_cap,1.0,0.0,,False,0.0,0.0,59690.21539530408,39771.84558058393,-19918.369814720143,39771.84558058393,-19918.369814720143,haircut,haircut,19716.93555107112,0.6696789344703508,normal,False,False,False,59690.21539530408,39771.84558058393,-19918.369814720143,2026-03-21
RDTL,RDDT,1.981867,248,ols,0.139216,-0.1028159999999999,0.242032,15000,0.242032,False,False,False,True,False,False,False,True,False,False,False,False,1.422527,0.652266,0.822799,0.658695,0.652368,0.410234,0.4103359999999999,0.49546675,0.5945601,0.5,0.5945601,0.410234,net_decay_annual,0.242032,ETF_LS,20374.050120749074,-10280.230772674997,20374.050120749074,-10280.230772674997,20374.050120749074,0.0,-0.0,20374.050120749074,core_leveraged,0.5,1.0,30654.280893424067,0.2455985350093777,1.0,1.0,0.0856830861991286,0.0065430695610296,primary,RDTL,False,,,1.0,0.0,,False,0.0,0.0,18413.6452537933,12238.438494473285,-6175.206759320017,12238.438494473285,-6175.206759320017,haircut,haircut,-12240.635639630767,1.664758958420204,normal,False,False,False,18413.6452537933,12238.438494473285,-6175.206759320017,2026-03-21
UBRL,UBER,1.99567,386,ols,0.005643,0.030757,0.0,30000,0.0,False,False,False,True,False,False,False,True,False,False,False,False,0.764727,0.227964,0.381201,0.144372,0.227964,0.227964,0.227964,0.4989175,0.598701,0.5,0.598701,0.227964,net_decay_annual,0.0,ETF_LS,7237.528787558511,-3626.61601745705,7237.528787558511,-3626.61601745705,7237.528787558511,0.0,-0.0,7237.528787558511,core_leveraged,0.5,1.0,10864.14480501556,0.1357687195549897,1.0,1.0,0.0303668338867363,0.0023189209829275,primary,UBRL,False,,,1.0,0.0,,False,0.0,0.0,8662.060532320456,5770.533584318689,-2891.526948001768,5770.533584318689,-2891.526948001768,haircut,haircut,-2202.084272695105,1.254221759877865,normal,False,False,False,8662.060532320456,5770.533584318689,-2891.526948001768,2026-03-21
VRTL,VRT,1.982098,248,ols,0.0427829999999999,-0.006383,0.0491659999999999,1000,0.0491659999999999,False,False,False,True,False,False,False,True,False,False,False,False,1.254486,0.503298,0.655142,0.417754,0.50194,0.454132,0.452774,0.4955245,0.5946294,0.5,0.5946294,0.454132,net_decay_annual,0.0491659999999999,ETF_LS,24338.353982161098,-12279.087099710054,24338.353982161098,-12279.087099710054,24338.353982161098,0.0,-0.0,24338.353982161098,core_leveraged,0.5,1.0,36617.44108187115,0.2718555869340145,1.0,1.0,0.1023509692338773,0.0078158892383929,primary,,False,,,1.0,0.0,,False,0.0,0.0,27719.96075368231,18424.50475133688,-9295.456002345434,18424.50475133688,-9295.456002345434,haircut,haircut,-8897.480328188838,1.320977378260065,normal,False,False,False,27719.96075368231,18424.50475133688,-9295.456002345434,2026-03-21
HOYY,HOOD,0.519538,118,ols,0.18015,-0.14375,0.3238999999999999,30000,0.3238999999999999,False,False,False,False,True,False,False,False,True,True,False,False,0.418961,0.530704,0.703707,0.061806,0.281369,0.206804,-0.0425309999999999,0.1298845,0.1558614,0.5,0.5,0.206804,net_decay_annual,0.3238999999999999,ETF_LS,0.0,0.0,0.0,0.0,36681.63528614693,0.0,-0.0,36681.63528614693,core_leveraged,,,0.0,,,,,,,,,,,,,,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none,none,0.0,1.0,reduce_only,True,False,False,0.0,0.0,0.0,2026-03-21
FBYY,META,0.62885,102,ols,,,,0,0.0,False,True,True,False,True,False,True,False,True,True,True,False,0.269455,0.546283,0.352025,0.014462,0.229723,,,0.1572125,1.0,0.5,1.0,0.229723,net_decay_annual,,ETF_LS,0.0,0.0,0.0,0.0,1900.4287754819445,0.0,-0.0,1900.4287754819445,core_leveraged,,,0.0,,,,,,,,,,,,,,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none,none,0.0,1.0,reduce_only,True,False,False,0.0,0.0,0.0,2026-03-21
DISO,DIS,0.757533,500,ols,0.178689,-0.142289,0.320978,20000,0.320978,False,False,False,False,True,False,False,False,True,True,False,False,0.220424,0.0046,0.275638,0.006978,0.0046,-0.316378,-0.316378,0.18938325,0.2272599,0.5,0.5,-0.316378,net_decay_annual,0.320978,ETF_LS,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,core_leveraged,,,0.0,,,,,,,,,,,,,,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none,none,0.0,1.0,reduce_only,True,False,False,0.0,0.0,0.0,2026-03-21
