ETF,Underlying,Delta,Delta_n_obs,Delta_source,borrow_fee_annual,borrow_rebate_annual,borrow_net_annual,shares_available,borrow_current,borrow_spiking,borrow_missing_from_ftp,protected,borrow_leq_low,borrow_gt_low,protected_ok,protected_bad,include_for_algo,purgatory,exclude_borrow_gt_low,exclude_no_shares,exclude_borrow_spike,vol_underlying_annual,vol_etf_annual,gross_decay_annual,net_decay_annual,net_edge_p50_annual,edge_used_for_prod_replay,blended_gross_decay,borrow_annual,strategy_tag,long_usd,short_usd,underlying_target_usd,etf_target_usd,underlying_target_from_b12_usd,underlying_target_from_b4_usd,underlying_internalized_usd,underlying_external_trade_usd,sleeve,b1_trend_xsec_pctile,b1_trend_multiplier,gross_target_usd,wrapper_utility,shared_underlying_group_size,shared_underlying_wrapper_rank,shared_underlying_group_score,shared_underlying_weight_pre_caps,shared_underlying_allocation_reason,shared_underlying_incumbent,shared_underlying_switch_blocked,shared_underlying_capacity_usd,shared_underlying_capacity_binding,pair_override_gross_mult,pair_override_hedge_add,pair_override_note,ratchet_released,ratchet_trim_lambda,ratchet_trim_usd,optimal_gross_target_usd,optimal_long_usd,optimal_short_usd,optimal_underlying_target_usd,optimal_etf_target_usd,optimal_binding_cap,binding_cap,liquidity_gap_usd,executable_pct_of_optimal,execution_policy,reduce_only,keep_open,hard_exit,model_gross_target_usd,model_long_usd,model_short_usd,_plan_date
CRMU,CRML,1.88682,13,ols_short_history,0.11143,-0.07513,0.18656,6000,0.18656,False,False,False,False,True,False,False,False,False,True,False,False,1.573116,1.816618,1.498973,1.312413,1.312413,net_decay_annual,,0.18656,ETF_LS,275589.62907282065,-146060.3709271794,275589.62907282065,-146060.3709271794,275589.62907282065,0.0,-0.0,275589.62907282065,core_leveraged,0.5,1.0,421650.00000000006,0.8152159539453279,1.0,1.0,0.6994024882403405,0.09,primary,CRMU,False,,,1.0,0.0,,False,0.0,0.0,421649.99999999977,275589.6290728205,-146060.37092717932,275589.6290728205,-146060.37092717932,haircut,pair_cap,-2.9103830456733704e-10,1.0000000000000009,normal,False,False,False,421649.99999999977,275589.6290728205,-146060.37092717932,2026-03-02
UECG,UEC,1.891728,13,ols_short_history,0.046534,-0.010234,0.056768,300,0.056768,False,False,False,True,False,False,False,True,False,False,True,False,0.695335,0.797016,1.101053,1.044285,1.044285,net_decay_annual,,0.056768,ETF_LS,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,core_leveraged,0.5,1.0,0.0,-inf,1.0,,0.0,0.0,not_selected,,False,,,1.0,0.0,,False,0.0,0.0,421649.99999999977,275837.530777445,-145812.4692225547,275837.530777445,-145812.4692225547,haircut,haircut,421649.99999999977,0.0,normal,False,False,False,421649.99999999977,275837.530777445,-145812.4692225547,2026-03-02
DNNG,DNN,1.909641,13,ols_short_history,0.09987,-0.06357,0.16344,100,0.16344,False,False,False,False,True,False,False,False,False,True,True,False,0.604595,0.723958,1.037345,0.8739049999999999,0.8739049999999999,net_decay_annual,,0.16344,ETF_LS,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,core_leveraged,0.5,1.0,0.0,-inf,1.0,,0.0,0.0,not_selected,,False,,,1.0,0.0,,False,0.0,0.0,421649.99999999977,276735.2149801297,-144914.78501987006,276735.2149801297,-144914.78501987006,haircut,haircut,421649.99999999977,0.0,normal,False,False,False,421649.99999999977,276735.2149801297,-144914.78501987006,2026-03-02
RDWU,RDW,1.996074,20,ols_short_history,0.171789,-0.135489,0.307278,4000,0.307278,False,False,False,False,True,False,False,False,False,True,False,False,1.063221,2.412104,0.768983,0.461705,0.461705,net_decay_annual,,0.307278,ETF_LS,280915.825877465,-140734.17412253504,280915.825877465,-140734.17412253504,280915.825877465,0.0,-0.0,280915.825877465,core_leveraged,0.5,1.0,421650.00000000006,0.2749363099014059,1.0,1.0,0.1043893453401208,0.09,primary,RDWU,False,,,1.0,0.0,,False,0.0,0.0,224164.4506501528,149345.05344896455,-74819.3972011882,149345.05344896455,-74819.3972011882,haircut,pair_cap,-197485.54934984728,1.8809851373715696,normal,False,False,False,224164.4506501528,149345.05344896455,-74819.3972011882,2026-03-02
GDXU,GDX,3.045716,499,ols,0.027677,0.0086229999999999,0.019054,30000,0.019054,False,False,False,True,False,False,False,True,False,False,False,False,0.373158,1.139542,0.197298,0.178244,0.178244,net_decay_annual,,0.019054,ETF_LS,53678.611974411535,-17624.299827827523,53678.611974411535,-17624.299827827523,53678.611974411535,0.0,-0.0,53678.611974411535,core_leveraged,0.5,1.0,71302.91180223906,0.0773121705076333,1.0,1.0,0.0113353194969048,0.0152194048670734,primary,GDXU,False,,,1.0,0.0,,False,0.0,0.0,40484.67125024068,30477.871155958062,-10006.800094282617,30477.871155958062,-10006.800094282617,haircut,haircut,-30818.24055199838,1.7612323281942217,normal,False,False,False,40484.67125024068,30477.871155958062,-10006.800094282617,2026-03-02
MRNX,MRNA,2.033235,17,ols_short_history,0.059836,-0.023536,0.083372,500,0.083372,False,False,False,False,True,False,False,False,True,True,True,False,0.660872,1.018994,0.231062,0.14769,0.14769,net_decay_annual,,0.083372,ETF_LS,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,core_leveraged,,,0.0,,,,,,,,,,,,,,False,0.0,0.0,31693.388509308294,21244.679949203888,-10448.70856010441,21244.679949203888,-10448.70856010441,haircut,none,31693.388509308294,0.0,reduce_only,True,False,False,31693.388509308294,21244.679949203888,-10448.70856010441,2026-03-02
PLUL,PLUG,1.978401,32,ols,0.0485149999999999,-0.012215,0.0607299999999999,500,0.0607299999999999,False,False,False,True,False,False,False,True,False,False,True,False,1.031174,1.770821,0.401776,0.341046,0.341046,net_decay_annual,,0.0607299999999999,ETF_LS,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,core_leveraged,0.5,1.0,0.0,-inf,1.0,,0.0,0.0,not_selected,,False,,,1.0,0.0,,False,0.0,0.0,168634.24421693952,112015.19116903243,-56619.05304790708,112015.19116903243,-56619.05304790708,haircut,haircut,168634.24421693952,0.0,normal,False,False,False,168634.24421693952,112015.19116903243,-56619.05304790708,2026-03-02
ALBG,ALB,1.995735,32,ols,0.1012219999999999,-0.064922,0.166144,1000,0.166144,False,False,False,False,True,False,False,False,False,True,False,False,0.60587,1.326465,0.389122,0.222978,0.222978,net_decay_annual,,0.166144,ETF_LS,122418.33994266827,-61339.97747329594,122418.33994266827,-61339.97747329594,122418.33994266827,0.0,-0.0,122418.33994266827,core_leveraged,0.5,1.0,183758.3174159642,0.1327959592475781,1.0,1.0,0.0292128215450829,0.0392226931517532,primary,,False,,,1.0,0.0,,False,0.0,0.0,60128.87022186381,40057.37851052626,-20071.49171133756,40057.37851052626,-20071.49171133756,haircut,haircut,-123629.4471941004,2.0,normal,False,False,False,60128.87022186381,40057.37851052626,-20071.49171133756,2026-03-02
HUTG,HUT,1.99656,32,ols,0.0922969999999999,-0.055997,0.1482939999999999,7000,0.1482939999999999,False,False,False,False,True,False,False,False,False,True,False,False,1.005301,2.157563,0.27696,0.128666,0.128666,net_decay_annual,,0.1482939999999999,ETF_LS,46749.17294504478,-23414.86003177705,46749.17294504478,-23414.86003177705,46749.17294504478,0.0,-0.0,46749.17294504478,core_leveraged,0.5,1.0,70164.03297682184,0.076604101882287,1.0,1.0,0.0111542672084629,0.0149763144027367,primary,,False,,,1.0,0.0,,False,0.0,0.0,18172.39131188369,12107.973675699635,-6064.417636184056,12107.973675699635,-6064.417636184056,haircut,haircut,-51991.64166493814,2.0,normal,False,False,False,18172.39131188369,12107.973675699635,-6064.417636184056,2026-03-02
RKTL,RKT,1.944671,32,ols,0.037308,-0.001008,0.038316,7000,0.038316,False,False,False,True,False,False,False,True,False,False,False,False,0.562479,1.335245,0.556649,0.5183329999999999,0.5183329999999999,net_decay_annual,,0.038316,ETF_LS,278459.1307993321,-143190.86920066792,278459.1307993321,-143190.86920066792,278459.1307993321,0.0,-0.0,278459.1307993321,core_leveraged,0.5,1.0,421650.00000000006,0.3147561728163406,1.0,1.0,0.1322680491204333,0.09,primary,RKTL,False,,,1.0,0.0,,False,0.0,0.0,372497.29006914806,245998.50970653776,-126498.78036261033,245998.50970653776,-126498.78036261033,haircut,pair_cap,-49152.709930852,1.1319545436739356,normal,False,False,False,372497.29006914806,245998.50970653776,-126498.78036261033,2026-03-02
