ETF,Underlying,Delta,Delta_n_obs,Delta_source,borrow_fee_annual,borrow_rebate_annual,borrow_net_annual,shares_available,borrow_current,borrow_spiking,borrow_missing_from_ftp,protected,borrow_leq_low,borrow_gt_low,protected_ok,protected_bad,include_for_algo,purgatory,exclude_borrow_gt_low,exclude_no_shares,exclude_borrow_spike,vol_etf_annual,gross_decay_annual,vol_underlying_annual,expected_gross_decay_annual,blended_gross_decay,net_decay_annual,decay_score,maint_pct_long,maint_pct_short,init_pct_long,init_pct_short,net_edge_p50_annual,edge_used_for_prod_replay,borrow_annual,strategy_tag,long_usd,short_usd,underlying_target_usd,etf_target_usd,underlying_target_from_b12_usd,underlying_target_from_b4_usd,underlying_internalized_usd,underlying_external_trade_usd,sleeve,b1_trend_xsec_pctile,b1_trend_multiplier,gross_target_usd,pair_override_gross_mult,pair_override_hedge_add,pair_override_note,ratchet_released,ratchet_trim_lambda,ratchet_trim_usd,optimal_gross_target_usd,optimal_long_usd,optimal_short_usd,optimal_underlying_target_usd,optimal_etf_target_usd,optimal_binding_cap,binding_cap,liquidity_gap_usd,executable_pct_of_optimal,keep_open,_plan_date
METU,META,1.998741,437,ols,0.073723,-0.037423,0.111146,150000,0.111146,False,False,False,True,False,False,False,True,False,False,False,False,0.708683,0.235004,0.353522,0.124742,0.235004,0.123858,0.123858,0.49968525,0.5996223,0.5,0.5996223,0.123858,net_decay_annual,0.111146,ETF_LS,1105.5693124443385,-553.1328533533551,1105.5693124443385,-553.1328533533551,4843.5177271076855,0.0,-0.0,4843.5177271076855,core_leveraged,0.5,1.0,1658.7021657976936,1.0,0.0,,False,0.0,0.0,1653.0050368164773,1101.772023756504,-551.2330130599732,1101.772023756504,-551.2330130599732,haircut,haircut,-5.697128981216338,1.0034465285067664,False,2026-03-06
MSFU,MSFT,1.979748,501,ols,0.035867,0.000433,0.035434,1700000,0.035434,False,False,False,True,False,False,False,True,False,False,False,False,0.476682,0.170365,0.240376,0.056037,0.170365,0.134931,0.134931,0.494937,0.5939244,0.5,0.5939244,0.134931,net_decay_annual,0.035434,ETF_LS,1785.8866149436697,-902.0777467352764,1785.8866149436697,-902.0777467352764,1785.8866149436697,0.0,-0.0,1785.8866149436697,core_leveraged,0.5,1.0,2687.964361678946,1.0,0.0,,False,0.0,0.0,2678.7320353570994,1779.7526467117848,-898.9793886453149,1779.7526467117848,-898.9793886453149,haircut,haircut,-9.232326321846358,1.0034465285067664,False,2026-03-06
MUU,MU,1.99404,350,ols,0.022562,0.0137379999999999,0.008824,200000,0.008824,False,False,False,True,False,False,False,True,False,False,False,False,1.258707,0.509553,0.605907,0.363848,0.509553,0.500729,0.500729,0.49851,0.598212,0.5,0.598212,0.500729,net_decay_annual,0.008824,ETF_LS,19743.3239013328,-9901.167429606629,19743.3239013328,-9901.167429606629,32756.490538702863,0.0,-0.0,32756.490538702863,core_leveraged,0.5,1.0,29644.49133093943,1.0,0.0,,False,0.0,0.0,29542.67167085977,19675.51168941004,-9867.159981449737,19675.51168941004,-9867.159981449737,haircut,haircut,-101.81966007965455,1.0034465285067662,False,2026-03-06
NFXL,NFLX,1.997068,355,ols,0.062761,-0.026461,0.089222,7000,0.089222,False,False,False,True,False,False,False,True,False,False,False,False,0.704615,0.231927,0.328664,0.107545,0.231927,0.142705,0.142705,0.499267,0.5991204,0.5,0.5991204,0.142705,net_decay_annual,0.089222,ETF_LS,1641.6860763239488,-822.0481607656568,1641.6860763239488,-822.0481607656568,3893.315898614396,0.0,-0.0,3893.315898614396,core_leveraged,0.5,1.0,2463.7342370896054,1.0,0.0,,False,0.0,0.0,2455.272071901929,1636.047392347802,-819.2246795541272,1636.047392347802,-819.2246795541272,haircut,haircut,-8.462165187676419,1.003446528506766,False,2026-03-06
NVDU,NVDA,1.973047,501,ols,0.0490679999999999,-0.012768,0.0618359999999999,85000,0.0618359999999999,False,False,False,True,False,False,False,True,False,False,False,False,0.983626,0.355341,0.497821,0.237896,0.355341,0.293505,0.293505,0.49326175,0.5919141,0.5,0.5919141,0.293505,net_decay_annual,0.0618359999999999,ETF_LS,7138.090101291505,-3617.800336885794,7138.090101291505,-3617.800336885794,28813.23926269043,0.0,-0.0,28813.23926269043,core_leveraged,0.5,1.0,10755.8904381773,1.0,0.0,,False,0.0,0.0,10718.94728081146,7113.5729692679615,-3605.374311543497,7113.5729692679615,-3605.374311543497,haircut,haircut,-36.94315736584031,1.0034465285067662,False,2026-03-06
ORCU,ORCL,2.008893,72,ols,0.143695,-0.1073949999999999,0.25109,150000,0.25109,False,False,False,True,False,False,False,True,False,False,False,False,1.09386,0.37579,0.512411,0.266078,0.297424,0.1246999999999999,0.0463339999999999,0.50222325,0.6026679,0.50222325,0.6026679,0.1246999999999999,net_decay_annual,0.25109,ETF_LS,511.5922640960291,-254.6637695965037,511.5922640960291,-254.6637695965037,511.5922640960291,0.0,-0.0,511.5922640960291,core_leveraged,0.5,1.0,766.2560336925328,1.0,0.0,,False,0.0,0.0,763.6241811836275,509.8351028802024,-253.789078303425,509.8351028802024,-253.789078303425,haircut,haircut,-2.6318525089053537,1.0034465285067662,False,2026-03-06
PALU,PANW,2.005108,236,ols,0.053552,-0.017252,0.070804,350000,0.070804,False,False,False,True,False,False,False,True,False,False,False,False,0.725448,0.243364,0.34032,0.116707,0.235322,0.17256,0.164518,0.501277,0.6015324,0.501277,0.6015324,0.17256,net_decay_annual,0.070804,ETF_LS,2546.000288590362,-1269.7571844461056,2546.000288590362,-1269.7571844461056,3999.1304188579225,0.0,-0.0,3999.1304188579225,core_leveraged,0.5,1.0,3815.757473036467,1.0,0.0,,False,0.0,0.0,3802.651526150292,2537.255564956787,-1265.3959611935054,2537.255564956787,-1265.3959611935054,haircut,haircut,-13.105946886174934,1.0034465285067662,False,2026-03-06
PLTU,PLTR,1.991591,307,ols,0.049883,-0.013583,0.063466,100000,0.063466,False,False,False,True,False,False,False,True,False,False,False,False,1.301205,0.512946,0.624939,0.385636,0.512946,0.44948,0.44948,0.49789775,0.5974773,0.5,0.5974773,0.44948,net_decay_annual,0.063466,ETF_LS,15474.72764932551,-7770.032928108989,15474.72764932551,-7770.032928108989,46560.82700576572,0.0,-0.0,46560.82700576572,core_leveraged,0.5,1.0,23244.7605774345,1.0,0.0,,False,0.0,0.0,23164.92201335845,15421.576745453029,-7743.345267905422,15421.576745453029,-7743.345267905422,haircut,haircut,-79.83856407605344,1.0034465285067662,False,2026-03-06
QCMU,QCOM,2.001509,175,ols,0.022862,0.013438,0.009424,15000,0.009424,False,False,False,True,False,False,False,True,False,False,False,False,0.663421,0.207076,0.38496,0.14853,0.189187,0.197652,0.179763,0.50037725,0.6004527,0.50037725,0.6004527,0.197652,net_decay_annual,0.009424,ETF_LS,3823.916486318626,-1910.5167582652016,3823.916486318626,-1910.5167582652016,3823.916486318626,0.0,-0.0,3823.916486318626,core_leveraged,0.5,1.0,5734.433244583828,1.0,0.0,,False,0.0,0.0,5714.737239778253,3810.782515745024,-1903.9547240332288,3810.782515745024,-1903.9547240332288,haircut,haircut,-19.696004805575285,1.0034465285067664,False,2026-03-06
SHPU,SHOP,2.009905,146,ols,0.169217,-0.132917,0.302134,60000,0.302134,False,False,False,False,True,False,False,False,True,True,False,False,1.028933,0.353176,0.573948,0.334327,0.345247,0.0510419999999999,0.043113,0.50247625,0.6029714999999999,0.50247625,0.6029714999999999,0.0510419999999999,net_decay_annual,0.302134,ETF_LS,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,core_leveraged,,,0.0,,,,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none,none,0.0,1.0,True,2026-03-06
TSLL,TSLA,1.98677,501,ols,0.0710649999999999,-0.034765,0.10583,750000,0.10583,False,False,False,True,False,False,False,True,False,False,False,False,1.246005,0.49185,0.62679,0.385104,0.49185,0.38602,0.38602,0.4966925,0.596031,0.5,0.596031,0.38602,net_decay_annual,0.10583,ETF_LS,11161.835178263433,-5618.081196244876,11161.835178263433,-5618.081196244876,41591.15363119545,0.0,-0.0,41591.15363119545,core_leveraged,0.5,1.0,16779.91637450831,1.0,0.0,,False,0.0,0.0,16722.282550998094,11123.497726254946,-5598.784824743149,11123.497726254946,-5598.784824743149,haircut,haircut,-57.63382351021573,1.0034465285067664,False,2026-03-06
YINN,FXI,2.974051,501,ols,0.017034,0.019266,0.0,1200000,0.0,False,False,False,True,False,False,False,True,False,False,False,False,0.855065,0.367747,0.286814,0.241478,0.367747,0.367747,0.367747,0.74351275,0.8922152999999999,0.74351275,0.8922152999999999,0.367747,net_decay_annual,0.0,ETF_LS,9651.836613164693,-3245.350067354156,9651.836613164693,-3245.350067354156,9651.836613164693,0.0,-0.0,9651.836613164693,core_leveraged,0.5,1.0,12897.186680518847,1.0,0.0,,False,0.0,0.0,12852.888832762432,9618.685539256025,-3234.203293506408,9618.685539256025,-3234.203293506408,haircut,haircut,-44.29784775641565,1.0034465285067664,False,2026-03-06
MEXX,EWW,2.953237,501,ols,0.041918,-0.005618,0.0475359999999999,15000,0.0475359999999999,False,False,False,True,False,False,False,True,False,False,False,False,0.724571,0.286055,0.244738,0.172753,0.286055,0.238519,0.238519,0.73830925,0.8859711,0.73830925,0.8859711,0.238519,net_decay_annual,0.0475359999999999,ETF_LS,4151.8269307666815,-1405.8563301105469,4151.8269307666815,-1405.8563301105469,4151.8269307666815,0.0,-0.0,4151.8269307666815,core_leveraged,0.5,1.0,5557.683260877229,1.0,0.0,,False,0.0,0.0,5538.594337605258,4137.566689223626,-1401.027648381632,4137.566689223626,-1401.027648381632,haircut,haircut,-19.088923271971,1.0034465285067664,False,2026-03-06
KORU,EWY,2.944466,501,ols,0.104235,-0.067935,0.17217,200000,0.17217,False,False,False,True,False,False,False,True,False,False,False,False,0.82863,0.339301,0.281098,0.2262,0.339301,0.167131,0.167131,0.7361165,0.8833397999999999,0.7361165,0.8833397999999999,0.167131,net_decay_annual,0.17217,ETF_LS,1449.0684715627183,-492.1328592562178,1449.0684715627183,-492.1328592562178,1449.0684715627183,0.0,-0.0,1449.0684715627183,core_leveraged,0.5,1.0,1941.2013308189364,1.0,0.0,,False,0.0,0.0,1934.533904569532,1444.091369491391,-490.4425350781403,1444.091369491391,-490.4425350781403,haircut,haircut,-6.667426249404571,1.0034465285067662,False,2026-03-06
