ETF,Underlying,Delta,Delta_n_obs,Delta_source,borrow_fee_annual,borrow_rebate_annual,borrow_net_annual,shares_available,borrow_current,borrow_spiking,borrow_missing_from_ftp,protected,borrow_leq_low,borrow_gt_low,protected_ok,protected_bad,include_for_algo,purgatory,exclude_borrow_gt_low,exclude_no_shares,exclude_borrow_spike,vol_underlying_annual,vol_etf_annual,gross_decay_annual,net_decay_annual,net_edge_p50_annual,edge_used_for_prod_replay,blended_gross_decay,borrow_annual,strategy_tag,long_usd,short_usd,underlying_target_usd,etf_target_usd,underlying_target_from_b12_usd,underlying_target_from_b4_usd,underlying_internalized_usd,underlying_external_trade_usd,sleeve,b1_trend_xsec_pctile,b1_trend_multiplier,gross_target_usd,wrapper_utility,shared_underlying_group_size,shared_underlying_wrapper_rank,shared_underlying_group_score,shared_underlying_weight_pre_caps,shared_underlying_allocation_reason,shared_underlying_incumbent,shared_underlying_switch_blocked,shared_underlying_capacity_usd,shared_underlying_capacity_binding,pair_override_gross_mult,pair_override_hedge_add,pair_override_note,ratchet_released,ratchet_trim_lambda,ratchet_trim_usd,optimal_gross_target_usd,optimal_long_usd,optimal_short_usd,optimal_underlying_target_usd,optimal_etf_target_usd,optimal_binding_cap,binding_cap,liquidity_gap_usd,executable_pct_of_optimal,execution_policy,reduce_only,keep_open,hard_exit,model_gross_target_usd,model_long_usd,model_short_usd,_plan_date
AMUU,AMD,2.007855,226,ols,0.017752,0.018548,0.0,50000,0.0,False,False,False,True,False,False,False,True,False,False,False,False,0.558717,1.313531,0.120029,0.120029,0.120029,net_decay_annual,,0.0,ETF_LS,100759.02977345114,-50182.42341874843,100759.02977345114,-50182.42341874843,100759.02977345114,0.0,-0.0,100759.02977345114,core_leveraged,0.5,1.0,150941.45319219958,0.0711601619891163,1.0,1.0,0.0098042555808755,0.0322180262950265,primary,AMUU,False,,,1.0,0.0,,False,0.0,0.0,92236.00073498535,61570.95845901615,-30665.0422759692,61570.95845901615,-30665.0422759692,haircut,haircut,-58705.45245721423,1.6364700549613822,normal,False,False,False,92236.00073498535,61570.95845901615,-30665.0422759692,2026-02-28
BABU,BABA,2.024742,10,ols_short_history,0.067841,-0.031541,0.099382,200,0.099382,False,False,False,False,True,False,False,False,True,True,True,False,0.438939,0.369917,0.067062,-0.03232,-0.03232,net_decay_annual,,0.099382,ETF_LS,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,core_leveraged,,,0.0,,,,,,,,,,,,,,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none,none,0.0,1.0,reduce_only,True,False,False,0.0,0.0,0.0,2026-02-28
METU,META,1.998657,432,ols,0.064489,-0.028189,0.092678,300000,0.092678,False,False,False,False,True,False,False,False,True,True,False,False,0.353455,0.710616,0.115385,0.0227069999999999,0.0227069999999999,net_decay_annual,,0.092678,ETF_LS,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,core_leveraged,,,0.0,,,,,,,,,,,,,,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none,none,0.0,1.0,reduce_only,True,False,False,0.0,0.0,0.0,2026-02-28
PALU,PANW,2.005113,231,ols,0.060551,-0.024251,0.084802,400000,0.084802,False,False,False,False,True,False,False,False,True,True,False,False,0.341069,0.72475,0.109061,0.024259,0.024259,net_decay_annual,,0.084802,ETF_LS,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,core_leveraged,,,0.0,,,,,,,,,,,,,,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none,none,0.0,1.0,reduce_only,True,False,False,0.0,0.0,0.0,2026-02-28
YINN,FXI,2.972911,501,ols,0.015154,0.0211459999999999,0.0,800000,0.0,False,False,False,True,False,False,False,True,False,False,False,False,0.287291,0.856163,0.127138,0.127138,0.127138,net_decay_annual,,0.0,ETF_LS,74627.28244902017,-25102.427367997287,74627.28244902017,-25102.427367997287,74627.28244902017,0.0,-0.0,74627.28244902017,core_leveraged,0.5,1.0,99729.70981701749,0.056155066300657,1.0,1.0,0.0064778464985861,0.0212870245073676,primary,YINN,False,,,1.0,0.0,,False,0.0,0.0,75996.63641205158,56867.93294699747,-19128.703465054103,56867.93294699747,-19128.703465054103,haircut,haircut,-23733.073404965893,1.3122911029415285,normal,False,False,False,75996.63641205158,56867.93294699747,-19128.703465054103,2026-02-28
SOXL,SOXX,2.959678,501,ols,0.008659,0.027641,0.0,1100000,0.0,False,False,False,True,False,False,False,True,False,False,False,False,0.375919,1.113555,0.130001,0.130001,0.130001,net_decay_annual,,0.0,ETF_LS,77960.9010329059,-26341.00771533454,77960.9010329059,-26341.00771533454,77960.9010329059,0.0,-0.0,77960.9010329059,core_leveraged,0.5,1.0,104301.90874824044,0.0576120521055138,1.0,1.0,0.0067748292421618,0.0222629474382583,primary,SOXL,False,,,1.0,0.0,,False,0.0,0.0,79281.57326773005,59259.345887693074,-20022.227380036977,59259.345887693074,-20022.227380036977,haircut,haircut,-25020.335480510388,1.3155882817312154,normal,False,False,False,79281.57326773005,59259.345887693074,-20022.227380036977,2026-02-28
ERX,XLE,1.986013,501,ols,0.06232,-0.0260199999999999,0.08834,15000,0.08834,False,False,False,False,True,False,False,False,True,True,False,False,0.219328,0.436202,0.061517,-0.026823,-0.026823,net_decay_annual,,0.08834,ETF_LS,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,core_leveraged,,,0.0,,,,,,,,,,,,,,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none,none,0.0,1.0,reduce_only,True,False,False,0.0,0.0,0.0,2026-02-28
URAA,URA,1.932605,419,ols,0.024885,0.011415,0.01347,30000,0.01347,False,False,False,True,False,False,False,True,False,False,False,False,0.429707,0.870951,0.188771,0.1753009999999999,0.1753009999999999,net_decay_annual,,0.01347,ETF_LS,202928.6201781013,-105002.6364301558,202928.6201781013,-105002.6364301558,202928.6201781013,0.0,-0.0,202928.6201781013,core_leveraged,0.5,1.0,307931.25660825707,0.1069490840373945,1.0,1.0,0.0200013758797146,0.0657270558395426,primary,URAA,False,,,1.0,0.0,,False,0.0,0.0,178021.49882139557,117317.27891404508,-60704.21990735048,117317.27891404508,-60704.21990735048,haircut,haircut,-129909.7577868615,1.729741961768318,normal,False,False,False,178021.49882139557,117317.27891404508,-60704.21990735048,2026-02-28
MSFX,MSFT,2.008453,501,ols,0.0660419999999999,-0.029742,0.095784,7000,0.095784,False,False,False,False,True,False,False,False,True,True,False,False,0.240919,0.485383,0.130859,0.035075,0.035075,net_decay_annual,,0.095784,ETF_LS,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,core_leveraged,,,0.0,,,,,,,,,,,,,,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none,none,0.0,1.0,reduce_only,True,False,False,0.0,0.0,0.0,2026-02-28
SMUP,SMR,2.062125,148,ols,0.17711,-0.14081,0.31792,9600000,0.31792,False,False,False,False,True,False,False,False,False,True,False,False,1.243219,2.406518,1.37871,1.06079,1.06079,net_decay_annual,,0.31792,ETF_LS,283951.50630689465,-137698.49369310524,283951.50630689465,-137698.49369310524,283951.50630689465,0.0,-0.0,283951.50630689465,core_leveraged,0.5,1.0,421650.0,0.6164433564551952,1.0,1.0,0.4288575486183212,0.09,preferred_wrapper,SMUP,False,,,1.0,0.0,,False,0.0,0.0,421650.0,283951.5063068947,-137698.4936931053,283951.5063068947,-137698.4936931053,pair_cap,pair_cap,5.820766091346741e-11,1.0,normal,False,False,False,421650.0,283951.5063068947,-137698.4936931053,2026-02-28
