ETF,Underlying,Delta,Delta_n_obs,Delta_source,borrow_fee_annual,shares_available,borrow_current,borrow_spiking,borrow_missing_from_ftp,borrow_price_ref,borrow_current_raw_annual,borrow_floor_factor,protected,borrow_leq_low,borrow_gt_low,protected_ok,protected_bad,purgatory,exclude_borrow_gt_low,exclude_no_shares,exclude_borrow_spike,vol_etf_annual,gross_decay_annual,vol_underlying_annual,expected_gross_decay_annual,blended_gross_decay,net_decay_annual,decay_score,maint_pct_long,maint_pct_short,init_pct_long,init_pct_short,net_edge_p50_annual,edge_used_for_prod_replay,borrow_annual,strategy_tag,long_usd,short_usd,underlying_target_usd,etf_target_usd,underlying_target_from_b12_usd,underlying_target_from_b4_usd,underlying_internalized_usd,underlying_external_trade_usd,sleeve,b1_trend_xsec_pctile,b1_trend_multiplier,gross_target_usd,pair_override_gross_mult,pair_override_hedge_add,pair_override_note,ratchet_released,ratchet_trim_lambda,ratchet_trim_usd,optimal_gross_target_usd,optimal_long_usd,optimal_short_usd,optimal_underlying_target_usd,optimal_etf_target_usd,optimal_binding_cap,binding_cap,liquidity_gap_usd,executable_pct_of_optimal,keep_open,_plan_date
FLYT,FLY,1.991823,115,ols,0.1898849999999999,700,0.1898849999999999,False,False,25.959999084472656,0.1898849999999999,1.0,False,True,False,False,False,False,False,True,False,2.341793,1.464944,1.096402,1.187393,1.314053,1.2750590000000002,1.124168,0.49795575,0.5975469,0.5,0.5975469,1.2750590000000002,net_decay_annual,0.1898849999999999,ETF_LS,36195.4062795021,-18171.999359130856,36195.4062795021,-18171.999359130856,36195.4062795021,0.0,-0.0,36195.4062795021,core_leveraged,0.5,1.0,54367.40563863297,1.0,0.0,,False,0.0,0.0,60502.15014513339,40279.64696057555,-20222.50318455784,40279.64696057555,-20222.50318455784,haircut,shares_available,6134.744506500421,0.8986028679677612,False,2026-04-11
GEVX,GEV,1.99741,188,ols,0.048622,6000,0.048622,False,False,66.66000366210938,0.048622,1.0,False,True,False,False,False,False,False,False,False,1.005619,0.319897,0.5265,0.276126,0.308781,0.271275,0.260159,0.4993525,0.599223,0.5,0.599223,0.271275,net_decay_annual,0.048622,ETF_LS,2644.6166848143457,-1324.0229521301817,2644.6166848143457,-1324.0229521301817,3785.31227654365,0.0,-0.0,3785.31227654365,core_leveraged,0.5,1.0,3968.639636944527,1.0,0.0,,False,0.0,0.0,3968.6396369445256,2644.616684814345,-1324.022952130181,2644.616684814345,-1324.022952130181,haircut,haircut,-1.3642420526593924e-12,1.0000000000000004,False,2026-04-11
IREX,IREN,1.981774,115,ols,0.311407,15000,0.311407,False,False,22.700000762939453,0.311407,1.0,False,True,False,False,False,False,False,False,False,2.141938,1.375989,1.052432,1.077516,1.213724,1.064582,0.902317,0.4954435,0.5945322,0.5,0.5945322,1.064582,net_decay_annual,0.311407,ETF_LS,27542.476856209512,-13897.889898752084,27542.476856209512,-13897.889898752084,57391.742348020816,0.0,-0.0,57391.742348020816,core_leveraged,0.5,1.0,41440.36675496159,1.0,0.0,,False,0.0,0.0,41440.36675496159,27542.47685620951,-13897.889898752082,27542.47685620951,-13897.889898752082,haircut,haircut,-7.275957614183426e-12,1.0000000000000002,False,2026-04-11
JOBX,JOBY,1.978487,147,ols,0.217741,10000,0.217741,False,False,18.459999084472656,0.217741,1.0,False,True,False,False,False,False,False,False,False,1.427123,0.728168,0.813335,0.64032,0.691565,0.510427,0.4738239999999999,0.49462175,0.5935461,0.5,0.5935461,0.510427,net_decay_annual,0.217741,ETF_LS,7138.8659383285485,-3608.245057121198,7138.8659383285485,-3608.245057121198,7138.8659383285485,0.0,-0.0,7138.8659383285485,core_leveraged,0.5,1.0,10747.110995449746,1.0,0.0,,False,0.0,0.0,10747.110995449742,7138.865938328546,-3608.2450571211966,7138.865938328546,-3608.2450571211966,haircut,haircut,-3.637978807091713e-12,1.0000000000000004,False,2026-04-11
LABX,ALAB,1.997756,166,ols,0.039752,20000,0.039752,False,False,26.950000762939453,0.039752,1.0,False,True,False,False,False,False,False,False,False,1.812287,0.988397,0.914065,0.832705,0.935264,0.948645,0.895512,0.499439,0.5993268,0.5,0.5993268,0.948645,net_decay_annual,0.039752,ETF_LS,25155.55129706308,-12591.90376455537,25155.55129706308,-12591.90376455537,25155.55129706308,0.0,-0.0,25155.55129706308,core_leveraged,0.5,1.0,37747.45506161845,1.0,0.0,,False,0.0,0.0,37747.45506161844,25155.55129706307,-12591.903764555364,25155.55129706307,-12591.903764555364,haircut,haircut,-1.4551915228366852e-11,1.0000000000000004,False,2026-04-11
LRCU,LRCX,2.036831,161,ols,0.07206,15000,0.07206,False,False,46.75,0.07206,1.0,False,True,False,False,False,False,False,False,False,1.11366,0.444045,0.505157,0.269455,0.380999,0.371985,0.3089389999999999,0.50920775,0.6110492999999999,0.50920775,0.6110492999999999,0.371985,net_decay_annual,0.07206,ETF_LS,4527.686344714177,-2222.9072243667624,4527.686344714177,-2222.9072243667624,4527.686344714177,0.0,-0.0,4527.686344714177,core_leveraged,0.5,1.0,6750.593569080939,1.0,0.0,,False,0.0,0.0,6750.5935690809365,4527.686344714175,-2222.907224366761,4527.686344714175,-2222.907224366761,haircut,haircut,-2.7284841053187847e-12,1.0000000000000004,False,2026-04-11
MDBX,MDB,1.989631,161,ols,0.089405,200,0.089405,False,False,16.514999389648438,0.089405,1.0,False,True,False,False,False,False,False,True,False,1.540892,0.633547,0.670865,0.443084,0.564769,0.544142,0.4753639999999999,0.49740775,0.5968893,0.5,0.5968893,0.544142,net_decay_annual,0.089405,ETF_LS,6571.7509501251225,-3302.999877929688,6571.7509501251225,-3302.999877929688,6571.7509501251225,0.0,-0.0,6571.7509501251225,core_leveraged,0.5,1.0,9874.75082805481,1.0,0.0,,False,0.0,0.0,13548.966356787812,9016.980182979803,-4531.98617380801,9016.980182979803,-4531.98617380801,haircut,shares_available,3674.2155287330015,0.7288194957475645,False,2026-04-11
NEBX,NBIS,1.997921,147,ols,0.062041,8000,0.062041,False,False,61.25,0.062041,1.0,False,True,False,False,False,False,False,False,False,1.882137,0.989419,1.112607,1.234037,1.091343,0.927378,1.029302,0.49948025,0.5993763,0.5,0.5993763,0.927378,net_decay_annual,0.062041,ETF_LS,23909.58581473516,-11967.232845910905,23909.58581473516,-11967.232845910905,80652.13504773565,0.0,-0.0,80652.13504773565,core_leveraged,0.5,1.0,35876.818660646066,1.0,0.0,,False,0.0,0.0,35876.81866064605,23909.585814735157,-11967.2328459109,23909.585814735157,-11967.2328459109,haircut,haircut,-1.4551915228366852e-11,1.0000000000000004,False,2026-04-11
NNEX,NNE,1.98958,100,ols,0.131107,600,0.131107,False,False,5.670000076293945,0.131107,1.0,False,True,False,False,False,False,False,True,False,1.677489,0.8478,1.508168,2.239143,1.687023,0.716693,1.555916,0.497395,0.5968739999999999,0.5,0.5968739999999999,0.716693,net_decay_annual,0.131107,ETF_LS,6768.551251075744,-3402.000045776367,6768.551251075744,-3402.000045776367,6768.551251075744,0.0,-0.0,6768.551251075744,core_leveraged,0.5,1.0,10170.55129685211,1.0,0.0,,False,0.0,0.0,21754.59340405751,14477.787496853984,-7276.805907203523,14477.787496853984,-7276.805907203523,haircut,shares_available,11584.042107205398,0.4675128193825573,False,2026-04-11
NVTX,NVTS,1.996466,147,ols,0.2298529999999999,25000,0.2298529999999999,False,False,24.520000457763672,0.2298529999999999,1.0,False,True,False,False,False,False,False,False,False,2.434162,1.627141,1.612461,2.586264,2.026776,1.397288,1.796923,0.4991165,0.5989398,0.5,0.5989398,1.397288,net_decay_annual,0.2298529999999999,ETF_LS,46898.29231462206,-23490.65414318203,46898.29231462206,-23490.65414318203,46898.29231462206,0.0,-0.0,46898.29231462206,core_leveraged,0.5,1.0,70388.9464578041,1.0,0.0,,False,0.0,0.0,70388.94645780406,46898.29231462204,-23490.65414318202,46898.29231462204,-23490.65414318202,haircut,haircut,-2.9103830456733704e-11,1.0000000000000004,False,2026-04-11
