ETF,Underlying,Delta,Delta_n_obs,Delta_source,borrow_fee_annual,borrow_rebate_annual,borrow_net_annual,shares_available,borrow_current,borrow_spiking,borrow_missing_from_ftp,protected,borrow_leq_low,borrow_gt_low,protected_ok,protected_bad,include_for_algo,purgatory,exclude_borrow_gt_low,exclude_no_shares,exclude_borrow_spike,vol_etf_annual,gross_decay_annual,vol_underlying_annual,expected_gross_decay_annual,blended_gross_decay,net_decay_annual,decay_score,maint_pct_long,maint_pct_short,init_pct_long,init_pct_short,net_edge_p50_annual,edge_used_for_prod_replay,borrow_annual,strategy_tag,long_usd,short_usd,underlying_target_usd,etf_target_usd,underlying_target_from_b12_usd,underlying_target_from_b4_usd,underlying_internalized_usd,underlying_external_trade_usd,sleeve,b1_trend_xsec_pctile,b1_trend_multiplier,gross_target_usd,wrapper_utility,shared_underlying_group_size,shared_underlying_wrapper_rank,shared_underlying_group_score,shared_underlying_weight_pre_caps,shared_underlying_allocation_reason,shared_underlying_incumbent,shared_underlying_switch_blocked,shared_underlying_capacity_usd,shared_underlying_capacity_binding,pair_override_gross_mult,pair_override_hedge_add,pair_override_note,ratchet_released,ratchet_trim_lambda,ratchet_trim_usd,optimal_gross_target_usd,optimal_long_usd,optimal_short_usd,optimal_underlying_target_usd,optimal_etf_target_usd,optimal_binding_cap,binding_cap,liquidity_gap_usd,executable_pct_of_optimal,execution_policy,reduce_only,keep_open,hard_exit,model_gross_target_usd,model_long_usd,model_short_usd,_plan_date
AMUU,AMD,2.00782,240,ols,0.037147,-0.000747,0.037894,30000,0.037894,False,False,False,True,False,False,False,True,False,False,False,False,1.29483,0.493943,0.555519,0.312231,0.48529,0.456049,0.447396,0.501955,0.602346,0.501955,0.602346,0.456049,net_decay_annual,0.037894,ETF_LS,26436.177282457385,-13166.60720704913,26436.177282457385,-13166.60720704913,26436.177282457385,0.0,-0.0,26436.177282457385,core_leveraged,0.5,1.0,39602.78448950651,0.2703758674524328,2.0,1.0,0.1013780352510354,0.008453102345679,primary,AMUU,False,421650.0,pair_cap,1.0,0.0,,False,0.0,0.0,57361.31817905488,38290.589817964494,-19070.728361090383,38290.589817964494,-19070.728361090383,haircut,haircut,17758.533689548363,0.6904092469752067,normal,False,False,False,57361.31817905488,38290.589817964494,-19070.728361090383,2026-03-20
AMZU,AMZN,1.986997,500,ols,0.042261,-0.005861,0.048122,100000,0.048122,False,False,False,True,False,False,False,True,False,False,False,False,0.629437,0.210709,0.316608,0.098294,0.210709,0.162587,0.162587,0.49674925,0.5960991,0.5,0.5960991,0.162587,net_decay_annual,0.048122,ETF_LS,4392.994082260373,-2210.8710190606093,4392.994082260373,-2210.8710190606093,4392.994082260373,0.0,-0.0,4392.994082260373,core_leveraged,0.5,1.0,6603.865101320982,0.0971489048321298,2.0,1.0,0.0169050453816497,0.0014095763289906,primary,AMZU,False,421650.0,pair_cap,1.0,0.0,,False,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,haircut,haircut,-6603.865101320982,1.0,normal,False,False,False,0.0,0.0,-0.0,2026-03-20
AVL,AVGO,1.987221,359,ols,0.0444679999999999,-0.0080679999999999,0.0525359999999999,100000,0.0525359999999999,False,False,False,True,False,False,False,True,False,False,False,False,1.077532,0.377005,0.534484,0.280221,0.377005,0.324469,0.324469,0.49680525,0.5961662999999999,0.5,0.5961662999999999,0.324469,net_decay_annual,0.0525359999999999,ETF_LS,14718.572423393936,-7406.610751091065,14718.572423393936,-7406.610751091065,14718.572423393936,0.0,-0.0,14718.572423393936,core_leveraged,0.5,1.0,22125.183174485,0.1938601678205389,2.0,1.0,0.0566376235588404,0.0047225577747033,primary,AVL,False,421650.0,pair_cap,1.0,0.0,,False,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,haircut,haircut,-22125.183174485,1.0,normal,False,False,False,0.0,0.0,-0.0,2026-03-20
BOEU,BA,1.989059,227,ols,0.046378,-0.009978,0.056356,8000,0.056356,False,False,False,True,False,False,False,True,False,False,False,False,0.587936,0.189193,0.350348,0.120737,0.182402,0.1328369999999999,0.126046,0.49726475,0.5967176999999999,0.5,0.5967176999999999,0.1328369999999999,net_decay_annual,0.056356,ETF_LS,3081.2598317672223,-1549.104290907018,3081.2598317672223,-1549.104290907018,3081.2598317672223,0.0,-0.0,3081.2598317672223,core_leveraged,0.5,1.0,4630.36412267424,0.0793109788234701,1.0,1.0,0.0118531366747199,0.0009883381265046,primary,BOEU,False,,,1.0,0.0,,False,0.0,0.0,2966.069797484711,1973.7609144935384,-992.3088829911726,1973.7609144935384,-992.3088829911726,haircut,haircut,-1664.294325189529,1.561110978103376,normal,False,False,False,2966.069797484711,1973.7609144935384,-992.3088829911726,2026-03-20
CSCL,CSCO,2.027429,184,ols,0.069478,-0.0330779999999999,0.102556,9000,0.102556,False,False,False,True,False,False,False,True,False,False,False,False,0.529952,0.193981,0.236012,0.058014,0.157291,0.0914249999999999,0.0547349999999999,0.50685725,0.6082287000000001,0.50685725,0.6082287000000001,0.0914249999999999,net_decay_annual,0.102556,ETF_LS,1572.7187494226555,-775.7207524518273,1572.7187494226555,-775.7207524518273,1572.7187494226555,0.0,-0.0,1572.7187494226555,core_leveraged,0.5,1.0,2348.439501874483,0.0538091000142999,1.0,1.0,0.0060117031081246,0.0005012677698771,primary,CSCL,False,,,1.0,0.0,,False,0.0,0.0,1040.14870951457,696.5737786030376,-343.57493091153253,696.5737786030376,-343.57493091153253,haircut,haircut,-1308.290792359913,2.0,normal,False,False,False,1040.14870951457,696.5737786030376,-343.57493091153253,2026-03-20
GGLL,GOOGL,1.990264,500,ols,0.04633,-0.00993,0.05626,100000,0.05626,False,False,False,True,False,False,False,True,False,False,False,False,0.589806,0.194311,0.296168,0.086439,0.194311,0.138051,0.138051,0.497566,0.5970792,0.5,0.5970792,0.138051,net_decay_annual,0.05626,ETF_LS,3955.05844579578,-1987.2029267452856,3955.05844579578,-1987.2029267452856,3955.05844579578,0.0,-0.0,3955.05844579578,core_leveraged,0.5,1.0,5942.261372541066,0.0823865925711831,2.0,1.0,0.0152114249202844,0.0012683588842136,primary,GGLL,True,421650.0,pair_cap,1.0,0.0,,False,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,haircut,haircut,-5942.261372541066,1.0,normal,False,False,False,0.0,0.0,-0.0,2026-03-20
HODU,HOOD,2.007589,81,ols,0.100378,-0.063978,0.164356,30000,0.164356,False,False,False,True,False,False,False,True,False,False,False,False,1.43028,0.638169,0.70381,0.501002,0.545091,0.473813,0.380735,0.50189725,0.6022766999999999,0.50189725,0.6022766999999999,0.473813,net_decay_annual,0.164356,ETF_LS,0.0,-0.0,0.0,-0.0,40046.814624596846,0.0,-0.0,40046.814624596846,core_leveraged,0.5,1.0,0.0,0.280931777281737,3.0,2.0,0.1534650922731953,0.0127962248258421,not_selected,ROBN,False,421650.0,pair_cap,1.0,0.0,,False,0.0,0.0,88390.1153963899,59001.08804046131,-29389.02735592859,59001.08804046131,-29389.02735592859,haircut,haircut,88390.1153963899,0.0,normal,False,False,False,88390.1153963899,59001.08804046131,-29389.02735592859,2026-03-20
LINT,INTC,1.987414,81,ols,0.194583,-0.158183,0.352766,30000,0.352766,False,False,False,False,True,False,False,False,True,True,False,False,1.417201,0.600164,0.619571,0.376652,0.448495,0.247398,0.0957289999999999,0.4968535,0.5962242,0.5,0.5962242,0.247398,net_decay_annual,0.352766,ETF_LS,0.0,0.0,0.0,0.0,28817.106304193443,0.0,-0.0,28817.106304193443,core_leveraged,,,0.0,,,,,,,,,,,,,,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none,none,0.0,1.0,reduce_only,True,False,False,0.0,0.0,0.0,2026-03-20
METU,META,1.998683,446,ols,0.082238,-0.045838,0.128076,2000,0.128076,False,False,False,True,False,False,False,True,False,False,False,False,0.706479,0.233236,0.352038,0.123686,0.233236,0.1051599999999999,0.1051599999999999,0.49967075,0.5996049,0.5,0.5996049,0.1051599999999999,net_decay_annual,0.128076,ETF_LS,2037.545570390929,-1019.4440891281552,2037.545570390929,-1019.4440891281552,2037.545570390929,0.0,-0.0,2037.545570390929,core_leveraged,0.5,1.0,3056.989659519084,0.0625594091789197,1.0,1.0,0.0078255003899256,0.0006525057971225,primary,FBL,False,,,1.0,0.0,,False,0.0,0.0,1265.594880377565,843.5446401962705,-422.0502401812946,843.5446401962705,-422.0502401812946,haircut,haircut,-1791.394779141519,2.0,normal,False,False,False,1265.594880377565,843.5446401962705,-422.0502401812946,2026-03-20
MSFU,MSFT,1.989719,500,ols,0.034575,0.001825,0.03275,100000,0.03275,False,False,False,True,False,False,False,True,False,False,False,False,0.476469,0.157846,0.23921,0.056342,0.157846,0.1250959999999999,0.1250959999999999,0.49742975,0.5969156999999999,0.5,0.5969156999999999,0.1250959999999999,net_decay_annual,0.03275,ETF_LS,3413.594757320732,-1715.6165053058912,3413.594757320732,-1715.6165053058912,3413.594757320732,0.0,-0.0,3413.594757320732,core_leveraged,0.5,1.0,5129.211262626624,0.0746705951552605,2.0,1.0,0.0131301211996936,0.0010948156377004,primary,MSFU,True,421650.0,pair_cap,1.0,0.0,,False,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,haircut,haircut,-5129.211262626624,1.0,normal,False,False,False,0.0,0.0,-0.0,2026-03-20
