ETF,Underlying,Delta,Delta_n_obs,Delta_source,borrow_fee_annual,borrow_rebate_annual,borrow_net_annual,shares_available,borrow_current,borrow_spiking,borrow_missing_from_ftp,protected,borrow_leq_low,borrow_gt_low,protected_ok,protected_bad,include_for_algo,purgatory,exclude_borrow_gt_low,exclude_no_shares,exclude_borrow_spike,vol_underlying_annual,vol_etf_annual,gross_decay_annual,net_decay_annual,net_edge_p50_annual,edge_used_for_prod_replay,blended_gross_decay,borrow_annual,strategy_tag,long_usd,short_usd,underlying_target_usd,etf_target_usd,underlying_target_from_b12_usd,underlying_target_from_b4_usd,underlying_internalized_usd,underlying_external_trade_usd,sleeve,b1_trend_xsec_pctile,b1_trend_multiplier,optimal_gross_target_usd,optimal_long_usd,optimal_short_usd,optimal_underlying_target_usd,optimal_etf_target_usd,model_gross_target_usd,model_long_usd,model_short_usd,execution_policy,purgatory_reason,gross_target_usd,pair_override_gross_mult,pair_override_hedge_add,pair_override_note,ratchet_released,ratchet_trim_lambda,ratchet_trim_usd,optimal_binding_cap,binding_cap,liquidity_gap_usd,executable_pct_of_optimal,reduce_only,keep_open,hard_exit,_plan_date
BMNU,BMNR,1.94325,107,ols,0.185953,-0.149553,0.3355059999999999,1400000,0.3355059999999999,False,False,False,False,True,False,False,False,False,True,False,False,8.364403,2.116509,0.675519,0.340013,0.340013,net_decay_annual,,0.3355059999999999,ETF_LS,242083.4264843285,-124576.57351567144,242083.4264843285,-124576.57351567144,282047.5422180624,0.0,-0.0,282047.5422180624,core_leveraged,0.5,1.0,366660.0,242083.4264843285,-124576.57351567144,242083.4264843285,-124576.57351567144,366660.0,242083.4264843285,-124576.57351567144,normal,,366660.0,1.0,0.0,,False,0.0,0.0,pair_cap,pair_cap,0.0,1.0,False,False,False,2026-03-03
SOLX,GSOL,1.984644,60,ols,0.0619949999999999,-0.025595,0.08759,1000,0.08759,False,False,False,False,True,False,False,False,True,True,False,False,1.225952,1.661519,0.175462,0.087872,0.087872,net_decay_annual,,0.08759,ETF_LS,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,core_leveraged,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,reduce_only,,0.0,,,,False,0.0,0.0,none,none,0.0,1.0,True,False,False,2026-03-03
XRPK,XRPZ,1.96792,60,ols,0.119107,-0.082707,0.201814,200,0.201814,False,False,False,False,True,False,False,False,False,True,True,False,0.894498,1.791945,0.39553,0.193716,0.193716,net_decay_annual,,0.201814,ETF_LS,90740.46418032388,-46109.8338247103,90740.46418032388,-46109.8338247103,162905.90516550725,0.0,-0.0,162905.90516550725,core_leveraged,0.5,1.0,136850.2980050342,90740.46418032388,-46109.8338247103,90740.46418032388,-46109.8338247103,136850.2980050342,90740.46418032388,-46109.8338247103,normal,no_locate,136850.2980050342,1.0,0.0,,False,0.0,0.0,haircut,haircut,0.0,1.0,False,False,False,2026-03-03
XRPT,XRPZ,2.021339,66,ols,0.072461,-0.036061,0.108522,30000,0.108522,False,False,False,False,True,False,False,False,True,True,False,False,0.894498,1.639222,0.072511,-0.036011,-0.036011,net_decay_annual,,0.108522,ETF_LS,0.0,0.0,0.0,0.0,162905.90516550725,0.0,-0.0,162905.90516550725,core_leveraged,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,reduce_only,,0.0,,,,False,0.0,0.0,none,none,0.0,1.0,True,False,False,2026-03-03
APPX,APP,1.983789,213,ols,0.0600779999999999,-0.0236779999999999,0.083756,150000,0.083756,False,False,False,False,True,False,False,False,True,True,False,False,0.812636,1.419516,0.117264,0.0335079999999999,0.0335079999999999,net_decay_annual,,0.083756,ETF_LS,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,core_leveraged,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,reduce_only,,0.0,,,,False,0.0,0.0,none,none,0.0,1.0,True,False,False,2026-03-03
BLSX,BLSH,2.041657,88,ols,0.0639499999999999,-0.0275499999999999,0.0915,5000,0.0915,False,False,False,False,True,False,False,False,True,True,False,False,0.831884,1.49334,0.028054,-0.063446,-0.063446,net_decay_annual,,0.0915,ETF_LS,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,core_leveraged,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,reduce_only,,0.0,,,,False,0.0,0.0,none,none,0.0,1.0,True,False,False,2026-03-03
CEGX,CEG,1.983351,161,ols,0.066447,-0.030047,0.096494,25000,0.096494,False,False,False,False,True,False,False,False,True,True,False,False,0.578066,0.917479,0.083907,-0.012587,-0.012587,net_decay_annual,,0.096494,ETF_LS,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,core_leveraged,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,reduce_only,,0.0,,,,False,0.0,0.0,none,none,0.0,1.0,True,False,False,2026-03-03
COZX,CORZ,2.02637,79,ols,0.032647,0.003753,0.028894,30000,0.028894,False,False,False,True,False,False,False,True,False,False,False,False,0.870663,1.457065,0.110092,0.0811979999999999,0.0811979999999999,net_decay_annual,,0.028894,ETF_LS,28194.905168009584,-13913.996539629774,28194.905168009584,-13913.996539629774,28194.905168009584,0.0,-0.0,28194.905168009584,core_leveraged,0.5,1.0,42108.90170763936,28194.905168009584,-13913.996539629774,28194.905168009584,-13913.996539629774,42108.90170763936,28194.905168009584,-13913.996539629774,normal,,42108.90170763936,1.0,0.0,,False,0.0,0.0,haircut,haircut,0.0,1.0,False,False,False,2026-03-03
CSEX,CLS,2.003015,73,ols,0.069989,-0.033589,0.103578,10000,0.103578,False,False,False,False,True,False,False,False,True,True,False,False,0.699172,1.540006,0.061024,-0.042554,-0.042554,net_decay_annual,,0.103578,ETF_LS,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,core_leveraged,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,reduce_only,,0.0,,,,False,0.0,0.0,none,none,0.0,1.0,True,False,False,2026-03-03
MDBX,MDB,1.992783,134,ols,0.066487,-0.030087,0.096574,3000,0.096574,False,False,False,False,True,False,False,False,True,True,False,False,0.666996,1.62167,0.092836,-0.003738,-0.003738,net_decay_annual,,0.096574,ETF_LS,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,core_leveraged,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,reduce_only,,0.0,,,,False,0.0,0.0,none,none,0.0,1.0,True,False,False,2026-03-03
