ETF,Underlying,Delta,Delta_n_obs,Delta_source,borrow_fee_annual,borrow_rebate_annual,borrow_net_annual,shares_available,borrow_current,borrow_spiking,borrow_missing_from_ftp,protected,borrow_leq_low,borrow_gt_low,protected_ok,protected_bad,include_for_algo,purgatory,exclude_borrow_gt_low,exclude_no_shares,exclude_borrow_spike,vol_underlying_annual,vol_etf_annual,gross_decay_annual,net_decay_annual,net_edge_p50_annual,edge_used_for_prod_replay,blended_gross_decay,borrow_annual,strategy_tag,long_usd,short_usd,underlying_target_usd,etf_target_usd,underlying_target_from_b12_usd,underlying_target_from_b4_usd,underlying_internalized_usd,underlying_external_trade_usd,sleeve,b1_trend_xsec_pctile,b1_trend_multiplier,optimal_gross_target_usd,optimal_long_usd,optimal_short_usd,optimal_underlying_target_usd,optimal_etf_target_usd,model_gross_target_usd,model_long_usd,model_short_usd,execution_policy,purgatory_reason,gross_target_usd,pair_override_gross_mult,pair_override_hedge_add,pair_override_note,ratchet_released,ratchet_trim_lambda,ratchet_trim_usd,optimal_binding_cap,binding_cap,liquidity_gap_usd,executable_pct_of_optimal,reduce_only,keep_open,hard_exit,_plan_date
TSLI,TSLA,1.977595,119,ols,0.037765,-0.001365,0.03913,2000,0.03913,False,False,False,True,False,False,False,True,False,False,False,False,0.628178,0.891354,0.136668,0.097538,0.097538,net_decay_annual,,0.03913,ETF_LS,38407.69317067976,-19421.41498672871,38407.69317067976,-19421.41498672871,38407.69317067976,0.0,-0.0,38407.69317067976,core_leveraged,0.5,1.0,57829.10815740847,38407.69317067976,-19421.41498672871,38407.69317067976,-19421.41498672871,57829.10815740847,38407.69317067976,-19421.41498672871,normal,,57829.10815740847,1.0,0.0,,False,0.0,0.0,haircut,haircut,0.0,1.0,False,False,False,2026-03-03
COIA,COIN,1.998604,119,ols,0.070334,-0.033934,0.104268,30000,0.104268,False,False,False,False,True,False,False,False,True,True,False,False,0.795624,1.428165,0.203919,0.0996509999999999,0.0996509999999999,net_decay_annual,,0.104268,ETF_LS,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,core_leveraged,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,reduce_only,,0.0,,,,False,0.0,0.0,none,none,0.0,1.0,True,False,False,2026-03-03
BITU,IBIT,1.991133,480,ols,0.038664,-0.002264,0.040928,15000,0.040928,False,False,False,True,False,False,False,True,False,False,False,False,0.513481,1.000437,0.163588,0.12266,0.12266,net_decay_annual,,0.040928,ETF_LS,59086.61349455364,-29674.87028468396,59086.61349455364,-29674.87028468396,139066.09670253858,0.0,-0.0,139066.09670253858,core_leveraged,0.5,1.0,88761.4837792376,59086.61349455364,-29674.87028468396,59086.61349455364,-29674.87028468396,88761.4837792376,59086.61349455364,-29674.87028468396,normal,,88761.4837792376,1.0,0.0,,False,0.0,0.0,haircut,haircut,0.0,1.0,False,False,False,2026-03-03
ETHT,ETHA,1.991579,403,ols,0.070344,-0.033944,0.104288,150000,0.104288,False,False,False,False,True,False,False,False,True,True,False,False,0.754895,1.482414,0.19899,0.094702,0.094702,net_decay_annual,,0.104288,ETF_LS,0.0,0.0,0.0,0.0,195483.3921928935,0.0,-0.0,195483.3921928935,core_leveraged,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,reduce_only,,0.0,,,,False,0.0,0.0,none,none,0.0,1.0,True,False,False,2026-03-03
UXRP,XRPZ,2.006722,66,ols,0.025066,0.011334,0.013732,500000,0.013732,False,False,False,True,False,False,False,True,False,False,False,False,0.894498,1.652175,0.143436,0.129704,0.129704,net_decay_annual,,0.013732,ETF_LS,72165.44098518333,-35961.85270564799,72165.44098518333,-35961.85270564799,162905.90516550725,0.0,-0.0,162905.90516550725,core_leveraged,0.5,1.0,108127.29369083131,72165.44098518333,-35961.85270564799,72165.44098518333,-35961.85270564799,108127.29369083131,72165.44098518333,-35961.85270564799,normal,,108127.29369083131,1.0,0.0,,False,0.0,0.0,haircut,haircut,0.0,1.0,False,False,False,2026-03-03
SOLT,SOEZ,2.020036,60,ols,0.020209,0.016191,0.004018,150000,0.004018,False,False,False,True,False,False,False,True,False,False,False,False,0.825018,1.607986,0.136183,0.132165,0.132165,net_decay_annual,,0.004018,ETF_LS,76913.47367842733,-38075.29849885216,76913.47367842733,-38075.29849885216,76913.47367842733,0.0,-0.0,76913.47367842733,core_leveraged,0.5,1.0,114988.77217727948,76913.47367842733,-38075.29849885216,76913.47367842733,-38075.29849885216,114988.77217727948,76913.47367842733,-38075.29849885216,normal,,114988.77217727948,1.0,0.0,,False,0.0,0.0,haircut,haircut,0.0,1.0,False,False,False,2026-03-03
TSLR,TSLA,2.000049,500,ols,0.061242,-0.024842,0.086084,65000,0.086084,False,False,False,False,True,False,False,False,True,True,False,False,0.628178,1.256659,0.112641,0.026557,0.026557,net_decay_annual,,0.086084,ETF_LS,0.0,0.0,0.0,0.0,38407.69317067976,0.0,-0.0,38407.69317067976,core_leveraged,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,reduce_only,,0.0,,,,False,0.0,0.0,none,none,0.0,1.0,True,False,False,2026-03-03
BULX,BULL,1.964078,124,ols,0.07998,-0.0435799999999999,0.1235599999999999,6000,0.1235599999999999,False,False,False,False,True,False,False,False,False,True,False,False,2.737706,1.129234,0.248948,0.125388,0.125388,net_decay_annual,,0.1235599999999999,ETF_LS,43843.88621021923,-22322.88443239995,43843.88621021923,-22322.88443239995,97051.01450799814,0.0,-0.0,97051.01450799814,core_leveraged,0.5,1.0,66166.77064261917,43843.88621021923,-22322.88443239995,43843.88621021923,-22322.88443239995,66166.77064261917,43843.88621021923,-22322.88443239995,normal,,66166.77064261917,1.0,0.0,,False,0.0,0.0,haircut,haircut,0.0,1.0,False,False,False,2026-03-03
NVDL,NVDA,1.987597,500,ols,0.067214,-0.0308139999999999,0.0980279999999999,950000,0.0980279999999999,False,False,False,False,True,False,False,False,True,True,False,False,0.498426,0.991098,0.133844,0.035816,0.035816,net_decay_annual,,0.0980279999999999,ETF_LS,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,core_leveraged,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,reduce_only,,0.0,,,,False,0.0,0.0,none,none,0.0,1.0,True,False,False,2026-03-03
SMCL,SMCI,1.987987,302,ols,0.157789,-0.121389,0.279178,250000,0.279178,False,False,False,False,True,False,False,False,False,True,False,False,0.955998,1.662515,0.39294,0.1137619999999999,0.1137619999999999,net_decay_annual,,0.279178,ETF_LS,11434.697768828935,-5751.897657695415,11434.697768828935,-5751.897657695415,11434.697768828935,0.0,-0.0,11434.697768828935,core_leveraged,0.5,1.0,17186.59542652435,11434.697768828935,-5751.897657695415,11434.697768828935,-5751.897657695415,17186.59542652435,11434.697768828935,-5751.897657695415,normal,,17186.59542652435,1.0,0.0,,False,0.0,0.0,haircut,haircut,0.0,1.0,False,False,False,2026-03-03
TSMU,TSM,1.989506,324,ols,0.060795,-0.0243949999999999,0.08519,25000,0.08519,False,False,False,False,True,False,False,False,True,True,False,False,0.408395,0.802382,0.149847,0.064657,0.064657,net_decay_annual,,0.08519,ETF_LS,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,core_leveraged,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,reduce_only,,0.0,,,,False,0.0,0.0,none,none,0.0,1.0,True,False,False,2026-03-03
IOYY,IONQ,0.372621,80,ols,0.074808,-0.038408,0.113216,4000,0.113216,False,False,False,False,True,False,False,False,True,True,False,False,1.082701,0.426855,0.487254,0.374038,0.374038,net_decay_annual,,0.113216,ETF_LS,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,core_leveraged,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,reduce_only,,0.0,,,,False,0.0,0.0,none,none,0.0,1.0,True,False,False,2026-03-03
RYLD,IWM,0.567482,500,ols,0.067109,-0.030709,0.097818,450000,0.097818,False,False,False,False,True,False,False,False,True,True,False,False,0.216464,0.141111,-0.011276,-0.109094,-0.109094,net_decay_annual,,0.097818,ETF_LS,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,core_leveraged,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,reduce_only,,0.0,,,,False,0.0,0.0,none,none,0.0,1.0,True,False,False,2026-03-03
HIYY,HIMS,0.905872,110,ols,0.071,-0.0346,0.1056,3000,0.1056,False,False,False,False,True,False,False,False,True,True,False,False,0.974508,0.712472,0.198346,0.092746,0.092746,net_decay_annual,,0.1056,ETF_LS,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,core_leveraged,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,reduce_only,,0.0,,,,False,0.0,0.0,none,none,0.0,1.0,True,False,False,2026-03-03
MSFO,MSFT,0.779995,500,ols,0.072213,-0.035813,0.108026,85000,0.108026,False,False,False,False,True,False,False,False,True,True,False,False,0.241208,0.197816,-0.010894,-0.11892,-0.11892,net_decay_annual,,0.108026,ETF_LS,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,core_leveraged,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,reduce_only,,0.0,,,,False,0.0,0.0,none,none,0.0,1.0,True,False,False,2026-03-03
PLTY,PLTR,0.792969,349,ols,0.076606,-0.040206,0.116812,10000,0.116812,False,False,False,False,True,False,False,False,True,True,False,False,0.628939,0.541465,0.155924,0.039112,0.039112,net_decay_annual,,0.116812,ETF_LS,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,core_leveraged,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,reduce_only,,0.0,,,,False,0.0,0.0,none,none,0.0,1.0,True,False,False,2026-03-03
PYPY,PYPL,0.806392,500,ols,0.068007,-0.0316069999999999,0.099614,2000,0.099614,False,False,False,False,True,False,False,False,True,True,False,False,0.376626,0.317982,0.008926,-0.0906879999999999,-0.0906879999999999,net_decay_annual,,0.099614,ETF_LS,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,core_leveraged,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,reduce_only,,0.0,,,,False,0.0,0.0,none,none,0.0,1.0,True,False,False,2026-03-03
SMCY,SMCI,0.742405,367,ols,0.069529,-0.033129,0.102658,30000,0.102658,False,False,False,False,True,False,False,False,True,True,False,False,0.955998,0.746824,0.244294,0.141636,0.141636,net_decay_annual,,0.102658,ETF_LS,0.0,0.0,0.0,0.0,11434.697768828935,0.0,-0.0,11434.697768828935,core_leveraged,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,reduce_only,,0.0,,,,False,0.0,0.0,none,none,0.0,1.0,True,False,False,2026-03-03
ARMW,ARM,1.191643,88,ols,0.063739,-0.027339,0.091078,2000,0.091078,False,False,False,False,True,False,False,False,True,True,False,False,0.628328,0.534087,0.058217,-0.032861,-0.032861,net_decay_annual,,0.091078,ETF_LS,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,core_leveraged,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,reduce_only,,0.0,,,,False,0.0,0.0,none,none,0.0,1.0,True,False,False,2026-03-03
TSLW,TSLA,1.194561,259,ols,0.063893,-0.027493,0.091386,100000,0.091386,False,False,False,False,True,False,False,False,True,True,False,False,0.628178,0.730291,0.041437,-0.049949,-0.049949,net_decay_annual,,0.091386,ETF_LS,0.0,0.0,0.0,0.0,38407.69317067976,0.0,-0.0,38407.69317067976,core_leveraged,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,reduce_only,,0.0,,,,False,0.0,0.0,none,none,0.0,1.0,True,False,False,2026-03-03
TWM,IWM,-2.001919,500,ols,0.072363,-0.0359629999999999,0.1083259999999999,100000,0.1083259999999999,False,False,False,False,True,False,False,False,True,True,False,False,0.216464,0.433676,0.023034,-0.0852919999999999,-0.0852919999999999,net_decay_annual,,0.1083259999999999,ETF_LS,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,inverse_decay_bucket4,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,reduce_only,,0.0,,,,False,0.0,0.0,none,none,0.0,1.0,True,False,False,2026-03-03
APLZ,APLD,-1.984741,27,ols_short_history,,,,0,0.0,False,True,False,False,True,False,False,False,False,True,True,False,1.322465,2.628136,6.068538,,6.068538,net_decay_annual,,,ETF_LS,-231.7140050126607,-259.43939846017486,-231.7140050126607,-259.43939846017486,0.0,-231.7140050126607,0.0,-231.7140050126607,inverse_decay_bucket4,,,491.1534034728355,-231.7140050126607,-259.43939846017486,-231.7140050126607,-259.43939846017486,491.1534034728355,-231.7140050126607,-259.43939846017486,normal,no_locate,491.1534034728355,1.0,0.0,,False,0.0,0.0,pair_cap,pair_cap,0.0,1.0,False,False,False,2026-03-03
