ETF,Underlying,Delta,Delta_n_obs,Delta_source,borrow_fee_annual,borrow_rebate_annual,borrow_net_annual,shares_available,borrow_current,borrow_spiking,borrow_missing_from_ftp,protected,borrow_leq_low,borrow_gt_low,protected_ok,protected_bad,purgatory,include_for_algo,exclude_borrow_gt_low,exclude_no_shares,exclude_borrow_spike,vol_etf_annual,gross_decay_annual,vol_underlying_annual,expected_gross_decay_annual,blended_gross_decay,net_decay_annual,decay_score,maint_pct_long,maint_pct_short,init_pct_long,init_pct_short,net_edge_p50_annual,edge_used_for_prod_replay,borrow_annual,strategy_tag,long_usd,short_usd,underlying_target_usd,etf_target_usd,underlying_target_from_b12_usd,underlying_target_from_b4_usd,underlying_internalized_usd,underlying_external_trade_usd,sleeve,b1_trend_xsec_pctile,b1_trend_multiplier,gross_target_usd,wrapper_utility,shared_underlying_group_size,shared_underlying_wrapper_rank,shared_underlying_group_score,shared_underlying_weight_pre_caps,shared_underlying_allocation_reason,shared_underlying_incumbent,shared_underlying_switch_blocked,shared_underlying_capacity_usd,shared_underlying_capacity_binding,pair_override_gross_mult,pair_override_hedge_add,pair_override_note,ratchet_released,ratchet_trim_lambda,ratchet_trim_usd,optimal_gross_target_usd,optimal_long_usd,optimal_short_usd,optimal_underlying_target_usd,optimal_etf_target_usd,optimal_binding_cap,binding_cap,liquidity_gap_usd,executable_pct_of_optimal,execution_policy,reduce_only,keep_open,hard_exit,model_gross_target_usd,model_long_usd,model_short_usd,_plan_date
AMUU,AMD,2.008158,242,ols,0.045264,-0.008864,0.0541279999999999,30000,0.0541279999999999,False,False,False,True,False,False,False,False,True,False,False,False,1.290873,0.480471,0.556338,0.31331,0.473838,0.4263429999999999,0.4197099999999999,0.5020395,0.6024474,0.5020395,0.6024474,0.4263429999999999,net_decay_annual,0.0541279999999999,ETF_LS,15325.46228686562,-7631.6018395293695,15325.46228686562,-7631.6018395293695,15325.46228686562,0.0,-0.0,15325.46228686562,core_leveraged,0.5,1.0,22957.064126394987,0.2527322868195624,3.0,1.0,0.0900857860433421,0.0049001204111835,primary,AMUU,False,421650.0,pair_cap,1.0,0.0,,False,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,haircut,haircut,-22957.064126394987,1.0,normal,False,False,False,0.0,0.0,-0.0,2026-03-23
AMZU,AMZN,1.987103,499,ols,0.041587,-0.005187,0.0467739999999999,80000,0.0467739999999999,False,False,False,True,False,False,False,False,True,False,False,False,0.631692,0.207892,0.317728,0.099007,0.207892,0.1611179999999999,0.1611179999999999,0.49677575,0.5961309,0.5,0.5961309,0.1611179999999999,net_decay_annual,0.0467739999999999,ETF_LS,2820.448131944282,-1419.3769180280449,2820.448131944282,-1419.3769180280449,2820.448131944282,0.0,-0.0,2820.448131944282,core_leveraged,0.5,1.0,4239.825049972327,0.0962672970286087,2.0,1.0,0.0166374920682415,0.0009049786659492,primary,AMZU,False,421650.0,pair_cap,1.0,0.0,,False,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,haircut,haircut,-4239.825049972327,1.0,normal,False,False,False,0.0,0.0,-0.0,2026-03-23
ASMU,ASML,1.954526,27,ols_short_history,0.050176,-0.013776,0.063952,2000,0.063952,False,False,False,True,False,False,False,False,True,False,False,False,0.841188,0.351637,0.434874,0.176411,0.195185,0.2876849999999999,0.131233,0.4886315,0.5863577999999999,0.5,0.5863577999999999,0.2876849999999999,net_decay_annual,0.063952,ETF_LS,7905.456203092239,-4044.692269681877,7905.456203092239,-4044.692269681877,7905.456203092239,0.0,-0.0,7905.456203092239,core_leveraged,0.5,1.0,11950.148472774115,0.1740348123111718,2.0,1.0,0.0468935623726705,0.0025507253944021,primary,ASMG,False,421650.0,pair_cap,1.0,0.0,,False,0.0,0.0,8536.86369616656,5647.444650212467,-2889.4190459540923,5647.444650212467,-2889.4190459540923,haircut,haircut,-3413.284776607556,1.399828894789579,normal,False,False,False,8536.86369616656,5647.444650212467,-2889.4190459540923,2026-03-23
AVL,AVGO,1.987429,361,ols,0.0490909999999999,-0.012691,0.061782,100000,0.061782,False,False,False,True,False,False,False,False,True,False,False,False,1.078134,0.374617,0.534912,0.280758,0.374617,0.312835,0.312835,0.49685725,0.5962287,0.5,0.5962287,0.312835,net_decay_annual,0.061782,ETF_LS,9006.336896584366,-4531.652147867605,9006.336896584366,-4531.652147867605,9006.336896584366,0.0,-0.0,9006.336896584366,core_leveraged,0.5,1.0,13537.98904445197,0.1868945421894238,2.0,1.0,0.0531244055337804,0.0028896454737357,primary,AVL,False,421650.0,pair_cap,1.0,0.0,,False,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,haircut,haircut,-13537.98904445197,1.0,normal,False,False,False,0.0,0.0,-0.0,2026-03-23
BOEU,BA,1.989377,229,ols,0.054309,-0.0179089999999999,0.072218,6000,0.072218,False,False,False,True,False,False,False,False,True,False,False,False,0.591172,0.193174,0.351653,0.121696,0.18665,0.120956,0.114432,0.49734425,0.5968131,0.5,0.5968131,0.120956,net_decay_annual,0.072218,ETF_LS,1705.8006414466338,-857.4546913162432,1705.8006414466338,-857.4546913162432,1705.8006414466338,0.0,-0.0,1705.8006414466338,core_leveraged,0.5,1.0,2563.255332762877,0.072208711737602,1.0,1.0,0.0100584669803766,0.0005471196014435,primary,BOEU,False,,,1.0,0.0,,False,0.0,0.0,1244.155199970678,827.9630636256542,-416.1921363450237,827.9630636256542,-416.1921363450237,haircut,haircut,-1319.100132792199,2.0,normal,False,False,False,1244.155199970678,827.9630636256542,-416.1921363450237,2026-03-23
HODU,HOOD,2.008175,83,ols,0.095572,-0.059172,0.154744,15000,0.154744,False,False,False,True,False,False,False,False,True,False,False,False,1.425106,0.61336,0.704085,0.501831,0.538565,0.458616,0.3838209999999999,0.50204375,0.6024525,0.50204375,0.6024525,0.458616,net_decay_annual,0.154744,ETF_LS,0.0,-0.0,0.0,-0.0,26006.022955767174,0.0,-0.0,26006.022955767174,core_leveraged,0.5,1.0,0.0,0.2718617041951601,3.0,2.0,0.152775187860618,0.0083100436732387,not_selected,ROBN,False,421650.0,pair_cap,1.0,0.0,,False,0.0,0.0,47180.20655005109,31496.20992417292,-15683.99662587818,31496.20992417292,-15683.99662587818,haircut,haircut,47180.20655005109,0.0,normal,False,False,False,47180.20655005109,31496.20992417292,-15683.99662587818,2026-03-23
LINT,INTC,1.986075,83,ols,0.193681,-0.157281,0.350962,25000,0.350962,False,False,False,False,True,False,False,True,False,True,False,False,1.411773,0.580145,0.621149,0.377805,0.444449,0.229183,0.0934869999999999,0.49651875,0.5958225,0.5,0.5958225,0.229183,net_decay_annual,0.350962,ETF_LS,0.0,0.0,0.0,0.0,18956.329331410663,0.0,-0.0,18956.329331410663,core_leveraged,,,0.0,,,,,,,,,,,,,,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none,none,0.0,1.0,reduce_only,True,False,False,0.0,0.0,0.0,2026-03-23
ELIL,LLY,1.991394,247,ols,0.088255,-0.051855,0.14011,7000,0.14011,False,False,False,True,False,False,False,False,True,False,False,False,0.848598,0.27538,0.373462,0.137679,0.272648,0.13527,0.132538,0.4978485,0.5974182,0.5,0.5974182,0.13527,net_decay_annual,0.14011,ETF_LS,2072.5377090254474,-1040.747189669873,2072.5377090254474,-1040.747189669873,2072.5377090254474,0.0,-0.0,2072.5377090254474,core_leveraged,0.5,1.0,3113.284898695321,0.0806925786702525,1.0,1.0,0.0122168372981705,0.0006645218567119,primary,ELIL,False,,,1.0,0.0,,False,0.0,0.0,1187.537422232457,790.5527982636795,-396.9846239687773,790.5527982636795,-396.9846239687773,haircut,haircut,-1925.747476462864,2.0,normal,False,False,False,1187.537422232457,790.5527982636795,-396.9846239687773,2026-03-23
MRVU,MRVL,2.019535,26,ols_short_history,0.051603,-0.015203,0.066806,10000,0.066806,False,False,False,True,False,False,False,False,True,False,False,False,1.380725,0.453874,0.632589,0.411971,0.416294,0.3870679999999999,0.349488,0.50488375,0.6058604999999999,0.50488375,0.6058604999999999,0.3870679999999999,net_decay_annual,0.066806,ETF_LS,0.0,-0.0,0.0,-0.0,12812.166116067645,0.0,-0.0,12812.166116067645,core_leveraged,0.5,1.0,0.0,0.2284802841989817,2.0,2.0,0.0755066631532165,0.0041071045449881,not_selected,MVLL,True,421650.0,pair_cap,1.0,0.0,,False,0.0,0.0,20300.87558280619,13577.696158555043,-6723.17942425115,13577.696158555043,-6723.17942425115,haircut,haircut,20300.87558280619,0.0,normal,False,False,False,20300.87558280619,13577.696158555043,-6723.17942425115,2026-03-23
MSFU,MSFT,1.990967,499,ols,0.035049,0.001351,0.033698,100000,0.033698,False,False,False,True,False,False,False,False,True,False,False,False,0.477334,0.161368,0.239515,0.056592,0.161368,0.12767,0.12767,0.49774175,0.5972900999999999,0.5,0.5972900999999999,0.12767,net_decay_annual,0.033698,ETF_LS,2226.4800057757616,-1118.29076311951,2226.4800057757616,-1118.29076311951,2226.4800057757616,0.0,-0.0,2226.4800057757616,core_leveraged,0.5,1.0,3344.770768895272,0.0761712025569461,2.0,1.0,0.0131252107060277,0.0007139318610235,primary,MSFU,True,421650.0,pair_cap,1.0,0.0,,False,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,haircut,haircut,-3344.770768895272,1.0,normal,False,False,False,0.0,0.0,-0.0,2026-03-23
