ETF,Underlying,Delta,Delta_n_obs,Delta_source,borrow_fee_annual,shares_available,borrow_current,borrow_spiking,borrow_missing_from_ftp,borrow_price_ref,borrow_current_raw_annual,borrow_floor_factor,protected,borrow_leq_low,borrow_gt_low,protected_ok,protected_bad,purgatory,exclude_borrow_gt_low,exclude_no_shares,exclude_borrow_spike,vol_etf_annual,vol_etf_annual_legacy,gross_decay_annual,gross_decay_annual_legacy_weekly,vol_underlying_annual,vol_underlying_annual_legacy,expense_ratio_annual,expense_ratio_source,underlying_borrow_annual,risk_free_rate_used,expected_gross_decay_annual,expected_gross_decay_annual_legacy,expected_gross_decay_reliable,blended_gross_decay,net_decay_annual,decay_score,maint_pct_long,maint_pct_short,init_pct_long,init_pct_short,bucket,bucket4_net_edge_annual,inverse_shortable,net_edge_p50_annual,edge_used_for_prod_replay,borrow_annual,strategy_tag,long_usd,short_usd,underlying_target_usd,etf_target_usd,underlying_target_from_b12_usd,underlying_target_from_b4_usd,underlying_internalized_usd,underlying_external_trade_usd,sleeve,b1_trend_xsec_pctile,b1_trend_multiplier,optimal_gross_target_usd,optimal_long_usd,optimal_short_usd,optimal_underlying_target_usd,optimal_etf_target_usd,model_gross_target_usd,model_long_usd,model_short_usd,execution_policy,purgatory_reason,gross_target_usd,pair_override_gross_mult,pair_override_hedge_add,pair_override_note,ratchet_released,ratchet_trim_lambda,ratchet_trim_usd,optimal_binding_cap,binding_cap,liquidity_gap_usd,executable_pct_of_optimal,borrow_underlying,reduce_only,keep_open,hard_exit,_plan_date
ORCU,ORCL,2.0042,104,ols,0.107949,300000,0.107949,False,False,14.770000457763672,0.107949,1.0,False,True,False,False,False,False,False,False,False,1.128015,1.133744,0.441005,0.400184,0.582696,0.614101,0.0097,yfinance,0.0,0.03595,0.387478,0.4253,True,0.409569,0.3330559999999999,0.30162,0.50105,0.60126,0.50105,0.60126,bucket_1,,False,0.3330559999999999,net_decay_annual,0.107949,ETF_LS,3363.7254649437828,-1678.3382222052603,3363.7254649437828,-1678.3382222052603,7770.630492666307,0.0,-0.0,7770.630492666307,core_leveraged,0.5,1.0,5042.063687149042,3363.7254649437823,-1678.33822220526,3363.7254649437823,-1678.33822220526,5042.063687149042,3363.7254649437823,-1678.33822220526,normal,,5042.063687149043,1.0,0.0,,False,0.0,0.0,haircut,haircut,-9.094947017729282e-13,1.0000000000000002,0.0,False,False,False,2026-04-22
PALU,PANW,2.004736,268,ols,0.059556,25000,0.059556,False,False,15.229999542236328,0.059556,1.0,False,True,False,False,False,False,False,False,False,0.704603,0.690627,0.258612,0.25279,0.3473,0.344513,0.0108,yfinance,0.0,0.03595,0.168396,0.166454,True,0.258612,0.199056,0.199056,0.501184,0.6014208,0.501184,0.6014208,bucket_1,,False,0.199056,net_decay_annual,0.059556,ETF_LS,1382.6413438924803,-689.6874919652664,1382.6413438924803,-689.6874919652664,2909.0784888615253,0.0,-0.0,2909.0784888615253,core_leveraged,0.5,1.0,2072.3288358577465,1382.64134389248,-689.6874919652663,1382.64134389248,-689.6874919652663,2072.3288358577465,1382.64134389248,-689.6874919652663,normal,,2072.328835857747,1.0,0.0,,False,0.0,0.0,haircut,haircut,-4.547473508864641e-13,1.0000000000000002,0.0,False,False,False,2026-04-22
PLTU,PLTR,1.991898,339,ols,0.054694,400000,0.054694,False,False,46.119998931884766,0.054694,1.0,False,True,False,False,False,False,False,False,False,1.078932,1.059026,0.50882,0.498114,0.534192,0.530403,0.0097,yfinance,0.0,0.03595,0.327261,0.323276,True,0.50882,0.454126,0.454126,0.4979745,0.5975693999999999,0.5,0.5975693999999999,bucket_1,,False,0.454126,net_decay_annual,0.054694,ETF_LS,6376.3811240397545,-3201.158454920761,6376.3811240397545,-3201.158454920761,19173.10541344581,0.0,-0.0,19173.10541344581,core_leveraged,0.5,1.0,9577.539578960512,6376.381124039752,-3201.15845492076,6376.381124039752,-3201.15845492076,9577.539578960512,6376.381124039752,-3201.15845492076,normal,,9577.539578960515,1.0,0.0,,False,0.0,0.0,haircut,haircut,-3.637978807091713e-12,1.0000000000000004,0.0,False,False,False,2026-04-22
QCMU,QCOM,2.00121,207,ols,0.073253,2000,0.073253,False,False,16.209999084472656,0.073253,1.0,False,True,False,False,False,False,False,False,False,0.636587,0.631827,0.219013,0.217949,0.323459,0.322709,0.0107,yfinance,0.0,0.03595,0.151509,0.151024,True,0.206959,0.14576,0.133706,0.5003025,0.600363,0.5003025,0.600363,bucket_1,,False,0.14576,net_decay_annual,0.073253,ETF_LS,726.4956332786372,-363.0281845876431,726.4956332786372,-363.0281845876431,726.4956332786372,0.0,-0.0,726.4956332786372,core_leveraged,0.5,1.0,1089.52381786628,726.495633278637,-363.028184587643,726.495633278637,-363.028184587643,1089.52381786628,726.495633278637,-363.028184587643,normal,,1089.5238178662803,1.0,0.0,,False,0.0,0.0,haircut,haircut,-2.273736754432321e-13,1.0000000000000002,0.0,False,False,False,2026-04-22
SHPU,SHOP,2.010158,178,ols,0.076111,35000,0.076111,False,False,16.600000381469727,0.076111,1.0,False,True,False,False,False,False,False,False,False,1.042724,1.029682,0.357969,0.351557,0.543468,0.552154,0.0109,yfinance,0.0,0.03595,0.347088,0.35675,True,0.354774,0.281858,0.278663,0.5025395,0.6030474,0.5025395,0.6030474,bucket_1,,False,0.281858,net_decay_annual,0.076111,ETF_LS,2573.5404824065267,-1280.2677612439056,2573.5404824065267,-1280.2677612439056,2573.5404824065267,0.0,-0.0,2573.5404824065267,core_leveraged,0.5,1.0,3853.808243650431,2573.540482406526,-1280.2677612439052,2573.540482406526,-1280.2677612439052,3853.808243650431,2573.540482406526,-1280.2677612439052,normal,,3853.808243650432,1.0,0.0,,False,0.0,0.0,haircut,haircut,-9.094947017729282e-13,1.0000000000000002,0.0,False,False,False,2026-04-22
SOFA,SOFI,1.986066,48,ols,0.055856,4000,0.055856,False,False,18.69879913330078,0.055856,1.0,False,True,False,False,False,False,False,False,False,0.890553,0.885523,0.341882,0.280914,0.538085,0.536287,0.0097,yfinance,0.0,0.03595,0.328661,0.32677,True,0.331179,0.286026,0.275323,0.4965165,0.5958198,0.5,0.5958198,bucket_1,,False,0.286026,net_decay_annual,0.055856,ETF_LS,2747.5696207852725,-1383.4231192645525,2747.5696207852725,-1383.4231192645525,9044.457950065203,0.0,-0.0,9044.457950065203,core_leveraged,0.5,1.0,4130.9927400498245,2747.569620785272,-1383.423119264552,2747.569620785272,-1383.423119264552,4130.9927400498245,2747.569620785272,-1383.423119264552,normal,,4130.992740049825,1.0,0.0,,False,0.0,0.0,haircut,haircut,-9.094947017729282e-13,1.0000000000000002,0.0,False,False,False,2026-04-22
TSLL,TSLA,1.994157,501,ols,0.061291,550000,0.061291,False,False,13.168399810791016,0.061291,1.0,False,True,False,False,False,False,False,False,False,0.977241,0.968847,0.501263,0.489455,0.487462,0.486128,0.0083,yfinance,0.0,0.03595,0.279581,0.278293,True,0.501263,0.439972,0.439972,0.49853925,0.5982470999999999,0.5,0.5982470999999999,bucket_1,,False,0.439972,net_decay_annual,0.061291,ETF_LS,5978.597116733205,-2998.0573830110693,5978.597116733205,-2998.0573830110693,23293.01730933302,0.0,-0.0,23293.01730933302,core_leveraged,0.5,1.0,8976.65449974427,5978.597116733203,-2998.057383011068,5978.597116733203,-2998.057383011068,8976.65449974427,5978.597116733203,-2998.057383011068,normal,,8976.654499744274,1.0,0.0,,False,0.0,0.0,haircut,haircut,-3.637978807091713e-12,1.0000000000000004,0.0,False,False,False,2026-04-22
TSMX,TSM,1.996,387,ols,0.145456,1200000,0.145456,False,False,69.0999984741211,0.145456,1.0,False,True,False,False,False,False,False,False,False,0.701019,0.700166,0.282005,0.27763,0.351192,0.348381,0.0099,yfinance,0.0,0.03595,0.168303,0.166348,True,0.282005,0.136549,0.136549,0.499,0.5988,0.5,0.5988,bucket_1,,False,0.136549,net_decay_annual,0.145456,ETF_LS,477.2917665993554,-239.12413156280329,477.2917665993554,-239.12413156280329,4429.400387871177,0.0,-0.0,4429.400387871177,core_leveraged,0.5,1.0,716.4158981621586,477.29176659935536,-239.12413156280329,477.29176659935536,-239.12413156280329,716.4158981621586,477.29176659935536,-239.12413156280329,normal,,716.4158981621587,1.0,0.0,,False,0.0,0.0,haircut,haircut,-1.1368683772161605e-13,1.0000000000000002,0.0,False,False,False,2026-04-22
YINN,FXI,2.97488,501,ols,0.012396,1200000,0.012396,False,False,35.57500076293945,0.012396,1.0,False,True,False,False,False,False,False,False,False,0.588215,0.588672,0.369509,0.366805,0.199919,0.200174,0.0134,yfinance,0.0,0.03595,0.201802,0.202102,True,0.369509,0.3571129999999999,0.3571129999999999,0.74372,0.892464,0.74372,0.892464,bucket_1,,False,0.3571129999999999,net_decay_annual,0.012396,ETF_LS,3620.011866354592,-1216.859794799989,3620.011866354592,-1216.859794799989,3620.011866354592,0.0,-0.0,3620.011866354592,core_leveraged,0.5,1.0,4836.871661154581,3620.0118663545913,-1216.8597947999888,3620.0118663545913,-1216.8597947999888,4836.871661154581,3620.0118663545913,-1216.8597947999888,normal,,4836.8716611545815,1.0,0.0,,False,0.0,0.0,haircut,haircut,-9.094947017729282e-13,1.0000000000000002,0.0,False,False,False,2026-04-22
MEXX,EWW,2.955176,501,ols,0.0758249999999999,7000,0.0758249999999999,False,False,33.22999954223633,0.0758249999999999,1.0,False,True,False,False,False,False,False,False,False,0.634551,0.631283,0.3033,0.2989,0.213739,0.212655,0.0123,yfinance,0.0,0.03595,0.214568,0.213233,True,0.3033,0.227475,0.227475,0.738794,0.8865527999999999,0.738794,0.8865527999999999,bucket_1,,False,0.227475,net_decay_annual,0.0758249999999999,ETF_LS,1438.3509334439332,-486.72259569106313,1438.3509334439332,-486.72259569106313,1438.3509334439332,0.0,-0.0,1438.3509334439332,core_leveraged,0.5,1.0,1925.073529134996,1438.3509334439327,-486.72259569106296,1438.3509334439327,-486.72259569106296,1925.073529134996,1438.3509334439327,-486.72259569106296,normal,,1925.0735291349963,1.0,0.0,,False,0.0,0.0,haircut,haircut,-4.547473508864641e-13,1.0000000000000002,0.0,False,False,False,2026-04-22
